; Candidate 9661
; ADRP+ADD at VM 0xfffffff008aa60f4 (fileoff 0x1aa20f4): page=0x1fe812000 add_imm=0xdd7

0xfffffff008aa6074: 311ce2f2  movk	x17, #0x10e1, lsl #48
0xfffffff008aa6078: 11093fd7  blraa	x8, x17
0xfffffff008aa607c: a8035df8  ldur	x8, [x29, #-0x30]
0xfffffff008aa6080: 00a940f9  ldr	x0, [x8, #0x150]
0xfffffff008aa6084: 05e9ff97  bl	#0xfffffff008aa0498
0xfffffff008aa6088: 80000036  tbz	w0, #0, #0xfffffff008aa6098
0xfffffff008aa608c: 01000014  b	#0xfffffff008aa6090
0xfffffff008aa6090: bfc31fb8  stur	wzr, [x29, #-4]
0xfffffff008aa6094: 1f000014  b	#0xfffffff008aa6110
0xfffffff008aa6098: 01000014  b	#0xfffffff008aa609c
0xfffffff008aa609c: a8435eb8  ldur	w8, [x29, #-0x1c]
0xfffffff008aa60a0: 08050011  add	w8, w8, #1
0xfffffff008aa60a4: a8431eb8  stur	w8, [x29, #-0x1c]
0xfffffff008aa60a8: d7ffff17  b	#0xfffffff008aa6004
0xfffffff008aa60ac: a8035df8  ldur	x8, [x29, #-0x30]
0xfffffff008aa60b0: 09a940f9  ldr	x9, [x8, #0x150]
0xfffffff008aa60b4: 29b140b9  ldr	w9, [x9, #0xb0]
0xfffffff008aa60b8: eb0309aa  mov	x11, x9
0xfffffff008aa60bc: 09a940f9  ldr	x9, [x8, #0x150]
0xfffffff008aa60c0: 2a6540f9  ldr	x10, [x9, #0xc8]
0xfffffff008aa60c4: 08a940f9  ldr	x8, [x8, #0x150]
0xfffffff008aa60c8: 091942b9  ldr	w9, [x8, #0x218]
0xfffffff008aa60cc: e80309aa  mov	x8, x9
0xfffffff008aa60d0: e9030091  mov	x9, sp
0xfffffff008aa60d4: 2b0100f9  str	x11, [x9]
0xfffffff008aa60d8: 2a0500f9  str	x10, [x9, #8]
0xfffffff008aa60dc: 8a40ffd0  adrp	x10, #0xfffffff0072b8000
0xfffffff008aa60e0: 4acd3691  add	x10, x10, #0xdb3
0xfffffff008aa60e4: 2a0900f9  str	x10, [x9, #0x10]
0xfffffff008aa60e8: 0a7182d2  mov	x10, #0x1388
0xfffffff008aa60ec: 2a0d00f9  str	x10, [x9, #0x18]
0xfffffff008aa60f0: 281100f9  str	x8, [x9, #0x20]
0xfffffff008aa60f4: 8040ffd0  adrp	x0, #0xfffffff0072b8000
0xfffffff008aa60f8: 005c3791  add	x0, x0, #0xdd7
0xfffffff008aa60fc: c9c3e297  bl	#0xfffffff008357020
0xfffffff008aa6100: c85a8052  mov	w8, #0x2d6
0xfffffff008aa6104: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008aa6108: a8c31fb8  stur	w8, [x29, #-4]
0xfffffff008aa610c: 01000014  b	#0xfffffff008aa6110
0xfffffff008aa6110: a0c35fb8  ldur	w0, [x29, #-4]
0xfffffff008aa6114: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008aa6118: ff030291  add	sp, sp, #0x80
0xfffffff008aa611c: ff0f5fd6  retab	
0xfffffff008aa6120: 7f2303d5  pacibsp	
0xfffffff008aa6124: ffc300d1  sub	sp, sp, #0x30
0xfffffff008aa6128: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008aa612c: fd830091  add	x29, sp, #0x20
0xfffffff008aa6130: 087efff0  adrp	x8, #0xfffffff007a69000
0xfffffff008aa6134: 083d42f9  ldr	x8, [x8, #0x478]
0xfffffff008aa6138: 09810791  add	x9, x8, #0x1e0
0xfffffff008aa613c: a0831ff8  stur	x0, [x29, #-8]
0xfffffff008aa6140: e10b00f9  str	x1, [sp, #0x10]
0xfffffff008aa6144: e20700f9  str	x2, [sp, #8]
0xfffffff008aa6148: a0835ff8  ldur	x0, [x29, #-8]
0xfffffff008aa614c: e00300f9  str	x0, [sp]
0xfffffff008aa6150: 08f140f9  ldr	x8, [x8, #0x1e0]
0xfffffff008aa6154: e10b40f9  ldr	x1, [sp, #0x10]
0xfffffff008aa6158: e20740f9  ldr	x2, [sp, #8]
0xfffffff008aa615c: f10309aa  mov	x17, x9
0xfffffff008aa6160: 91ecf0f2  movk	x17, #0x8764, lsl #48
0xfffffff008aa6164: 11093fd7  blraa	x8, x17
0xfffffff008aa6168: e80340f9  ldr	x8, [sp]
0xfffffff008aa616c: 08a940f9  ldr	x8, [x8, #0x150]
0xfffffff008aa6170: 08854639  ldrb	w8, [x8, #0x1a1]
