; Candidate 5269
; ADRP+ADD at VM 0xfffffff0087e39f4 (fileoff 0x17df9f4): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e3974: 08758052  mov	w8, #0x3a8
0xfffffff0087e3978: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e397c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3980: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3984: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e3988: 680e8052  mov	w8, #0x73
0xfffffff0087e398c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e3990: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3994: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e3998: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e399c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e39a0: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e39a4: 63442e91  add	x3, x3, #0xb91
0xfffffff0087e39a8: 02008052  mov	w2, #0
0xfffffff0087e39ac: e13ded97  bl	#0xfffffff008333130
0xfffffff0087e39b0: 17008052  mov	w23, #0
0xfffffff0087e39b4: 19000014  b	#0xfffffff0087e3a18
0xfffffff0087e39b8: fd410394  bl	#0xfffffff0088b41ac
0xfffffff0087e39bc: f50300aa  mov	x21, x0
0xfffffff0087e39c0: 80008052  mov	w0, #4
0xfffffff0087e39c4: a35f0294  bl	#0xfffffff00887b850
0xfffffff0087e39c8: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087e39cc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087e39d0: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e39d4: 08751191  add	x8, x8, #0x45d
0xfffffff0087e39d8: 29748052  mov	w9, #0x3a1
0xfffffff0087e39dc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087e39e0: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e39e4: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e39e8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e39ec: 680e8052  mov	w8, #0x73
0xfffffff0087e39f0: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e39f4: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e39f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e39fc: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3a00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e3a04: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e3a08: 63802d91  add	x3, x3, #0xb60
0xfffffff0087e3a0c: 02008052  mov	w2, #0
0xfffffff0087e3a10: c83ded97  bl	#0xfffffff008333130
0xfffffff0087e3a14: 177d8012  mov	w23, #-0x3e9
0xfffffff0087e3a18: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff0087e3a1c: 4823d797  bl	#0xfffffff007dac73c
0xfffffff0087e3a20: 600e8052  mov	w0, #0x73
0xfffffff0087e3a24: c1008052  mov	w1, #6
0xfffffff0087e3a28: 6a5f0294  bl	#0xfffffff00887b7d0
0xfffffff0087e3a2c: 60050034  cbz	w0, #0xfffffff0087e3ad8
0xfffffff0087e3a30: 600e8052  mov	w0, #0x73
0xfffffff0087e3a34: 795f0294  bl	#0xfffffff00887b818
0xfffffff0087e3a38: f60300aa  mov	x22, x0
0xfffffff0087e3a3c: dc410394  bl	#0xfffffff0088b41ac
0xfffffff0087e3a40: f50300aa  mov	x21, x0
0xfffffff0087e3a44: c0008052  mov	w0, #6
0xfffffff0087e3a48: 825f0294  bl	#0xfffffff00887b850
0xfffffff0087e3a4c: d6010034  cbz	w22, #0xfffffff0087e3a84
0xfffffff0087e3a50: e80317aa  mov	x8, x23
0xfffffff0087e3a54: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0087e3a58: c8978052  mov	w8, #0x4be
0xfffffff0087e3a5c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e3a60: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3a64: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3a68: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e3a6c: 680e8052  mov	w8, #0x73
0xfffffff0087e3a70: 8051ff90  adrp	x0, #0xfffffff007213000
