; Candidate 5513
; ADRP+ADD at VM 0xfffffff0087f54a8 (fileoff 0x17f14a8): page=0x1fea20000 add_imm=0xe59

0xfffffff0087f5428: e89b40b9  ldr	w8, [sp, #0x98]
0xfffffff0087f542c: 1f150072  tst	w8, #0x3f
0xfffffff0087f5430: e00b0054  b.eq	#0xfffffff0087f55ac
0xfffffff0087f5434: e00e8052  mov	w0, #0x77
0xfffffff0087f5438: 81008052  mov	w1, #4
0xfffffff0087f543c: e5180294  bl	#0xfffffff00887b7d0
0xfffffff0087f5440: a0140034  cbz	w0, #0xfffffff0087f56d4
0xfffffff0087f5444: e00e8052  mov	w0, #0x77
0xfffffff0087f5448: f4180294  bl	#0xfffffff00887b818
0xfffffff0087f544c: f50300aa  mov	x21, x0
0xfffffff0087f5450: 57fb0294  bl	#0xfffffff0088b41ac
0xfffffff0087f5454: f40300aa  mov	x20, x0
0xfffffff0087f5458: 80008052  mov	w0, #4
0xfffffff0087f545c: fd180294  bl	#0xfffffff00887b850
0xfffffff0087f5460: 95060034  cbz	w21, #0xfffffff0087f5530
0xfffffff0087f5464: a92377a9  ldp	x9, x8, [x29, #-0x90]
0xfffffff0087f5468: 6a1a40b9  ldr	w10, [x19, #0x18]
0xfffffff0087f546c: 0b5b40b9  ldr	w11, [x24, #0x58]
0xfffffff0087f5470: acc356b8  ldur	w12, [x29, #-0x94]
0xfffffff0087f5474: ed9b40b9  ldr	w13, [sp, #0x98]
0xfffffff0087f5478: ec3706a9  stp	x12, x13, [sp, #0x60]
0xfffffff0087f547c: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff0087f5480: f82f04a9  stp	x24, x11, [sp, #0x40]
0xfffffff0087f5484: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff0087f5488: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f548c: 08e13a91  add	x8, x8, #0xeb8
0xfffffff0087f5490: 09608052  mov	w9, #0x300
0xfffffff0087f5494: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f5498: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f549c: 08213591  add	x8, x8, #0xd48
0xfffffff0087f54a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f54a4: e80e8052  mov	w8, #0x77
0xfffffff0087f54a8: 0051ff90  adrp	x0, #0xfffffff007215000
0xfffffff0087f54ac: 00643991  add	x0, x0, #0xe59
0xfffffff0087f54b0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f54b4: eb07d797  bl	#0xfffffff007db7460
0xfffffff0087f54b8: 87000014  b	#0xfffffff0087f56d4
0xfffffff0087f54bc: 3cfb0294  bl	#0xfffffff0088b41ac
0xfffffff0087f54c0: f50300aa  mov	x21, x0
0xfffffff0087f54c4: 80008052  mov	w0, #4
0xfffffff0087f54c8: e2180294  bl	#0xfffffff00887b850
0xfffffff0087f54cc: 880658f9  ldr	x8, [x20, #0x3008]
0xfffffff0087f54d0: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f54d4: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f54d8: 8b1a70b9  ldr	w11, [x20, #0x3018]
0xfffffff0087f54dc: e82f05a9  stp	x8, x11, [sp, #0x50]
0xfffffff0087f54e0: f82b04a9  stp	x24, x10, [sp, #0x40]
0xfffffff0087f54e4: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0087f54e8: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f54ec: 08893591  add	x8, x8, #0xd62
0xfffffff0087f54f0: 295b8052  mov	w9, #0x2d9
0xfffffff0087f54f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f54f8: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f54fc: 08213591  add	x8, x8, #0xd48
0xfffffff0087f5500: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f5504: e80e8052  mov	w8, #0x77
0xfffffff0087f5508: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f550c: 63602691  add	x3, x3, #0x998
0xfffffff0087f5510: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f5514: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f5518: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f551c: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f5520: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f5524: 02008052  mov	w2, #0
