; Candidate 8355
; ADRP+ADD at VM 0xfffffff0088a5d4c (fileoff 0x18a1d4c): page=0x1fe944000 add_imm=0xe80

0xfffffff0088a5ccc: 2d0340b9  ldr	w13, [x25]
0xfffffff0088a5cd0: ae8353f8  ldur	x14, [x29, #-0xc8]
0xfffffff0088a5cd4: ce1140f9  ldr	x14, [x14, #0x20]
0xfffffff0088a5cd8: b08359f8  ldur	x16, [x29, #-0x68]
0xfffffff0088a5cdc: 500000b4  cbz	x16, #0xfffffff0088a5ce4
0xfffffff0088a5ce0: 101640f9  ldr	x16, [x16, #0x28]
0xfffffff0088a5ce4: efc30aa9  stp	x15, x16, [sp, #0xa8]
0xfffffff0088a5ce8: ec5300f9  str	x12, [sp, #0xa0]
0xfffffff0088a5cec: 6c008052  mov	w12, #3
0xfffffff0088a5cf0: af0354f8  ldur	x15, [x29, #-0xc0]
0xfffffff0088a5cf4: ef3309a9  stp	x15, x12, [sp, #0x90]
0xfffffff0088a5cf8: ea2f08a9  stp	x10, x11, [sp, #0x80]
0xfffffff0088a5cfc: e82707a9  stp	x8, x9, [sp, #0x70]
0xfffffff0088a5d00: 88008052  mov	w8, #4
0xfffffff0088a5d04: fa2306a9  stp	x26, x8, [sp, #0x60]
0xfffffff0088a5d08: ee2f00f9  str	x14, [sp, #0x58]
0xfffffff0088a5d0c: a88354f8  ldur	x8, [x29, #-0xb8]
0xfffffff0088a5d10: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff0088a5d14: e80313aa  mov	x8, x19
0xfffffff0088a5d18: eda303a9  stp	x13, x8, [sp, #0x38]
0xfffffff0088a5d1c: e86e8052  mov	w8, #0x377
0xfffffff0088a5d20: e94bffb0  adrp	x9, #0xfffffff007222000
0xfffffff0088a5d24: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a5d28: e8e702a9  stp	x8, x25, [sp, #0x28]
0xfffffff0088a5d2c: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a5d30: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a5d34: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a5d38: 680f8052  mov	w8, #0x7b
0xfffffff0088a5d3c: e34dffb0  adrp	x3, #0xfffffff007262000
0xfffffff0088a5d40: 63901791  add	x3, x3, #0x5e4
0xfffffff0088a5d44: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a5d48: f40300f9  str	x20, [sp]
0xfffffff0088a5d4c: 204aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a5d50: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a5d54: 018bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a5d58: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a5d5c: 02008052  mov	w2, #0
0xfffffff0088a5d60: f434ea97  bl	#0xfffffff008333130
0xfffffff0088a5d64: a88353f8  ldur	x8, [x29, #-0xc8]
0xfffffff0088a5d68: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff0088a5d6c: 1f0116eb  cmp	x8, x22
0xfffffff0088a5d70: fa6340f9  ldr	x26, [sp, #0xc0]
0xfffffff0088a5d74: 2adaff54  b.ge	#0xfffffff0088a58b8
0xfffffff0088a5d78: a2e301d1  sub	x2, x29, #0x78
0xfffffff0088a5d7c: e00319aa  mov	x0, x25
0xfffffff0088a5d80: e10316aa  mov	x1, x22
0xfffffff0088a5d84: 63008052  mov	w3, #3
0xfffffff0088a5d88: 8e000094  bl	#0xfffffff0088a5fc0
0xfffffff0088a5d8c: 40040034  cbz	w0, #0xfffffff0088a5e14
0xfffffff0088a5d90: fb0300aa  mov	x27, x0
0xfffffff0088a5d94: 600f8052  mov	w0, #0x7b
0xfffffff0088a5d98: 81008052  mov	w1, #4
0xfffffff0088a5d9c: 8d56ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a5da0: c0d8ff34  cbz	w0, #0xfffffff0088a58b8
0xfffffff0088a5da4: 600f8052  mov	w0, #0x7b
0xfffffff0088a5da8: 9c56ff97  bl	#0xfffffff00887b818
0xfffffff0088a5dac: f50300aa  mov	x21, x0
0xfffffff0088a5db0: ff380094  bl	#0xfffffff0088b41ac
0xfffffff0088a5db4: f40300aa  mov	x20, x0
0xfffffff0088a5db8: 80008052  mov	w0, #4
0xfffffff0088a5dbc: a556ff97  bl	#0xfffffff00887b850
0xfffffff0088a5dc0: d5070034  cbz	w21, #0xfffffff0088a5eb8
0xfffffff0088a5dc4: 280340b9  ldr	w8, [x25]
0xfffffff0088a5dc8: aa8353f8  ldur	x10, [x29, #-0xc8]
