; Candidate 8502
; ADRP+ADD at VM 0xfffffff0088ae2a4 (fileoff 0x18aa2a4): page=0x1fe93b000 add_imm=0xe80

0xfffffff0088ae224: e00314aa  mov	x0, x20
0xfffffff0088ae228: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088ae22c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088ae230: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088ae234: ff030291  add	sp, sp, #0x80
0xfffffff0088ae238: ff0f5fd6  retab	
0xfffffff0088ae23c: e00313aa  mov	x0, x19
0xfffffff0088ae240: 01008052  mov	w1, #0
0xfffffff0088ae244: 76feff97  bl	#0xfffffff0088adc1c
0xfffffff0088ae248: 28008052  mov	w8, #1
0xfffffff0088ae24c: 68b200f9  str	x8, [x19, #0x160]
0xfffffff0088ae250: 68623c91  add	x8, x19, #0xf18
0xfffffff0088ae254: e0e7076f  movi	v0.2d, #0xffffffffffffffff
0xfffffff0088ae258: 0001803d  str	q0, [x8]
0xfffffff0088ae25c: c8ffff17  b	#0xfffffff0088ae17c
0xfffffff0088ae260: d3170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae264: f50300aa  mov	x21, x0
0xfffffff0088ae268: 80008052  mov	w0, #4
0xfffffff0088ae26c: 7935ff97  bl	#0xfffffff00887b850
0xfffffff0088ae270: e80314aa  mov	x8, x20
0xfffffff0088ae274: 690240b9  ldr	w9, [x19]
0xfffffff0088ae278: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088ae27c: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae280: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ae284: 09ab8052  mov	w9, #0x558
0xfffffff0088ae288: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088ae28c: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae290: 08a93791  add	x8, x8, #0xdea
0xfffffff0088ae294: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088ae298: c80f8052  mov	w8, #0x7e
0xfffffff0088ae29c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ae2a0: f50300f9  str	x21, [sp]
0xfffffff0088ae2a4: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae2a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae2ac: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae2b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae2b4: a34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088ae2b8: 63583b91  add	x3, x3, #0xed6
0xfffffff0088ae2bc: 02008052  mov	w2, #0
0xfffffff0088ae2c0: 9c13ea97  bl	#0xfffffff008333130
0xfffffff0088ae2c4: aeffff17  b	#0xfffffff0088ae17c
0xfffffff0088ae2c8: 7f2303d5  pacibsp	
0xfffffff0088ae2cc: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088ae2d0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0088ae2d4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088ae2d8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088ae2dc: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088ae2e0: fd430291  add	x29, sp, #0x90
0xfffffff0088ae2e4: f40301aa  mov	x20, x1
0xfffffff0088ae2e8: f30300aa  mov	x19, x0
0xfffffff0088ae2ec: c00f8052  mov	w0, #0x7e
0xfffffff0088ae2f0: c1008052  mov	w1, #6
0xfffffff0088ae2f4: 3735ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae2f8: 40020034  cbz	w0, #0xfffffff0088ae340
0xfffffff0088ae2fc: c00f8052  mov	w0, #0x7e
0xfffffff0088ae300: 4635ff97  bl	#0xfffffff00887b818
0xfffffff0088ae304: f60300aa  mov	x22, x0
0xfffffff0088ae308: a9170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae30c: f50300aa  mov	x21, x0
0xfffffff0088ae310: c0008052  mov	w0, #6
0xfffffff0088ae314: 4f35ff97  bl	#0xfffffff00887b850
0xfffffff0088ae318: 56050034  cbz	w22, #0xfffffff0088ae3c0
0xfffffff0088ae31c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088ae320: 284cffb0  adrp	x8, #0xfffffff007233000
