; Candidate 6513
; ADRP+ADD at VM 0xfffffff008831398 (fileoff 0x182d398): page=0x1fe9b8000 add_imm=0xe80

0xfffffff008831318: 17020034  cbz	w23, #0xfffffff008831358
0xfffffff00883131c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008831320: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008831324: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008831328: 084fffd0  adrp	x8, #0xfffffff007213000
0xfffffff00883132c: 09b13f91  add	x9, x8, #0xfec
0xfffffff008831330: 884fffb0  adrp	x8, #0xfffffff007222000
0xfffffff008831334: 08813991  add	x8, x8, #0xe60
0xfffffff008831338: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883133c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008831340: 080b8052  mov	w8, #0x58
0xfffffff008831344: 804fff90  adrp	x0, #0xfffffff007221000
0xfffffff008831348: 00342691  add	x0, x0, #0x98d
0xfffffff00883134c: f62300a9  stp	x22, x8, [sp]
0xfffffff008831350: 4418d697  bl	#0xfffffff007db7460
0xfffffff008831354: 19000014  b	#0xfffffff0088313b8
0xfffffff008831358: 950b0294  bl	#0xfffffff0088b41ac
0xfffffff00883135c: f60300aa  mov	x22, x0
0xfffffff008831360: 00018052  mov	w0, #8
0xfffffff008831364: 3b290194  bl	#0xfffffff00887b850
0xfffffff008831368: e80315aa  mov	x8, x21
0xfffffff00883136c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008831370: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008831374: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008831378: 084fffd0  adrp	x8, #0xfffffff007213000
0xfffffff00883137c: 0ab13f91  add	x10, x8, #0xfec
0xfffffff008831380: 884fffb0  adrp	x8, #0xfffffff007222000
0xfffffff008831384: 08813991  add	x8, x8, #0xe60
0xfffffff008831388: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00883138c: 080b8052  mov	w8, #0x58
0xfffffff008831390: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008831394: f60300f9  str	x22, [sp]
0xfffffff008831398: c04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883139c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088313a0: a18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088313a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088313a8: e350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff0088313ac: 63e40a91  add	x3, x3, #0x2b9
0xfffffff0088313b0: 02008052  mov	w2, #0
0xfffffff0088313b4: 5f07ec97  bl	#0xfffffff008333130
0xfffffff0088313b8: e00315aa  mov	x0, x21
0xfffffff0088313bc: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088313c0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088313c4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088313c8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088313cc: ff430291  add	sp, sp, #0x90
0xfffffff0088313d0: ff0f5fd6  retab	
0xfffffff0088313d4: 7f2303d5  pacibsp	
0xfffffff0088313d8: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088313dc: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088313e0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088313e4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088313e8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0088313ec: fd030291  add	x29, sp, #0x80
0xfffffff0088313f0: f40301aa  mov	x20, x1
0xfffffff0088313f4: f30300aa  mov	x19, x0
0xfffffff0088313f8: 000b8052  mov	w0, #0x58
0xfffffff0088313fc: e1008052  mov	w1, #7
0xfffffff008831400: f4280194  bl	#0xfffffff00887b7d0
0xfffffff008831404: c0050034  cbz	w0, #0xfffffff0088314bc
0xfffffff008831408: 000b8052  mov	w0, #0x58
0xfffffff00883140c: 03290194  bl	#0xfffffff00887b818
0xfffffff008831410: f60300aa  mov	x22, x0
0xfffffff008831414: 660b0294  bl	#0xfffffff0088b41ac
