; Candidate 781
; ADRP+ADD at VM 0xfffffff0080a47fc (fileoff 0x10a07fc): page=0x1fefe7000 add_imm=0xd5e

0xfffffff0080a477c: 08090051  sub	w8, w8, #2
0xfffffff0080a4780: 884e02b9  str	w8, [x20, #0x24c]
0xfffffff0080a4784: e00316aa  mov	x0, x22
0xfffffff0080a4788: de63ff97  bl	#0xfffffff00807d700
0xfffffff0080a478c: 800b01d0  adrp	x0, #0xfffffff00a216000
0xfffffff0080a4790: 00603f91  add	x0, x0, #0xfd8
0xfffffff0080a4794: a527f497  bl	#0xfffffff007dae628
0xfffffff0080a4798: 080b01b0  adrp	x8, #0xfffffff00a205000
0xfffffff0080a479c: 094d49b9  ldr	w9, [x8, #0x94c]
0xfffffff0080a47a0: 29050011  add	w9, w9, #1
0xfffffff0080a47a4: 094d09b9  str	w9, [x8, #0x94c]
0xfffffff0080a47a8: e00313aa  mov	x0, x19
0xfffffff0080a47ac: 01008052  mov	w1, #0
0xfffffff0080a47b0: 1b0b0694  bl	#0xfffffff00822741c
0xfffffff0080a47b4: 20008052  mov	w0, #1
0xfffffff0080a47b8: 75ffff17  b	#0xfffffff0080a458c
0xfffffff0080a47bc: 28728352  mov	w8, #0x1b91
0xfffffff0080a47c0: 697efff0  adrp	x9, #0xfffffff007073000
0xfffffff0080a47c4: 29d52191  add	x9, x9, #0x875
0xfffffff0080a47c8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080a47cc: f42300a9  stp	x20, x8, [sp]
0xfffffff0080a47d0: 807fffd0  adrp	x0, #0xfffffff007096000
0xfffffff0080a47d4: 00502c91  add	x0, x0, #0xb14
0xfffffff0080a47d8: 4dbf0f94  bl	#0xfffffff00849450c
0xfffffff0080a47dc: 28728352  mov	w8, #0x1b91
0xfffffff0080a47e0: 697efff0  adrp	x9, #0xfffffff007073000
0xfffffff0080a47e4: 29d52191  add	x9, x9, #0x875
0xfffffff0080a47e8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080a47ec: f42300a9  stp	x20, x8, [sp]
0xfffffff0080a47f0: 807fffd0  adrp	x0, #0xfffffff007096000
0xfffffff0080a47f4: 00982b91  add	x0, x0, #0xae6
0xfffffff0080a47f8: 45bf0f94  bl	#0xfffffff00849450c
0xfffffff0080a47fc: 207ffff0  adrp	x0, #0xfffffff00708b000
0xfffffff0080a4800: 00783591  add	x0, x0, #0xd5e
0xfffffff0080a4804: 617efff0  adrp	x1, #0xfffffff007073000
0xfffffff0080a4808: 21981591  add	x1, x1, #0x566
0xfffffff0080a480c: a2768352  mov	w2, #0x1bb5
0xfffffff0080a4810: 01ec0f94  bl	#0xfffffff00849f814
0xfffffff0080a4814: 207ffff0  adrp	x0, #0xfffffff00708b000
0xfffffff0080a4818: 00783591  add	x0, x0, #0xd5e
0xfffffff0080a481c: 617efff0  adrp	x1, #0xfffffff007073000
0xfffffff0080a4820: 21981591  add	x1, x1, #0x566
0xfffffff0080a4824: c2748352  mov	w2, #0x1ba6
0xfffffff0080a4828: fbeb0f94  bl	#0xfffffff00849f814
0xfffffff0080a482c: 5f2403d5  bti	c
0xfffffff0080a4830: 9f0c0071  cmp	w4, #3
0xfffffff0080a4834: 40010054  b.eq	#0xfffffff0080a485c
0xfffffff0080a4838: 9f080071  cmp	w4, #2
0xfffffff0080a483c: 60030054  b.eq	#0xfffffff0080a48a8
0xfffffff0080a4840: 9f040071  cmp	w4, #1
0xfffffff0080a4844: 81040054  b.ne	#0xfffffff0080a48d4
0xfffffff0080a4848: 086441b9  ldr	w8, [x0, #0x164]
0xfffffff0080a484c: 08010932  orr	w8, w8, #0x800000
0xfffffff0080a4850: 086401b9  str	w8, [x0, #0x164]
0xfffffff0080a4854: 08a00691  add	x8, x0, #0x1a8
0xfffffff0080a4858: 1c000014  b	#0xfffffff0080a48c8
0xfffffff0080a485c: 089c41b9  ldr	w8, [x0, #0x19c]
0xfffffff0080a4860: 0801030b  add	w8, w8, w3
0xfffffff0080a4864: 089c01b9  str	w8, [x0, #0x19c]
0xfffffff0080a4868: 08dc40f9  ldr	x8, [x0, #0x1b8]
0xfffffff0080a486c: 0841228b  add	x8, x8, w2, uxtw
0xfffffff0080a4870: 08dc00f9  str	x8, [x0, #0x1b8]
0xfffffff0080a4874: 086841b9  ldr	w8, [x0, #0x168]
0xfffffff0080a4878: 08050011  add	w8, w8, #1
