; Candidate 12403
; ADRP+ADD at VM 0xfffffff00909b598 (fileoff 0x2097598): page=0x1fe3be000 add_imm=0xe24

0xfffffff00909b518: 8b4240b9  ldr	w11, [x20, #0x40]
0xfffffff00909b51c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00909b520: ebe701a9  stp	x11, x25, [sp, #0x18]
0xfffffff00909b524: fcab00a9  stp	x28, x10, [sp, #8]
0xfffffff00909b528: 281effd0  adrp	x8, #0xfffffff007461000
0xfffffff00909b52c: 08310c91  add	x8, x8, #0x30c
0xfffffff00909b530: e80300f9  str	x8, [sp]
0xfffffff00909b534: 201effd0  adrp	x0, #0xfffffff007461000
0xfffffff00909b538: 00581b91  add	x0, x0, #0x6d6
0xfffffff00909b53c: b9eeca97  bl	#0xfffffff008357020
0xfffffff00909b540: 9302178b  add	x19, x20, x23
0xfffffff00909b544: 68e24239  ldrb	w8, [x19, #0xb8]
0xfffffff00909b548: 68000034  cbz	w8, #0xfffffff00909b554
0xfffffff00909b54c: 3e020094  bl	#0xfffffff00909be44
0xfffffff00909b550: e0f10737  tbnz	w0, #0, #0xfffffff00909b38c
0xfffffff00909b554: 28008052  mov	w8, #1
0xfffffff00909b558: 68e60239  strb	w8, [x19, #0xb9]
0xfffffff00909b55c: 8cffff17  b	#0xfffffff00909b38c
0xfffffff00909b560: 19008052  mov	w25, #0
0xfffffff00909b564: a8f35a38  ldurb	w8, [x29, #-0x51]
0xfffffff00909b568: e92340f9  ldr	x9, [sp, #0x40]
0xfffffff00909b56c: 28010039  strb	w8, [x9]
0xfffffff00909b570: 48018052  mov	w8, #0xa
0xfffffff00909b574: c9024039  ldrb	w9, [x22]
0xfffffff00909b578: 1f01096b  cmp	w8, w9
0xfffffff00909b57c: 43010054  b.lo	#0xfffffff00909b5a4
0xfffffff00909b580: e80319aa  mov	x8, x25
0xfffffff00909b584: 087d4093  sxtw	x8, w8
0xfffffff00909b588: 291effd0  adrp	x9, #0xfffffff007461000
0xfffffff00909b58c: 29310c91  add	x9, x9, #0x30c
0xfffffff00909b590: e97300a9  stp	x9, x28, [sp]
0xfffffff00909b594: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909b598: e01dffd0  adrp	x0, #0xfffffff007459000
0xfffffff00909b59c: 00903891  add	x0, x0, #0xe24
0xfffffff00909b5a0: a0eeca97  bl	#0xfffffff008357020
0xfffffff00909b5a4: e00319aa  mov	x0, x25
0xfffffff00909b5a8: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00909b5ac: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00909b5b0: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00909b5b4: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00909b5b8: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00909b5bc: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff00909b5c0: ff430391  add	sp, sp, #0xd0
0xfffffff00909b5c4: ff0f5fd6  retab	
0xfffffff00909b5c8: 08218052  mov	w8, #0x108
0xfffffff00909b5cc: 291effd0  adrp	x9, #0xfffffff007461000
0xfffffff00909b5d0: 29550c91  add	x9, x9, #0x315
0xfffffff00909b5d4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00909b5d8: e81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909b5dc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909b5e0: 2a1effd0  adrp	x10, #0xfffffff007461000
0xfffffff00909b5e4: 4a2d1a91  add	x10, x10, #0x68b
0xfffffff00909b5e8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00909b5ec: ea0300f9  str	x10, [sp]
0xfffffff00909b5f0: e01dffd0  adrp	x0, #0xfffffff007459000
0xfffffff00909b5f4: 00d42c91  add	x0, x0, #0xb35
0xfffffff00909b5f8: 8aeeca97  bl	#0xfffffff008357020
0xfffffff00909b5fc: c8088052  mov	w8, #0x46
0xfffffff00909b600: 99008012  mov	w25, #-5
0xfffffff00909b604: dcffff17  b	#0xfffffff00909b574
0xfffffff00909b608: 28188052  mov	w8, #0xc1
0xfffffff00909b60c: 291effd0  adrp	x9, #0xfffffff007461000
0xfffffff00909b610: 29550c91  add	x9, x9, #0x315
0xfffffff00909b614: e9a301a9  stp	x9, x8, [sp, #0x18]
