; Candidate 16270
; ADRP+ADD at VM 0xfffffff009e3cfe8 (fileoff 0x2e38fe8): page=0x1fd9ea000 add_imm=0xd5f

0xfffffff009e3cf68: 1af9ff35  cbnz	w26, #0xfffffff009e3ce88
0xfffffff009e3cf6c: 9b9f4092  and	x27, x28, #0xffffffffff
0xfffffff009e3cf70: fc4f40b9  ldr	w28, [sp, #0x4c]
0xfffffff009e3cf74: 21000014  b	#0xfffffff009e3cff8
0xfffffff009e3cf78: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff009e3cf7c: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff009e3cf80: 1b1040f9  ldr	x27, [x0, #0x20]
0xfffffff009e3cf84: 46940294  bl	#0xfffffff009ee209c
0xfffffff009e3cf88: a87240b9  ldr	w8, [x21, #0x70]
0xfffffff009e3cf8c: e9031baa  mov	x9, x27
0xfffffff009e3cf90: 095d58b3  bfi	x9, x8, #0x28, #0x18
0xfffffff009e3cf94: e9af00f9  str	x9, [sp, #0x158]
0xfffffff009e3cf98: e1bf40f9  ldr	x1, [sp, #0x178]
0xfffffff009e3cf9c: 42d1fed0  adrp	x2, #0xfffffff007866000
0xfffffff009e3cfa0: 42400b91  add	x2, x2, #0x2d0
0xfffffff009e3cfa4: e3430591  add	x3, sp, #0x150
0xfffffff009e3cfa8: e00313aa  mov	x0, x19
0xfffffff009e3cfac: 04028052  mov	w4, #0x10
0xfffffff009e3cfb0: 05008052  mov	w5, #0
0xfffffff009e3cfb4: e60316aa  mov	x6, x22
0xfffffff009e3cfb8: b2b40294  bl	#0xfffffff009eea280
0xfffffff009e3cfbc: e0010034  cbz	w0, #0xfffffff009e3cff8
0xfffffff009e3cfc0: fa0300aa  mov	x26, x0
0xfffffff009e3cfc4: 083e8452  mov	w8, #0x21f0
0xfffffff009e3cfc8: 6802088b  add	x8, x19, x8
0xfffffff009e3cfcc: a90640f9  ldr	x9, [x21, #8]
0xfffffff009e3cfd0: faa701a9  stp	x26, x9, [sp, #0x18]
0xfffffff009e3cfd4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3cfd8: 48cffed0  adrp	x8, #0xfffffff007826000
0xfffffff009e3cfdc: 08d93291  add	x8, x8, #0xcb6
0xfffffff009e3cfe0: 29428252  mov	w9, #0x1211
0xfffffff009e3cfe4: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3cfe8: 40cffed0  adrp	x0, #0xfffffff007826000
0xfffffff009e3cfec: 007c3591  add	x0, x0, #0xd5f
0xfffffff009e3cff0: 350a0194  bl	#0xfffffff009e7f8c4
0xfffffff009e3cff4: a5ffff17  b	#0xfffffff009e3ce88
0xfffffff009e3cff8: fff700b9  str	wzr, [sp, #0xf4]
0xfffffff009e3cffc: a8f24139  ldrb	w8, [x21, #0x7c]
0xfffffff009e3d000: 48023037  tbnz	w8, #6, #0xfffffff009e3d048
0xfffffff009e3d004: e2c30591  add	x2, sp, #0x170
0xfffffff009e3d008: e00313aa  mov	x0, x19
0xfffffff009e3d00c: 21008052  mov	w1, #1
0xfffffff009e3d010: e30316aa  mov	x3, x22
0xfffffff009e3d014: 86b80294  bl	#0xfffffff009eeb22c
0xfffffff009e3d018: e8bf40f9  ldr	x8, [sp, #0x178]
0xfffffff009e3d01c: e81600f9  str	x8, [x23, #0x28]
0xfffffff009e3d020: e00313aa  mov	x0, x19
0xfffffff009e3d024: 21008052  mov	w1, #1
0xfffffff009e3d028: f92b40f9  ldr	x25, [sp, #0x50]
0xfffffff009e3d02c: e20319aa  mov	x2, x25
0xfffffff009e3d030: e30316aa  mov	x3, x22
0xfffffff009e3d034: 5cb10294  bl	#0xfffffff009ee95a4
0xfffffff009e3d038: 00030034  cbz	w0, #0xfffffff009e3d098
0xfffffff009e3d03c: fa0300aa  mov	x26, x0
0xfffffff009e3d040: 7c0d0035  cbnz	w28, #0xfffffff009e3d1ec
0xfffffff009e3d044: 91ffff17  b	#0xfffffff009e3ce88
0xfffffff009e3d048: e3d30391  add	x3, sp, #0xf4
0xfffffff009e3d04c: e00319aa  mov	x0, x25
0xfffffff009e3d050: 61008052  mov	w1, #3
0xfffffff009e3d054: 020080d2  mov	x2, #0
0xfffffff009e3d058: 84008052  mov	w4, #4
0xfffffff009e3d05c: 40750494  bl	#0xfffffff009f5a55c
0xfffffff009e3d060: c0050034  cbz	w0, #0xfffffff009e3d118
0xfffffff009e3d064: fa0300aa  mov	x26, x0
