; Candidate 6979
; ADRP+ADD at VM 0xfffffff00884e204 (fileoff 0x184a204): page=0x1fe99b000 add_imm=0xe80

0xfffffff00884e184: 082c8052  mov	w8, #0x160
0xfffffff00884e188: c94eff90  adrp	x9, #0xfffffff007226000
0xfffffff00884e18c: 29390a91  add	x9, x9, #0x28e
0xfffffff00884e190: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884e194: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884e198: 08811191  add	x8, x8, #0x460
0xfffffff00884e19c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884e1a0: e80d8052  mov	w8, #0x6f
0xfffffff00884e1a4: c04eff90  adrp	x0, #0xfffffff007226000
0xfffffff00884e1a8: 00880b91  add	x0, x0, #0x2e2
0xfffffff00884e1ac: f62300a9  stp	x22, x8, [sp]
0xfffffff00884e1b0: aca4d597  bl	#0xfffffff007db7460
0xfffffff00884e1b4: 38000014  b	#0xfffffff00884e294
0xfffffff00884e1b8: fd970194  bl	#0xfffffff0088b41ac
0xfffffff00884e1bc: f50300aa  mov	x21, x0
0xfffffff00884e1c0: 80008052  mov	w0, #4
0xfffffff00884e1c4: a3b50094  bl	#0xfffffff00887b850
0xfffffff00884e1c8: e80314aa  mov	x8, x20
0xfffffff00884e1cc: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00884e1d0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00884e1d4: 084effd0  adrp	x8, #0xfffffff007210000
0xfffffff00884e1d8: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884e1dc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00884e1e0: 482b8052  mov	w8, #0x15a
0xfffffff00884e1e4: c94eff90  adrp	x9, #0xfffffff007226000
0xfffffff00884e1e8: 29390a91  add	x9, x9, #0x28e
0xfffffff00884e1ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884e1f0: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884e1f4: 08811191  add	x8, x8, #0x460
0xfffffff00884e1f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884e1fc: e80d8052  mov	w8, #0x6f
0xfffffff00884e200: f52300a9  stp	x21, x8, [sp]
0xfffffff00884e204: c04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884e208: 00003a91  add	x0, x0, #0xe80
0xfffffff00884e20c: c18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884e210: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884e214: 2350ff90  adrp	x3, #0xfffffff007252000
0xfffffff00884e218: 63980b91  add	x3, x3, #0x2e6
0xfffffff00884e21c: 02008052  mov	w2, #0
0xfffffff00884e220: c493eb97  bl	#0xfffffff008333130
0xfffffff00884e224: 1c000014  b	#0xfffffff00884e294
0xfffffff00884e228: e1970194  bl	#0xfffffff0088b41ac
0xfffffff00884e22c: f40300aa  mov	x20, x0
0xfffffff00884e230: 80008052  mov	w0, #4
0xfffffff00884e234: 87b50094  bl	#0xfffffff00887b850
0xfffffff00884e238: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884e23c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00884e240: c84eff90  adrp	x8, #0xfffffff007226000
0xfffffff00884e244: 0aa10791  add	x10, x8, #0x1e8
0xfffffff00884e248: 88298052  mov	w8, #0x14c
0xfffffff00884e24c: c94eff90  adrp	x9, #0xfffffff007226000
0xfffffff00884e250: 29390a91  add	x9, x9, #0x28e
0xfffffff00884e254: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00884e258: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884e25c: 08811191  add	x8, x8, #0x460
0xfffffff00884e260: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884e264: e80d8052  mov	w8, #0x6f
0xfffffff00884e268: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884e26c: f40300f9  str	x20, [sp]
0xfffffff00884e270: c04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884e274: 00003a91  add	x0, x0, #0xe80
0xfffffff00884e278: c18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884e27c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884e280: 2350ff90  adrp	x3, #0xfffffff007252000
