; Candidate 12305
; ADRP+ADD at VM 0xfffffff00908699c (fileoff 0x208299c): page=0x1fe3d3000 add_imm=0xe24

0xfffffff00908691c: dba10094  bl	#0xfffffff0090af088
0xfffffff009086920: 08008052  mov	w8, #0
0xfffffff009086924: 1f0b0071  cmp	w24, #2
0xfffffff009086928: 43000054  b.lo	#0xfffffff009086930
0xfffffff00908692c: 880240b9  ldr	w8, [x20]
0xfffffff009086930: 29034039  ldrb	w9, [x25]
0xfffffff009086934: 3fa10071  cmp	w9, #0x28
0xfffffff009086938: 88010054  b.hi	#0xfffffff009086968
0xfffffff00908693c: a91eff90  adrp	x9, #0xfffffff00745a000
0xfffffff009086940: 29891691  add	x9, x9, #0x5a2
0xfffffff009086944: aa1eff90  adrp	x10, #0xfffffff00745a000
0xfffffff009086948: 4a391691  add	x10, x10, #0x58e
0xfffffff00908694c: 8b1efff0  adrp	x11, #0xfffffff007459000
0xfffffff009086950: 6b2d3f91  add	x11, x11, #0xfcb
0xfffffff009086954: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009086958: eb2b00a9  stp	x11, x10, [sp]
0xfffffff00908695c: a01eff90  adrp	x0, #0xfffffff00745a000
0xfffffff009086960: 00741591  add	x0, x0, #0x55d
0xfffffff009086964: af41cb97  bl	#0xfffffff008357020
0xfffffff009086968: 17008052  mov	w23, #0
0xfffffff00908696c: 48018052  mov	w8, #0xa
0xfffffff009086970: 29034039  ldrb	w9, [x25]
0xfffffff009086974: 1f01096b  cmp	w8, w9
0xfffffff009086978: 83010054  b.lo	#0xfffffff0090869a8
0xfffffff00908697c: e80317aa  mov	x8, x23
0xfffffff009086980: 087d4093  sxtw	x8, w8
0xfffffff009086984: a91eff90  adrp	x9, #0xfffffff00745a000
0xfffffff009086988: 29013d91  add	x9, x9, #0xf40
0xfffffff00908698c: 8a1efff0  adrp	x10, #0xfffffff007459000
0xfffffff009086990: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff009086994: ea2700a9  stp	x10, x9, [sp]
0xfffffff009086998: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908699c: 801efff0  adrp	x0, #0xfffffff007459000
0xfffffff0090869a0: 00903891  add	x0, x0, #0xe24
0xfffffff0090869a4: 9f41cb97  bl	#0xfffffff008357020
0xfffffff0090869a8: e00317aa  mov	x0, x23
0xfffffff0090869ac: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff0090869b0: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff0090869b4: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff0090869b8: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff0090869bc: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff0090869c0: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff0090869c4: ff430491  add	sp, sp, #0x110
0xfffffff0090869c8: ff0f5fd6  retab	
0xfffffff0090869cc: 698a5539  ldrb	w9, [x19, #0x562]
0xfffffff0090869d0: e9020034  cbz	w9, #0xfffffff009086a2c
0xfffffff0090869d4: 69825539  ldrb	w9, [x19, #0x560]
0xfffffff0090869d8: 6a064139  ldrb	w10, [x19, #0x41]
0xfffffff0090869dc: 6a000034  cbz	w10, #0xfffffff0090869e8
0xfffffff0090869e0: 6a0a4139  ldrb	w10, [x19, #0x42]
0xfffffff0090869e4: 8a000034  cbz	w10, #0xfffffff0090869f4
0xfffffff0090869e8: 6a424139  ldrb	w10, [x19, #0x50]
0xfffffff0090869ec: 5f050071  cmp	w10, #1
0xfffffff0090869f0: a0000054  b.eq	#0xfffffff009086a04
0xfffffff0090869f4: 02008052  mov	w2, #0
0xfffffff0090869f8: 1f050071  cmp	w8, #1
0xfffffff0090869fc: 61000054  b.ne	#0xfffffff009086a08
0xfffffff009086a00: 49000035  cbnz	w9, #0xfffffff009086a08
0xfffffff009086a04: 62865539  ldrb	w2, [x19, #0x561]
0xfffffff009086a08: a11eff90  adrp	x1, #0xfffffff00745a000
0xfffffff009086a0c: 21003d91  add	x1, x1, #0xf40
0xfffffff009086a10: e00313aa  mov	x0, x19
0xfffffff009086a14: dbf7ff97  bl	#0xfffffff009084980
0xfffffff009086a18: 80f7ff34  cbz	w0, #0xfffffff009086908
