; Candidate 12354
; ADRP+ADD at VM 0xfffffff00908cf3c (fileoff 0x2088f3c): page=0x1fe3cd000 add_imm=0xe24

0xfffffff00908cebc: f50300aa  mov	x21, x0
0xfffffff00908cec0: 199400f0  adrp	x25, #0xfffffff00a30f000
0xfffffff00908cec4: 39430c91  add	x25, x25, #0x310
0xfffffff00908cec8: 28034039  ldrb	w8, [x25]
0xfffffff00908cecc: 971effb0  adrp	x23, #0xfffffff00745d000
0xfffffff00908ced0: f7523c91  add	x23, x23, #0xf14
0xfffffff00908ced4: 981effb0  adrp	x24, #0xfffffff00745d000
0xfffffff00908ced8: 18433c91  add	x24, x24, #0xf10
0xfffffff00908cedc: 1fa10071  cmp	w8, #0x28
0xfffffff00908cee0: c8000054  b.hi	#0xfffffff00908cef8
0xfffffff00908cee4: f64f01a9  stp	x22, x19, [sp, #0x10]
0xfffffff00908cee8: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908ceec: 801effb0  adrp	x0, #0xfffffff00745d000
0xfffffff00908cef0: 008c3b91  add	x0, x0, #0xee3
0xfffffff00908cef4: 4b28cb97  bl	#0xfffffff008357020
0xfffffff00908cef8: 950300b4  cbz	x21, #0xfffffff00908cf68
0xfffffff00908cefc: c8c60051  sub	w8, w22, #0x31
0xfffffff00908cf00: 1fc50031  cmn	w8, #0x31
0xfffffff00908cf04: 49040054  b.ls	#0xfffffff00908cf8c
0xfffffff00908cf08: e00315aa  mov	x0, x21
0xfffffff00908cf0c: 01008052  mov	w1, #0
0xfffffff00908cf10: 02a18252  mov	w2, #0x1508
0xfffffff00908cf14: 2bffb297  bl	#0xfffffff007d4cbc0
0xfffffff00908cf18: 14008052  mov	w20, #0
0xfffffff00908cf1c: b64e0029  stp	w22, w19, [x21]
0xfffffff00908cf20: 48018052  mov	w8, #0xa
0xfffffff00908cf24: 29034039  ldrb	w9, [x25]
0xfffffff00908cf28: 1f01096b  cmp	w8, w9
0xfffffff00908cf2c: e3000054  b.lo	#0xfffffff00908cf48
0xfffffff00908cf30: 887e4093  sxtw	x8, w20
0xfffffff00908cf34: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908cf38: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908cf3c: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cf40: 00903891  add	x0, x0, #0xe24
0xfffffff00908cf44: 3728cb97  bl	#0xfffffff008357020
0xfffffff00908cf48: e00314aa  mov	x0, x20
0xfffffff00908cf4c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00908cf50: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00908cf54: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00908cf58: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00908cf5c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00908cf60: ff030291  add	sp, sp, #0x80
0xfffffff00908cf64: ff0f5fd6  retab	
0xfffffff00908cf68: 88118052  mov	w8, #0x8c
0xfffffff00908cf6c: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cf70: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908cf74: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908cf78: 681effb0  adrp	x8, #0xfffffff007459000
0xfffffff00908cf7c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908cf80: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908cf84: 4aad3c91  add	x10, x10, #0xf2b
0xfffffff00908cf88: 09000014  b	#0xfffffff00908cfac
0xfffffff00908cf8c: a8118052  mov	w8, #0x8d
0xfffffff00908cf90: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cf94: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908cf98: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908cf9c: 681effb0  adrp	x8, #0xfffffff007459000
0xfffffff00908cfa0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908cfa4: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908cfa8: 4a1d3e91  add	x10, x10, #0xf87
0xfffffff00908cfac: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00908cfb0: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff00908cfb4: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cfb8: 00d42c91  add	x0, x0, #0xb35
