; Candidate 3493
; ADRP+ADD at VM 0xfffffff0087422dc (fileoff 0x173e2dc): page=0x1fe9ef000 add_imm=0xd90

0xfffffff00874225c: 31f21391  add	x17, x17, #0x4fc
0xfffffff008742260: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008742264: 11000010  adr	x17, #0xfffffff008742264
0xfffffff008742268: 3002108b  add	x16, x17, x16
0xfffffff00874226c: 00021fd6  br	x16
0xfffffff008742270: 9f2403d5  bti	j
0xfffffff008742274: 097d1053  lsr	w9, w8, #0x10
0xfffffff008742278: 08350a53  ubfx	w8, w8, #0xa, #4
0xfffffff00874227c: eaa740b9  ldr	w10, [sp, #0xa4]
0xfffffff008742280: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff008742284: e9cf00a9  stp	x9, x19, [sp, #8]
0xfffffff008742288: a850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff00874228c: 08a13891  add	x8, x8, #0xe28
0xfffffff008742290: e80300f9  str	x8, [sp]
0xfffffff008742294: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008742298: 00403691  add	x0, x0, #0xd90
0xfffffff00874229c: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087422a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087422a4: e34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff0087422a8: 63bc3b91  add	x3, x3, #0xeef
0xfffffff0087422ac: 02008052  mov	w2, #0
0xfffffff0087422b0: a0c3ef97  bl	#0xfffffff008333130
0xfffffff0087422b4: 42000014  b	#0xfffffff0087423bc
0xfffffff0087422b8: 9f2403d5  bti	j
0xfffffff0087422bc: 087d1053  lsr	w8, w8, #0x10
0xfffffff0087422c0: e9a740b9  ldr	w9, [sp, #0xa4]
0xfffffff0087422c4: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff0087422c8: ea0313aa  mov	x10, x19
0xfffffff0087422cc: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0087422d0: a950ffb0  adrp	x9, #0xfffffff007157000
0xfffffff0087422d4: 29a13891  add	x9, x9, #0xe28
0xfffffff0087422d8: e90300f9  str	x9, [sp]
0xfffffff0087422dc: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff0087422e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087422e4: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087422e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087422ec: e34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff0087422f0: 63fc3e91  add	x3, x3, #0xfbf
0xfffffff0087422f4: 02008052  mov	w2, #0
0xfffffff0087422f8: 8ec3ef97  bl	#0xfffffff008333130
0xfffffff0087422fc: 18008052  mov	w24, #0
0xfffffff008742300: 1c008052  mov	w28, #0
0xfffffff008742304: f706f836  tbz	w23, #0x1f, #0xfffffff0087423e0
0xfffffff008742308: 6d000014  b	#0xfffffff0087424bc
0xfffffff00874230c: 9f2403d5  bti	j
0xfffffff008742310: 097d1053  lsr	w9, w8, #0x10
0xfffffff008742314: 08350a53  ubfx	w8, w8, #0xa, #4
0xfffffff008742318: eaa740b9  ldr	w10, [sp, #0xa4]
0xfffffff00874231c: 6b008052  mov	w11, #3
0xfffffff008742320: e82f02a9  stp	x8, x11, [sp, #0x20]
0xfffffff008742324: e80313aa  mov	x8, x19
0xfffffff008742328: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff00874232c: a850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff008742330: 08a13891  add	x8, x8, #0xe28
0xfffffff008742334: e82700a9  stp	x8, x9, [sp]
0xfffffff008742338: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874233c: 00403691  add	x0, x0, #0xd90
0xfffffff008742340: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008742344: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008742348: e34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff00874234c: 63d43c91  add	x3, x3, #0xf35
0xfffffff008742350: 02008052  mov	w2, #0
0xfffffff008742354: 77c3ef97  bl	#0xfffffff008333130
0xfffffff008742358: 807e40f9  ldr	x0, [x20, #0xf8]
