; Candidate 7431
; ADRP+ADD at VM 0xfffffff00886d134 (fileoff 0x1869134): page=0x1fe97c000 add_imm=0xe80

0xfffffff00886d0b4: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00886d0b8: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00886d0bc: a84dfff0  adrp	x8, #0xfffffff007224000
0xfffffff00886d0c0: 08992691  add	x8, x8, #0x9a6
0xfffffff00886d0c4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00886d0c8: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d0cc: 08811191  add	x8, x8, #0x460
0xfffffff00886d0d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886d0d4: 680c8052  mov	w8, #0x63
0xfffffff00886d0d8: a04dfff0  adrp	x0, #0xfffffff007224000
0xfffffff00886d0dc: 00d42591  add	x0, x0, #0x975
0xfffffff00886d0e0: f72300a9  stp	x23, x8, [sp]
0xfffffff00886d0e4: df28d597  bl	#0xfffffff007db7460
0xfffffff00886d0e8: 1b000014  b	#0xfffffff00886d154
0xfffffff00886d0ec: 301c0194  bl	#0xfffffff0088b41ac
0xfffffff00886d0f0: f70300aa  mov	x23, x0
0xfffffff00886d0f4: e0008052  mov	w0, #7
0xfffffff00886d0f8: d6390094  bl	#0xfffffff00887b850
0xfffffff00886d0fc: e80316aa  mov	x8, x22
0xfffffff00886d100: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886d104: ea0315aa  mov	x10, x21
0xfffffff00886d108: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff00886d10c: e80314aa  mov	x8, x20
0xfffffff00886d110: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00886d114: a84dfff0  adrp	x8, #0xfffffff007224000
0xfffffff00886d118: 08992691  add	x8, x8, #0x9a6
0xfffffff00886d11c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00886d120: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d124: 08811191  add	x8, x8, #0x460
0xfffffff00886d128: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886d12c: 680c8052  mov	w8, #0x63
0xfffffff00886d130: f72300a9  stp	x23, x8, [sp]
0xfffffff00886d134: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886d138: 00003a91  add	x0, x0, #0xe80
0xfffffff00886d13c: c18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886d140: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886d144: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886d148: 63b40191  add	x3, x3, #0x6d
0xfffffff00886d14c: 02008052  mov	w2, #0
0xfffffff00886d150: f817eb97  bl	#0xfffffff008333130
0xfffffff00886d154: 9f7a0171  cmp	w20, #0x5e
0xfffffff00886d158: c2000054  b.hs	#0xfffffff00886d170
0xfffffff00886d15c: 17008052  mov	w23, #0
0xfffffff00886d160: 684e348b  add	x8, x19, w20, uxtw #3
0xfffffff00886d164: 152102b9  str	w21, [x8, #0x220]
0xfffffff00886d168: 162502b9  str	w22, [x8, #0x224]
0xfffffff00886d16c: 42000014  b	#0xfffffff00886d274
0xfffffff00886d170: 600c8052  mov	w0, #0x63
0xfffffff00886d174: 81008052  mov	w1, #4
0xfffffff00886d178: 96390094  bl	#0xfffffff00887b7d0
0xfffffff00886d17c: a0070034  cbz	w0, #0xfffffff00886d270
0xfffffff00886d180: 600c8052  mov	w0, #0x63
0xfffffff00886d184: a5390094  bl	#0xfffffff00887b818
0xfffffff00886d188: f80300aa  mov	x24, x0
0xfffffff00886d18c: 081c0194  bl	#0xfffffff0088b41ac
0xfffffff00886d190: f70300aa  mov	x23, x0
0xfffffff00886d194: 80008052  mov	w0, #4
0xfffffff00886d198: ae390094  bl	#0xfffffff00887b850
0xfffffff00886d19c: f8020034  cbz	w24, #0xfffffff00886d1f8
0xfffffff00886d1a0: e80316aa  mov	x8, x22
0xfffffff00886d1a4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886d1a8: ea0315aa  mov	x10, x21
0xfffffff00886d1ac: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff00886d1b0: e80314aa  mov	x8, x20
