; Candidate 16679
; ADRP+ADD at VM 0xfffffff009f23d30 (fileoff 0x2f1fd30): page=0x1fd935000 add_imm=0xd3a

0xfffffff009f23cb0: e28740f9  ldr	x2, [sp, #0x108]
0xfffffff009f23cb4: e3ef40b9  ldr	w3, [sp, #0xec]
0xfffffff009f23cb8: e09b4ba9  ldp	x0, x6, [sp, #0xb8]
0xfffffff009f23cbc: e10318aa  mov	x1, x24
0xfffffff009f23cc0: 040080d2  mov	x4, #0
0xfffffff009f23cc4: 05008052  mov	w5, #0
0xfffffff009f23cc8: acf1ff97  bl	#0xfffffff009f20378
0xfffffff009f23ccc: fb0300aa  mov	x27, x0
0xfffffff009f23cd0: 60030034  cbz	w0, #0xfffffff009f23d3c
0xfffffff009f23cd4: c80640f9  ldr	x8, [x22, #8]
0xfffffff009f23cd8: 880100b4  cbz	x8, #0xfffffff009f23d08
0xfffffff009f23cdc: 093e8452  mov	w9, #0x21f0
0xfffffff009f23ce0: 0801098b  add	x8, x8, x9
0xfffffff009f23ce4: e9031baa  mov	x9, x27
0xfffffff009f23ce8: 4a788252  mov	w10, #0x13c2
0xfffffff009f23cec: abc9feb0  adrp	x11, #0xfffffff007858000
0xfffffff009f23cf0: 6bfd3891  add	x11, x11, #0xe3f
0xfffffff009f23cf4: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009f23cf8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f23cfc: 0d000014  b	#0xfffffff009f23d30
0xfffffff009f23d00: 1b008052  mov	w27, #0
0xfffffff009f23d04: 1f000014  b	#0xfffffff009f23d80
0xfffffff009f23d08: c80240f9  ldr	x8, [x22]
0xfffffff009f23d0c: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff009f23d10: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009f23d14: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f23d18: e9031baa  mov	x9, x27
0xfffffff009f23d1c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f23d20: a8c9feb0  adrp	x8, #0xfffffff007858000
0xfffffff009f23d24: 08fd3891  add	x8, x8, #0xe3f
0xfffffff009f23d28: 49788252  mov	w9, #0x13c2
0xfffffff009f23d2c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f23d30: a0c9feb0  adrp	x0, #0xfffffff007858000
0xfffffff009f23d34: 00e83491  add	x0, x0, #0xd3a
0xfffffff009f23d38: e36efd97  bl	#0xfffffff009e7f8c4
0xfffffff009f23d3c: a80357f8  ldur	x8, [x29, #-0x90]
0xfffffff009f23d40: e95f40f9  ldr	x9, [sp, #0xb8]
0xfffffff009f23d44: 3f0108eb  cmp	x9, x8
0xfffffff009f23d48: c0010054  b.eq	#0xfffffff009f23d80
0xfffffff009f23d4c: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff009f23d50: e95f40f9  ldr	x9, [sp, #0xb8]
0xfffffff009f23d54: 3f0108eb  cmp	x9, x8
0xfffffff009f23d58: 40010054  b.eq	#0xfffffff009f23d80
0xfffffff009f23d5c: a80355f8  ldur	x8, [x29, #-0xb0]
0xfffffff009f23d60: e95f40f9  ldr	x9, [sp, #0xb8]
0xfffffff009f23d64: 3f0108eb  cmp	x9, x8
0xfffffff009f23d68: c0000054  b.eq	#0xfffffff009f23d80
0xfffffff009f23d6c: f35f40f9  ldr	x19, [sp, #0xb8]
0xfffffff009f23d70: 60c20291  add	x0, x19, #0xb0
0xfffffff009f23d74: a22a7a97  bl	#0xfffffff007dae7fc
0xfffffff009f23d78: e00313aa  mov	x0, x19
0xfffffff009f23d7c: b14c0094  bl	#0xfffffff009f37040
0xfffffff009f23d80: fa5b40f9  ldr	x26, [sp, #0xb0]
0xfffffff009f23d84: fc031aaa  mov	x28, x26
0xfffffff009f23d88: 880f4cf8  ldr	x8, [x28, #0xc0]!
0xfffffff009f23d8c: 08414079  ldrh	w8, [x8, #0x20]
0xfffffff009f23d90: 680b0837  tbnz	w8, #1, #0xfffffff009f23efc
0xfffffff009f23d94: f71f41b9  ldr	w23, [sp, #0x11c]
0xfffffff009f23d98: f88740f9  ldr	x24, [sp, #0x108]
0xfffffff009f23d9c: f57b8252  mov	w21, #0x13df
0xfffffff009f23da0: b9c9feb0  adrp	x25, #0xfffffff007858000
0xfffffff009f23da4: 39eb3491  add	x25, x25, #0xd3a
0xfffffff009f23da8: ffdb00b9  str	wzr, [sp, #0xd8]
0xfffffff009f23dac: ffeb00b9  str	wzr, [sp, #0xe8]
