; Candidate 13165
; ADRP+ADD at VM 0xfffffff0091fea24 (fileoff 0x21faa24): page=0x1fe2a4000 add_imm=0xeab

0xfffffff0091fe9a4: 29c100fc  stur	d9, [x9, #0xc]
0xfffffff0091fe9a8: 1fd10d39  strb	wzr, [x8, #0x374]
0xfffffff0091fe9ac: 1f7903b9  str	wzr, [x8, #0x378]
0xfffffff0091fe9b0: 80038052  mov	w0, #0x1c
0xfffffff0091fe9b4: dfc9c397  bl	#0xfffffff0082f1130
0xfffffff0091fe9b8: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9bc: 00d107f9  str	x0, [x8, #0xfa0]
0xfffffff0091fe9c0: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe9c4: 00d03991  add	x0, x0, #0xe74
0xfffffff0091fe9c8: 1caac497  bl	#0xfffffff008329238
0xfffffff0091fe9cc: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9d0: 00d507f9  str	x0, [x8, #0xfa8]
0xfffffff0091fe9d4: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe9d8: 002c3a91  add	x0, x0, #0xe8b
0xfffffff0091fe9dc: 17aac497  bl	#0xfffffff008329238
0xfffffff0091fe9e0: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9e4: 00d907f9  str	x0, [x8, #0xfb0]
0xfffffff0091fe9e8: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe9ec: 00703a91  add	x0, x0, #0xe9c
0xfffffff0091fe9f0: 12aac497  bl	#0xfffffff008329238
0xfffffff0091fe9f4: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9f8: 00dd07f9  str	x0, [x8, #0xfb8]
0xfffffff0091fe9fc: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea00: 00000d91  add	x0, x0, #0x340
0xfffffff0091fea04: 0daac497  bl	#0xfffffff008329238
0xfffffff0091fea08: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea0c: 00e107f9  str	x0, [x8, #0xfc0]
0xfffffff0091fea10: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea14: 00200d91  add	x0, x0, #0x348
0xfffffff0091fea18: 08aac497  bl	#0xfffffff008329238
0xfffffff0091fea1c: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea20: 00e507f9  str	x0, [x8, #0xfc8]
0xfffffff0091fea24: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea28: 00ac3a91  add	x0, x0, #0xeab
0xfffffff0091fea2c: 03aac497  bl	#0xfffffff008329238
0xfffffff0091fea30: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea34: 00e907f9  str	x0, [x8, #0xfd0]
0xfffffff0091fea38: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea3c: 00b00c91  add	x0, x0, #0x32c
0xfffffff0091fea40: fea9c497  bl	#0xfffffff008329238
0xfffffff0091fea44: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea48: 00ed07f9  str	x0, [x8, #0xfd8]
0xfffffff0091fea4c: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea50: 00d83a91  add	x0, x0, #0xeb6
0xfffffff0091fea54: f9a9c497  bl	#0xfffffff008329238
0xfffffff0091fea58: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea5c: 00f107f9  str	x0, [x8, #0xfe0]
0xfffffff0091fea60: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea64: 00043b91  add	x0, x0, #0xec1
0xfffffff0091fea68: f4a9c497  bl	#0xfffffff008329238
0xfffffff0091fea6c: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea70: 00f507f9  str	x0, [x8, #0xfe8]
0xfffffff0091fea74: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea78: 00203b91  add	x0, x0, #0xec8
0xfffffff0091fea7c: efa9c497  bl	#0xfffffff008329238
0xfffffff0091fea80: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea84: 00f907f9  str	x0, [x8, #0xff0]
0xfffffff0091fea88: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea8c: 00603b91  add	x0, x0, #0xed8
0xfffffff0091fea90: eaa9c497  bl	#0xfffffff008329238
0xfffffff0091fea94: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea98: 00fd07f9  str	x0, [x8, #0xff8]
0xfffffff0091fea9c: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091feaa0: 00943b91  add	x0, x0, #0xee5
