; Candidate 9916
; ADRP+ADD at VM 0xfffffff008bc17f0 (fileoff 0x1bbd7f0): page=0x1feed4000 add_imm=0xda0

0xfffffff008bc1770: ea0740f9  ldr	x10, [sp, #8]
0xfffffff008bc1774: 0b038052  mov	w11, #0x18
0xfffffff008bc1778: 61fbff54  b.ne	#0xfffffff008bc16e4
0xfffffff008bc177c: 3d000014  b	#0xfffffff008bc1870
0xfffffff008bc1780: 203aff90  adrp	x0, #0xfffffff007305000
0xfffffff008bc1784: 00400c91  add	x0, x0, #0x310
0xfffffff008bc1788: 6176ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008bc178c: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bc1790: 433bff90  adrp	x3, #0xfffffff007329000
0xfffffff008bc1794: 63fc1091  add	x3, x3, #0x43f
0xfffffff008bc1798: 02008052  mov	w2, #0
0xfffffff008bc179c: 65c6dd97  bl	#0xfffffff008333130
0xfffffff008bc17a0: 09000014  b	#0xfffffff008bc17c4
0xfffffff008bc17a4: 203aff90  adrp	x0, #0xfffffff007305000
0xfffffff008bc17a8: 00400c91  add	x0, x0, #0x310
0xfffffff008bc17ac: 6176ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008bc17b0: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bc17b4: 433bff90  adrp	x3, #0xfffffff007329000
0xfffffff008bc17b8: 63081291  add	x3, x3, #0x482
0xfffffff008bc17bc: 02008052  mov	w2, #0
0xfffffff008bc17c0: 5cc6dd97  bl	#0xfffffff008333130
0xfffffff008bc17c4: 00008012  mov	w0, #-1
0xfffffff008bc17c8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008bc17cc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008bc17d0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008bc17d4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008bc17d8: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008bc17dc: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff008bc17e0: ff030291  add	sp, sp, #0x80
0xfffffff008bc17e4: ff0f5fd6  retab	
0xfffffff008bc17e8: 17008052  mov	w23, #0
0xfffffff008bc17ec: 24000014  b	#0xfffffff008bc187c
0xfffffff008bc17f0: a076ff90  adrp	x0, #0xfffffff007a95000
0xfffffff008bc17f4: 00803691  add	x0, x0, #0xda0
0xfffffff008bc17f8: e10315aa  mov	x1, x21
0xfffffff008bc17fc: 02068052  mov	w2, #0x30
0xfffffff008bc1800: 7a55de97  bl	#0xfffffff008356de8
0xfffffff008bc1804: 203aff90  adrp	x0, #0xfffffff007305000
0xfffffff008bc1808: 00400c91  add	x0, x0, #0x310
0xfffffff008bc180c: 6176ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008bc1810: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bc1814: 433bff90  adrp	x3, #0xfffffff007329000
0xfffffff008bc1818: 63f81291  add	x3, x3, #0x4be
0xfffffff008bc181c: 02008052  mov	w2, #0
0xfffffff008bc1820: 44c6dd97  bl	#0xfffffff008333130
0xfffffff008bc1824: 20008012  mov	w0, #-2
0xfffffff008bc1828: 0f000014  b	#0xfffffff008bc1864
0xfffffff008bc182c: a076ff90  adrp	x0, #0xfffffff007a95000
0xfffffff008bc1830: 00c03791  add	x0, x0, #0xdf0
0xfffffff008bc1834: e10315aa  mov	x1, x21
0xfffffff008bc1838: 02068052  mov	w2, #0x30
0xfffffff008bc183c: 6b55de97  bl	#0xfffffff008356de8
0xfffffff008bc1840: 203aff90  adrp	x0, #0xfffffff007305000
0xfffffff008bc1844: 00400c91  add	x0, x0, #0x310
0xfffffff008bc1848: 6176ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008bc184c: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bc1850: 433bff90  adrp	x3, #0xfffffff007329000
0xfffffff008bc1854: 63e01391  add	x3, x3, #0x4f8
0xfffffff008bc1858: 02008052  mov	w2, #0
0xfffffff008bc185c: 35c6dd97  bl	#0xfffffff008333130
0xfffffff008bc1860: 40008012  mov	w0, #-3
0xfffffff008bc1864: e81740b9  ldr	w8, [sp, #0x14]
0xfffffff008bc1868: 08fb0737  tbnz	w8, #0, #0xfffffff008bc17c8
0xfffffff008bc186c: 150080d2  mov	x21, #0
