; Candidate 4516
; ADRP+ADD at VM 0xfffffff0087b8328 (fileoff 0x17b4328): page=0x1fe979000 add_imm=0xd90

0xfffffff0087b82a8: 4a050011  add	w10, w10, #1
0xfffffff0087b82ac: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff0087b82b0: 4b1d0011  add	w11, w10, #7
0xfffffff0087b82b4: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff0087b82b8: 3f050071  cmp	w9, #1
0xfffffff0087b82bc: 49018b1a  csel	w9, w10, w11, eq
0xfffffff0087b82c0: 3f210071  cmp	w9, #8
0xfffffff0087b82c4: 88020054  b.hi	#0xfffffff0087b8314
0xfffffff0087b82c8: e80300aa  mov	x8, x0
0xfffffff0087b82cc: f00309aa  mov	x16, x9
0xfffffff0087b82d0: 1f2200f1  cmp	x16, #8
0xfffffff0087b82d4: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0087b82d8: 11000090  adrp	x17, #0xfffffff0087b8000
0xfffffff0087b82dc: 31a21091  add	x17, x17, #0x428
0xfffffff0087b82e0: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0087b82e4: 11000010  adr	x17, #0xfffffff0087b82e4
0xfffffff0087b82e8: 3002108b  add	x16, x17, x16
0xfffffff0087b82ec: 00021fd6  br	x16
0xfffffff0087b82f0: 9f2403d5  bti	j
0xfffffff0087b82f4: 00008052  mov	w0, #0
0xfffffff0087b82f8: 29fc0011  add	w9, w1, #0x3f
0xfffffff0087b82fc: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0087b8300: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff0087b8304: 29781f53  lsl	w9, w1, #1
0xfffffff0087b8308: 41000014  b	#0xfffffff0087b840c
0xfffffff0087b830c: 00008052  mov	w0, #0
0xfffffff0087b8310: 43000014  b	#0xfffffff0087b841c
0xfffffff0087b8314: 9f2403d5  bti	j
0xfffffff0087b8318: 28210011  add	w8, w9, #8
0xfffffff0087b831c: a94cfff0  adrp	x9, #0xfffffff00714f000
0xfffffff0087b8320: 29351b91  add	x9, x9, #0x6cd
0xfffffff0087b8324: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b8328: c04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b832c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b8330: 2192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b8334: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b8338: a34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b833c: 63602791  add	x3, x3, #0x9d8
0xfffffff0087b8340: 02008052  mov	w2, #0
0xfffffff0087b8344: 7bebed97  bl	#0xfffffff008333130
0xfffffff0087b8348: 00008012  mov	w0, #-1
0xfffffff0087b834c: 34000014  b	#0xfffffff0087b841c
0xfffffff0087b8350: 9f2403d5  bti	j
0xfffffff0087b8354: 00008052  mov	w0, #0
0xfffffff0087b8358: 29080011  add	w9, w1, #2
0xfffffff0087b835c: 6a559552  mov	w10, #0xaaab
0xfffffff0087b8360: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff0087b8364: 297daa9b  umull	x9, w9, w10
0xfffffff0087b8368: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087b836c: 29791f53  lsl	w9, w9, #1
0xfffffff0087b8370: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff0087b8374: 29fd0011  add	w9, w9, #0x3f
0xfffffff0087b8378: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0087b837c: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff0087b8380: 29781f53  lsl	w9, w1, #1
0xfffffff0087b8384: 2909c41a  udiv	w9, w9, w4
0xfffffff0087b8388: 29150011  add	w9, w9, #5
0xfffffff0087b838c: 297daa9b  umull	x9, w9, w10
0xfffffff0087b8390: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087b8394: 29791f53  lsl	w9, w9, #1
0xfffffff0087b8398: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff0087b839c: 1d000014  b	#0xfffffff0087b8410
0xfffffff0087b83a0: 9f2403d5  bti	j
0xfffffff0087b83a4: 00008052  mov	w0, #0
