; Candidate 15361
; ADRP+ADD at VM 0xfffffff009b555f8 (fileoff 0x2b515f8): page=0x1fdad3000 add_imm=0xed0

0xfffffff009b55578: 40000054  b.eq	#0xfffffff009b55580
0xfffffff009b5557c: 408e38d4  brk	#0xc472
0xfffffff009b55580: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b55584: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b55588: e00313aa  mov	x0, x19
0xfffffff009b5558c: 010080d2  mov	x1, #0
0xfffffff009b55590: f10308aa  mov	x17, x8
0xfffffff009b55594: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b55598: 31093fd7  blraa	x9, x17
0xfffffff009b5559c: f50300aa  mov	x21, x0
0xfffffff009b555a0: 700240f9  ldr	x16, [x19]
0xfffffff009b555a4: f10313aa  mov	x17, x19
0xfffffff009b555a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b555ac: 301ac1da  autda	x16, x17
0xfffffff009b555b0: f10310aa  mov	x17, x16
0xfffffff009b555b4: f147c1da  xpacd	x17
0xfffffff009b555b8: 1f0211eb  cmp	x16, x17
0xfffffff009b555bc: 40000054  b.eq	#0xfffffff009b555c4
0xfffffff009b555c0: 408e38d4  brk	#0xc472
0xfffffff009b555c4: 08620891  add	x8, x16, #0x218
0xfffffff009b555c8: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b555cc: e00313aa  mov	x0, x19
0xfffffff009b555d0: 010080d2  mov	x1, #0
0xfffffff009b555d4: f10308aa  mov	x17, x8
0xfffffff009b555d8: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b555dc: 31093fd7  blraa	x9, x17
0xfffffff009b555e0: a8d6feb0  adrp	x8, #0xfffffff00762a000
0xfffffff009b555e4: 08413791  add	x8, x8, #0xdd0
0xfffffff009b555e8: a9d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b555ec: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b555f0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b555f4: f50300a9  stp	x21, x0, [sp]
0xfffffff009b555f8: 80d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b555fc: 00403b91  add	x0, x0, #0xed0
0xfffffff009b55600: a3d6fef0  adrp	x3, #0xfffffff00762c000
0xfffffff009b55604: 63942991  add	x3, x3, #0xa65
0xfffffff009b55608: e10314aa  mov	x1, x20
0xfffffff009b5560c: 02028052  mov	w2, #0x10
0xfffffff009b55610: c8769f97  bl	#0xfffffff008333130
0xfffffff009b55614: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b55618: 09014bb9  ldr	w9, [x8, #0xb00]
0xfffffff009b5561c: 29010632  orr	w9, w9, #0x4000000
0xfffffff009b55620: 09010bb9  str	w9, [x8, #0xb00]
0xfffffff009b55624: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009b55628: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009b5562c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009b55630: ff430191  add	sp, sp, #0x50
0xfffffff009b55634: ff0f5fd6  retab	
0xfffffff009b55638: 5f2403d5  bti	c
0xfffffff009b5563c: 088c41f9  ldr	x8, [x0, #0x318]
0xfffffff009b55640: 1f1540b9  ldr	wzr, [x8, #0x14]
0xfffffff009b55644: 1f1940b9  ldr	wzr, [x8, #0x18]
0xfffffff009b55648: 1f1948b9  ldr	wzr, [x8, #0x818]
0xfffffff009b5564c: 1f1d48b9  ldr	wzr, [x8, #0x81c]
0xfffffff009b55650: 1f0148b9  ldr	wzr, [x8, #0x800]
0xfffffff009b55654: 1f0548b9  ldr	wzr, [x8, #0x804]
0xfffffff009b55658: 1f0948b9  ldr	wzr, [x8, #0x808]
0xfffffff009b5565c: 1f2d40b9  ldr	wzr, [x8, #0x2c]
0xfffffff009b55660: 1f0d40b9  ldr	wzr, [x8, #0xc]
0xfffffff009b55664: 1f1140b9  ldr	wzr, [x8, #0x10]
0xfffffff009b55668: 1f0940b9  ldr	wzr, [x8, #8]
0xfffffff009b5566c: 1f2540b9  ldr	wzr, [x8, #0x24]
0xfffffff009b55670: 1f2940b9  ldr	wzr, [x8, #0x28]
0xfffffff009b55674: 1f0541b9  ldr	wzr, [x8, #0x104]
