; Candidate 2577
; ADRP+ADD at VM 0xfffffff0086c2690 (fileoff 0x16be690): page=0x1fea6b000 add_imm=0xcdb

0xfffffff0086c2610: 910cf4f2  movk	x17, #0xa064, lsl #48
0xfffffff0086c2614: 11093fd7  blraa	x8, x17
0xfffffff0086c2618: e10300aa  mov	x1, x0
0xfffffff0086c261c: 02000014  b	#0xfffffff0086c2624
0xfffffff0086c2620: 01008052  mov	w1, #0
0xfffffff0086c2624: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff0086c2628: aa030094  bl	#0xfffffff0086c34d0
0xfffffff0086c262c: 5b000014  b	#0xfffffff0086c2798
0xfffffff0086c2630: e00315aa  mov	x0, x21
0xfffffff0086c2634: 01008052  mov	w1, #0
0xfffffff0086c2638: 59bbf097  bl	#0xfffffff0082f139c
0xfffffff0086c263c: 608600f9  str	x0, [x19, #0x108]
0xfffffff0086c2640: c03c00b4  cbz	x0, #0xfffffff0086c2dd8
0xfffffff0086c2644: 68fe40b9  ldr	w8, [x19, #0xfc]
0xfffffff0086c2648: 1f190071  cmp	w8, #6
0xfffffff0086c264c: c34e0054  b.lo	#0xfffffff0086c3024
0xfffffff0086c2650: 700240f9  ldr	x16, [x19]
0xfffffff0086c2654: f10313aa  mov	x17, x19
0xfffffff0086c2658: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c265c: 301ac1da  autda	x16, x17
0xfffffff0086c2660: 113d80d2  mov	x17, #0x1e8
0xfffffff0086c2664: 1002118b  add	x16, x16, x17
0xfffffff0086c2668: 080240f9  ldr	x8, [x16]
0xfffffff0086c266c: e90310aa  mov	x9, x16
0xfffffff0086c2670: e00313aa  mov	x0, x19
0xfffffff0086c2674: 010080d2  mov	x1, #0
0xfffffff0086c2678: f10309aa  mov	x17, x9
0xfffffff0086c267c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086c2680: 11093fd7  blraa	x8, x17
0xfffffff0086c2684: 4853fff0  adrp	x8, #0xfffffff00712d000
0xfffffff0086c2688: 088d3291  add	x8, x8, #0xca3
0xfffffff0086c268c: e02300a9  stp	x0, x8, [sp]
0xfffffff0086c2690: 4053fff0  adrp	x0, #0xfffffff00712d000
0xfffffff0086c2694: 006c3391  add	x0, x0, #0xcdb
0xfffffff0086c2698: 98feff17  b	#0xfffffff0086c20f8
0xfffffff0086c269c: f2f0ff97  bl	#0xfffffff0086bea64
0xfffffff0086c26a0: f40300aa  mov	x20, x0
0xfffffff0086c26a4: 608241f9  ldr	x0, [x19, #0x300]
0xfffffff0086c26a8: 087d8052  mov	w8, #0x3e8
0xfffffff0086c26ac: 887e289b  smull	x8, w20, w8
0xfffffff0086c26b0: 15fd5093  asr	x21, x8, #0x10
0xfffffff0086c26b4: 01ae8dd2  mov	x1, #0x6d70
0xfffffff0086c26b8: 21ecadf2  movk	x1, #0x6f61, lsl #16
0xfffffff0086c26bc: 416eccf2  movk	x1, #0x6372, lsl #32
0xfffffff0086c26c0: 21adedf2  movk	x1, #0x6d69, lsl #48
0xfffffff0086c26c4: e20315aa  mov	x2, x21
0xfffffff0086c26c8: a040f597  bl	#0xfffffff008412948
0xfffffff0086c26cc: 4153ffd0  adrp	x1, #0xfffffff00712c000
0xfffffff0086c26d0: 213c2291  add	x1, x1, #0x88f
0xfffffff0086c26d4: 4353ffd0  adrp	x3, #0xfffffff00712c000
0xfffffff0086c26d8: 63c82291  add	x3, x3, #0x8b2
0xfffffff0086c26dc: e00313aa  mov	x0, x19
0xfffffff0086c26e0: e20315aa  mov	x2, x21
0xfffffff0086c26e4: 3fedff97  bl	#0xfffffff0086bdbe0
0xfffffff0086c26e8: e00313aa  mov	x0, x19
0xfffffff0086c26ec: e10314aa  mov	x1, x20
0xfffffff0086c26f0: 0aedff97  bl	#0xfffffff0086bdb18
0xfffffff0086c26f4: 68be81b9  ldrsw	x8, [x19, #0x1bc]
0xfffffff0086c26f8: 097c4093  sxtw	x9, w0
0xfffffff0086c26fc: 087d099b  mul	x8, x8, x9
0xfffffff0086c2700: 14fd50d3  lsr	x20, x8, #0x10
0xfffffff0086c2704: 608241f9  ldr	x0, [x19, #0x300]
0xfffffff0086c2708: 177d8052  mov	w23, #0x3e8
0xfffffff0086c270c: 887e379b  smull	x8, w20, w23
