; Candidate 7358
; ADRP+ADD at VM 0xfffffff008869aa8 (fileoff 0x1865aa8): page=0x1fe980000 add_imm=0xe80

0xfffffff008869a28: 17020034  cbz	w23, #0xfffffff008869a68
0xfffffff008869a2c: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869a30: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008869a34: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008869a38: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869a3c: 09092791  add	x9, x8, #0x9c2
0xfffffff008869a40: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869a44: 08811191  add	x8, x8, #0x460
0xfffffff008869a48: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008869a4c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008869a50: 680c8052  mov	w8, #0x63
0xfffffff008869a54: 404dffb0  adrp	x0, #0xfffffff007212000
0xfffffff008869a58: 00701b91  add	x0, x0, #0x6dc
0xfffffff008869a5c: f62300a9  stp	x22, x8, [sp]
0xfffffff008869a60: 8036d597  bl	#0xfffffff007db7460
0xfffffff008869a64: 19000014  b	#0xfffffff008869ac8
0xfffffff008869a68: d1290194  bl	#0xfffffff0088b41ac
0xfffffff008869a6c: f60300aa  mov	x22, x0
0xfffffff008869a70: c0008052  mov	w0, #6
0xfffffff008869a74: 77470094  bl	#0xfffffff00887b850
0xfffffff008869a78: e80315aa  mov	x8, x21
0xfffffff008869a7c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008869a80: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008869a84: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008869a88: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869a8c: 0a092791  add	x10, x8, #0x9c2
0xfffffff008869a90: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869a94: 08811191  add	x8, x8, #0x460
0xfffffff008869a98: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008869a9c: 680c8052  mov	w8, #0x63
0xfffffff008869aa0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008869aa4: f60300f9  str	x22, [sp]
0xfffffff008869aa8: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008869aac: 00003a91  add	x0, x0, #0xe80
0xfffffff008869ab0: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008869ab4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008869ab8: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff008869abc: 63842191  add	x3, x3, #0x861
0xfffffff008869ac0: 02008052  mov	w2, #0
0xfffffff008869ac4: 9b25eb97  bl	#0xfffffff008333130
0xfffffff008869ac8: e00315aa  mov	x0, x21
0xfffffff008869acc: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008869ad0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008869ad4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008869ad8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008869adc: ff430291  add	sp, sp, #0x90
0xfffffff008869ae0: ff0f5fd6  retab	
0xfffffff008869ae4: 7f2303d5  pacibsp	
0xfffffff008869ae8: ffc304d1  sub	sp, sp, #0x130
0xfffffff008869aec: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff008869af0: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff008869af4: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff008869af8: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff008869afc: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff008869b00: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff008869b04: fd830491  add	x29, sp, #0x120
0xfffffff008869b08: f40301aa  mov	x20, x1
0xfffffff008869b0c: f30300aa  mov	x19, x0
0xfffffff008869b10: 600c8052  mov	w0, #0x63
0xfffffff008869b14: c1008052  mov	w1, #6
0xfffffff008869b18: 2e470094  bl	#0xfffffff00887b7d0
0xfffffff008869b1c: c0020034  cbz	w0, #0xfffffff008869b74
0xfffffff008869b20: 600c8052  mov	w0, #0x63
0xfffffff008869b24: 3d470094  bl	#0xfffffff00887b818
