; Candidate 5797
; ADRP+ADD at VM 0xfffffff008804500 (fileoff 0x1800500): page=0x1fe9e5000 add_imm=0xe80

0xfffffff008804480: 20060034  cbz	w0, #0xfffffff008804544
0xfffffff008804484: e00313aa  mov	x0, x19
0xfffffff008804488: e4dc0194  bl	#0xfffffff00887b818
0xfffffff00880448c: f501f837  tbnz	w21, #0x1f, #0xfffffff0088044c8
0xfffffff008804490: b6021b12  and	w22, w21, #0x20
0xfffffff008804494: 18000052  eor	w24, w0, #1
0xfffffff008804498: 45bf0294  bl	#0xfffffff0088b41ac
0xfffffff00880449c: f70300aa  mov	x23, x0
0xfffffff0088044a0: e00314aa  mov	x0, x20
0xfffffff0088044a4: ebdc0194  bl	#0xfffffff00887b850
0xfffffff0088044a8: 0817562a  orr	w8, w24, w22, lsr #5
0xfffffff0088044ac: c8010037  tbnz	w8, #0, #0xfffffff0088044e4
0xfffffff0088044b0: e80313aa  mov	x8, x19
0xfffffff0088044b4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088044b8: f70300f9  str	x23, [sp]
0xfffffff0088044bc: a050ffd0  adrp	x0, #0xfffffff00721a000
0xfffffff0088044c0: 00740691  add	x0, x0, #0x19d
0xfffffff0088044c4: 06000014  b	#0xfffffff0088044dc
0xfffffff0088044c8: e0020034  cbz	w0, #0xfffffff008804524
0xfffffff0088044cc: e803154b  neg	w8, w21
0xfffffff0088044d0: a8022837  tbnz	w8, #5, #0xfffffff008804524
0xfffffff0088044d4: a050ffd0  adrp	x0, #0xfffffff00721a000
0xfffffff0088044d8: 002c0691  add	x0, x0, #0x18b
0xfffffff0088044dc: e1cbd697  bl	#0xfffffff007db7460
0xfffffff0088044e0: 19000014  b	#0xfffffff008804544
0xfffffff0088044e4: 32bf0294  bl	#0xfffffff0088b41ac
0xfffffff0088044e8: f70300aa  mov	x23, x0
0xfffffff0088044ec: e00314aa  mov	x0, x20
0xfffffff0088044f0: d8dc0194  bl	#0xfffffff00887b850
0xfffffff0088044f4: e80313aa  mov	x8, x19
0xfffffff0088044f8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088044fc: f70300f9  str	x23, [sp]
0xfffffff008804500: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008804504: 00003a91  add	x0, x0, #0xe80
0xfffffff008804508: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880450c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008804510: 0352ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008804514: 63280191  add	x3, x3, #0x4a
0xfffffff008804518: 02008052  mov	w2, #0
0xfffffff00880451c: 05bbec97  bl	#0xfffffff008333130
0xfffffff008804520: 09000014  b	#0xfffffff008804544
0xfffffff008804524: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008804528: 00003a91  add	x0, x0, #0xe80
0xfffffff00880452c: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008804530: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008804534: 0352ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008804538: 63e40091  add	x3, x3, #0x39
0xfffffff00880453c: 02008052  mov	w2, #0
0xfffffff008804540: fcbaec97  bl	#0xfffffff008333130
0xfffffff008804544: 68cb4391  add	x8, x27, #0xf2, lsl #12
0xfffffff008804548: 00010491  add	x0, x8, #0x100
0xfffffff00880454c: e10313aa  mov	x1, x19
0xfffffff008804550: e20315aa  mov	x2, x21
0xfffffff008804554: 030080d2  mov	x3, #0
0xfffffff008804558: 04008052  mov	w4, #0
0xfffffff00880455c: 38080294  bl	#0xfffffff00888663c
0xfffffff008804560: 68cb4391  add	x8, x27, #0xf2, lsl #12
0xfffffff008804564: 00510491  add	x0, x8, #0x114
0xfffffff008804568: e10313aa  mov	x1, x19
0xfffffff00880456c: e20315aa  mov	x2, x21
0xfffffff008804570: 030080d2  mov	x3, #0
0xfffffff008804574: 04008052  mov	w4, #0
0xfffffff008804578: 31080294  bl	#0xfffffff00888663c
0xfffffff00880457c: e00313aa  mov	x0, x19
