; Candidate 2770
; ADRP+ADD at VM 0xfffffff0086e76c4 (fileoff 0x16e36c4): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e7644: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e7648: 3f01146a  tst	w9, w20
0xfffffff0086e764c: 00020054  b.eq	#0xfffffff0086e768c
0xfffffff0086e7650: f62300a9  stp	x22, x8, [sp]
0xfffffff0086e7654: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7658: 00403691  add	x0, x0, #0xd90
0xfffffff0086e765c: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7660: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7664: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7668: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e766c: 02008052  mov	w2, #0
0xfffffff0086e7670: b02ef197  bl	#0xfffffff008333130
0xfffffff0086e7674: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e7678: 05000014  b	#0xfffffff0086e768c
0xfffffff0086e767c: 15008052  mov	w21, #0
0xfffffff0086e7680: 17018052  mov	w23, #8
0xfffffff0086e7684: e8030aaa  mov	x8, x10
0xfffffff0086e7688: f60309aa  mov	x22, x9
0xfffffff0086e768c: e903174b  neg	w9, w23
0xfffffff0086e7690: c926c91a  lsr	w9, w22, w9
0xfffffff0086e7694: 3501152a  orr	w21, w9, w21
0xfffffff0086e7698: c922d71a  lsl	w9, w22, w23
0xfffffff0086e769c: 0801174b  sub	w8, w8, w23
0xfffffff0086e76a0: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e76a4: 6ace5eb9  ldr	w10, [x19, #0x1ecc]
0xfffffff0086e76a8: 5f01146a  tst	w10, w20
0xfffffff0086e76ac: e0010054  b.eq	#0xfffffff0086e76e8
0xfffffff0086e76b0: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e76b4: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e76b8: 08650c91  add	x8, x8, #0x319
0xfffffff0086e76bc: 09018052  mov	w9, #8
0xfffffff0086e76c0: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e76c4: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e76c8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e76cc: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e76d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e76d4: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e76d8: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e76dc: 02008052  mov	w2, #0
0xfffffff0086e76e0: 942ef197  bl	#0xfffffff008333130
0xfffffff0086e76e4: 69224529  ldp	w9, w8, [x19, #0x28]
0xfffffff0086e76e8: 1f1d0071  cmp	w8, #7
0xfffffff0086e76ec: a8040054  b.hi	#0xfffffff0086e7780
0xfffffff0086e76f0: 0a008052  mov	w10, #0
0xfffffff0086e76f4: 16008052  mov	w22, #0
0xfffffff0086e76f8: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e76fc: 8b008052  mov	w11, #4
0xfffffff0086e7700: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e7704: d65e1853  lsl	w22, w22, #8
0xfffffff0086e7708: bf010ceb  cmp	x13, x12
0xfffffff0086e770c: 02010054  b.hs	#0xfffffff0086e772c
0xfffffff0086e7710: 4a210011  add	w10, w10, #8
0xfffffff0086e7714: 6a2e00b9  str	w10, [x19, #0x2c]
0xfffffff0086e7718: ae050091  add	x14, x13, #1
0xfffffff0086e771c: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e7720: ad014039  ldrb	w13, [x13]
0xfffffff0086e7724: d6020d2a  orr	w22, w22, w13
0xfffffff0086e7728: ed030eaa  mov	x13, x14
0xfffffff0086e772c: 6b050071  subs	w11, w11, #1
0xfffffff0086e7730: a1feff54  b.ne	#0xfffffff0086e7704
0xfffffff0086e7734: 0b018052  mov	w11, #8
0xfffffff0086e7738: 7701084b  sub	w23, w11, w8
0xfffffff0086e773c: e803084b  neg	w8, w8
0xfffffff0086e7740: 2825c81a  lsr	w8, w9, w8
