; Candidate 15827
; ADRP+ADD at VM 0xfffffff009d34fe8 (fileoff 0x2d30fe8): page=0x1fd93a000 add_imm=0xe60

0xfffffff009d34f68: 317df3f2  movk	x17, #0x9be9, lsl #48
0xfffffff009d34f6c: 11093fd7  blraa	x8, x17
0xfffffff009d34f70: 60030036  tbz	w0, #0, #0xfffffff009d34fdc
0xfffffff009d34f74: 100000b0  adrp	x16, #0xfffffff009d35000
0xfffffff009d34f78: 10f20191  add	x16, x16, #0x7c
0xfffffff009d34f7c: 110283d2  mov	x17, #0x1810
0xfffffff009d34f80: 3002c1da  pacia	x16, x17
0xfffffff009d34f84: e20310aa  mov	x2, x16
0xfffffff009d34f88: e00315aa  mov	x0, x21
0xfffffff009d34f8c: e10313aa  mov	x1, x19
0xfffffff009d34f90: e30313aa  mov	x3, x19
0xfffffff009d34f94: 040080d2  mov	x4, #0
0xfffffff009d34f98: b2050094  bl	#0xfffffff009d36660
0xfffffff009d34f9c: e0020036  tbz	w0, #0, #0xfffffff009d34ff8
0xfffffff009d34fa0: 757200f9  str	x21, [x19, #0xe0]
0xfffffff009d34fa4: e00315aa  mov	x0, x21
0xfffffff009d34fa8: 81070094  bl	#0xfffffff009d36dac
0xfffffff009d34fac: 16008052  mov	w22, #0
0xfffffff009d34fb0: 882640f9  ldr	x8, [x20, #0x48]
0xfffffff009d34fb4: 000100f9  str	x0, [x8]
0xfffffff009d34fb8: 63ffff17  b	#0xfffffff009d34d44
0xfffffff009d34fbc: fa0300f9  str	x26, [sp]
0xfffffff009d34fc0: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d34fc4: 00dc3891  add	x0, x0, #0xe37
0xfffffff009d34fc8: 16889897  bl	#0xfffffff008357020
0xfffffff009d34fcc: 28598052  mov	w8, #0x2c9
0xfffffff009d34fd0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009d34fd4: 162d0051  sub	w22, w8, #0xb
0xfffffff009d34fd8: 5bffff17  b	#0xfffffff009d34d44
0xfffffff009d34fdc: 36598052  mov	w22, #0x2c9
0xfffffff009d34fe0: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff009d34fe4: fa0300f9  str	x26, [sp]
0xfffffff009d34fe8: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d34fec: 00803991  add	x0, x0, #0xe60
0xfffffff009d34ff0: 0c889897  bl	#0xfffffff008357020
0xfffffff009d34ff4: 17000014  b	#0xfffffff009d35050
0xfffffff009d34ff8: 36598052  mov	w22, #0x2c9
0xfffffff009d34ffc: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff009d35000: fa0300f9  str	x26, [sp]
0xfffffff009d35004: c0c9feb0  adrp	x0, #0xfffffff00766e000
0xfffffff009d35008: 00ec3991  add	x0, x0, #0xe7b
0xfffffff009d3500c: 05889897  bl	#0xfffffff008357020
0xfffffff009d35010: b00240f9  ldr	x16, [x21]
0xfffffff009d35014: f10315aa  mov	x17, x21
0xfffffff009d35018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d3501c: 301ac1da  autda	x16, x17
0xfffffff009d35020: f10310aa  mov	x17, x16
0xfffffff009d35024: f147c1da  xpacd	x17
0xfffffff009d35028: 1f0211eb  cmp	x16, x17
0xfffffff009d3502c: 40000054  b.eq	#0xfffffff009d35034
0xfffffff009d35030: 408e38d4  brk	#0xc472
0xfffffff009d35034: 08a20d91  add	x8, x16, #0x368
0xfffffff009d35038: 09b641f9  ldr	x9, [x16, #0x368]
0xfffffff009d3503c: e00315aa  mov	x0, x21
0xfffffff009d35040: e10313aa  mov	x1, x19
0xfffffff009d35044: f10308aa  mov	x17, x8
0xfffffff009d35048: 1163eef2  movk	x17, #0x7318, lsl #48
0xfffffff009d3504c: 31093fd7  blraa	x9, x17
0xfffffff009d35050: b00240f9  ldr	x16, [x21]
0xfffffff009d35054: f10315aa  mov	x17, x21
0xfffffff009d35058: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d3505c: 301ac1da  autda	x16, x17
0xfffffff009d35060: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009d35064: e90310aa  mov	x9, x16
