; Candidate 13698
; ADRP+ADD at VM 0xfffffff0093d2a9c (fileoff 0x23cea9c): page=0x1fe139000 add_imm=0xd13

0xfffffff0093d2a1c: 4a513091  add	x10, x10, #0xc14
0xfffffff0093d2a20: cb09ffb0  adrp	x11, #0xfffffff00750b000
0xfffffff0093d2a24: 6b8d3091  add	x11, x11, #0xc23
0xfffffff0093d2a28: 3f007cf2  tst	x1, #0x10
0xfffffff0093d2a2c: 6a018a9a  csel	x10, x11, x10, eq
0xfffffff0093d2a30: 6b240012  and	w11, w3, #0x3ff
0xfffffff0093d2a34: 6c3c0c53  ubfx	w12, w3, #0xc, #4
0xfffffff0093d2a38: 6d438052  mov	w13, #0x21b
0xfffffff0093d2a3c: ce09ffb0  adrp	x14, #0xfffffff00750b000
0xfffffff0093d2a40: cefd2b91  add	x14, x14, #0xaff
0xfffffff0093d2a44: ee3704a9  stp	x14, x13, [sp, #0x40]
0xfffffff0093d2a48: e10b01a9  stp	x1, x2, [sp, #0x10]
0xfffffff0093d2a4c: ea2300a9  stp	x10, x8, [sp]
0xfffffff0093d2a50: eb2703a9  stp	x11, x9, [sp, #0x30]
0xfffffff0093d2a54: c009ffb0  adrp	x0, #0xfffffff00750b000
0xfffffff0093d2a58: 00ec3091  add	x0, x0, #0xc3b
0xfffffff0093d2a5c: e33302a9  stp	x3, x12, [sp, #0x20]
0xfffffff0093d2a60: ab06c397  bl	#0xfffffff00849450c
0xfffffff0093d2a64: e00301aa  mov	x0, x1
0xfffffff0093d2a68: e10308aa  mov	x1, x8
0xfffffff0093d2a6c: 06010094  bl	#0xfffffff0093d2e84
0xfffffff0093d2a70: 6a240012  and	w10, w3, #0x3ff
0xfffffff0093d2a74: 6b3c0c53  ubfx	w11, w3, #0xc, #4
0xfffffff0093d2a78: 6c478052  mov	w12, #0x23b
0xfffffff0093d2a7c: cd09ffb0  adrp	x13, #0xfffffff00750b000
0xfffffff0093d2a80: adfd2b91  add	x13, x13, #0xaff
0xfffffff0093d2a84: ed3304a9  stp	x13, x12, [sp, #0x40]
0xfffffff0093d2a88: e10b01a9  stp	x1, x2, [sp, #0x10]
0xfffffff0093d2a8c: cc09ffb0  adrp	x12, #0xfffffff00750b000
0xfffffff0093d2a90: 8cc13591  add	x12, x12, #0xd70
0xfffffff0093d2a94: ec2300a9  stp	x12, x8, [sp]
0xfffffff0093d2a98: ea2703a9  stp	x10, x9, [sp, #0x30]
0xfffffff0093d2a9c: c009ffb0  adrp	x0, #0xfffffff00750b000
0xfffffff0093d2aa0: 004c3491  add	x0, x0, #0xd13
0xfffffff0093d2aa4: e32f02a9  stp	x3, x11, [sp, #0x20]
0xfffffff0093d2aa8: 9906c397  bl	#0xfffffff00849450c
0xfffffff0093d2aac: 7f2303d5  pacibsp	
0xfffffff0093d2ab0: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0093d2ab4: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0093d2ab8: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0093d2abc: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0093d2ac0: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0093d2ac4: fd030391  add	x29, sp, #0xc0
0xfffffff0093d2ac8: f40303aa  mov	x20, x3
0xfffffff0093d2acc: f60302aa  mov	x22, x2
0xfffffff0093d2ad0: f50301aa  mov	x21, x1
0xfffffff0093d2ad4: f30300aa  mov	x19, x0
0xfffffff0093d2ad8: 29f879d3  ubfx	x9, x1, #0x39, #6
0xfffffff0093d2adc: e803092a  mov	w8, w9
0xfffffff0093d2ae0: 3f890071  cmp	w9, #0x22
0xfffffff0093d2ae4: 48010054  b.hi	#0xfffffff0093d2b0c
0xfffffff0093d2ae8: 2a009cd2  mov	x10, #0xe001
0xfffffff0093d2aec: 2ae0bff2  movk	x10, #0xff01, lsl #16
0xfffffff0093d2af0: 4a00c0f2  movk	x10, #2, lsl #32
0xfffffff0093d2af4: 4a25c99a  lsr	x10, x10, x9
0xfffffff0093d2af8: aa000037  tbnz	w10, #0, #0xfffffff0093d2b0c
0xfffffff0093d2afc: ea3ffff0  adrp	x10, #0xfffffff007bd1000
0xfffffff0093d2b00: 4a810091  add	x10, x10, #0x20
0xfffffff0093d2b04: 577968f8  ldr	x23, [x10, x8, lsl #3]
0xfffffff0093d2b08: 03000014  b	#0xfffffff0093d2b14
0xfffffff0093d2b0c: d709ffb0  adrp	x23, #0xfffffff00750b000
0xfffffff0093d2b10: f7e62891  add	x23, x23, #0xa39
0xfffffff0093d2b14: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0093d2b18: e08303ad  stp	q0, q0, [sp, #0x70]
