; Candidate 16426
; ADRP+ADD at VM 0xfffffff009e9d2dc (fileoff 0x2e992dc): page=0x1fd9a0000 add_imm=0xe4e

0xfffffff009e9d25c: f500b836  tbz	w21, #0x17, #0xfffffff009e9d278
0xfffffff009e9d260: 610640f9  ldr	x1, [x19, #8]
0xfffffff009e9d264: e2c30091  add	x2, sp, #0x30
0xfffffff009e9d268: e00314aa  mov	x0, x20
0xfffffff009e9d26c: cdd70194  bl	#0xfffffff009f131a0
0xfffffff009e9d270: 1f080071  cmp	w0, #2
0xfffffff009e9d274: 20020054  b.eq	#0xfffffff009e9d2b8
0xfffffff009e9d278: a05e57d3  ubfx	x0, x21, #0x17, #1
0xfffffff009e9d27c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009e9d280: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009e9d284: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009e9d288: ff030291  add	sp, sp, #0x80
0xfffffff009e9d28c: ff0f5fd6  retab	
0xfffffff009e9d290: 08ac8052  mov	w8, #0x560
0xfffffff009e9d294: a9ccfef0  adrp	x9, #0xfffffff007834000
0xfffffff009e9d298: 291d3591  add	x9, x9, #0xd47
0xfffffff009e9d29c: 4acefeb0  adrp	x10, #0xfffffff007866000
0xfffffff009e9d2a0: 4a011391  add	x10, x10, #0x4c0
0xfffffff009e9d2a4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009e9d2a8: ea0300f9  str	x10, [sp]
0xfffffff009e9d2ac: 40cefe90  adrp	x0, #0xfffffff007865000
0xfffffff009e9d2b0: 00783091  add	x0, x0, #0xc1e
0xfffffff009e9d2b4: 96dc9797  bl	#0xfffffff00849450c
0xfffffff009e9d2b8: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e9d2bc: c9ad8052  mov	w9, #0x56e
0xfffffff009e9d2c0: aaccfef0  adrp	x10, #0xfffffff007834000
0xfffffff009e9d2c4: 4a1d3591  add	x10, x10, #0xd47
0xfffffff009e9d2c8: cbccfeb0  adrp	x11, #0xfffffff007836000
0xfffffff009e9d2cc: 6bc92e91  add	x11, x11, #0xbb2
0xfffffff009e9d2d0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff009e9d2d4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009e9d2d8: eb0300f9  str	x11, [sp]
0xfffffff009e9d2dc: 00cdfe90  adrp	x0, #0xfffffff00783d000
0xfffffff009e9d2e0: 00383991  add	x0, x0, #0xe4e
0xfffffff009e9d2e4: 8adc9797  bl	#0xfffffff00849450c
0xfffffff009e9d2e8: 7f2303d5  pacibsp	
0xfffffff009e9d2ec: ff0302d1  sub	sp, sp, #0x80
0xfffffff009e9d2f0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009e9d2f4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009e9d2f8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009e9d2fc: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009e9d300: fdc30191  add	x29, sp, #0x70
0xfffffff009e9d304: f50303aa  mov	x21, x3
0xfffffff009e9d308: f60302aa  mov	x22, x2
0xfffffff009e9d30c: f30301aa  mov	x19, x1
0xfffffff009e9d310: f40300aa  mov	x20, x0
0xfffffff009e9d314: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff009e9d318: a2d300d1  sub	x2, x29, #0x34
0xfffffff009e9d31c: 5f6b0194  bl	#0xfffffff009ef8098
0xfffffff009e9d320: 00060034  cbz	w0, #0xfffffff009e9d3e0
0xfffffff009e9d324: a8c35cb8  ldur	w8, [x29, #-0x34]
0xfffffff009e9d328: 1f190071  cmp	w8, #6
0xfffffff009e9d32c: a1050054  b.ne	#0xfffffff009e9d3e0
0xfffffff009e9d330: e00315aa  mov	x0, x21
0xfffffff009e9d334: 50810194  bl	#0xfffffff009efd874
0xfffffff009e9d338: f50300aa  mov	x21, x0
0xfffffff009e9d33c: e00314aa  mov	x0, x20
0xfffffff009e9d340: e10313aa  mov	x1, x19
0xfffffff009e9d344: e20316aa  mov	x2, x22
0xfffffff009e9d348: e30315aa  mov	x3, x21
0xfffffff009e9d34c: 2f000094  bl	#0xfffffff009e9d408
0xfffffff009e9d350: f60300aa  mov	x22, x0
0xfffffff009e9d354: 80030034  cbz	w0, #0xfffffff009e9d3c4
0xfffffff009e9d358: df420071  cmp	w22, #0x10
