; Candidate 370
; ADRP+ADD at VM 0xfffffff007ec9b20 (fileoff 0xec5b20): page=0x1ff18e000 add_imm=0xe1c

0xfffffff007ec9aa0: 130080d2  mov	x19, #0
0xfffffff007ec9aa4: 140140f9  ldr	x20, [x8]
0xfffffff007ec9aa8: b6000035  cbnz	w22, #0xfffffff007ec9abc
0xfffffff007ec9aac: 0e000014  b	#0xfffffff007ec9ae4
0xfffffff007ec9ab0: 9f2403d5  bti	j
0xfffffff007ec9ab4: 144d40a9  ldp	x20, x19, [x8]
0xfffffff007ec9ab8: 76010034  cbz	w22, #0xfffffff007ec9ae4
0xfffffff007ec9abc: 3353fa97  bl	#0xfffffff007d5e788
0xfffffff007ec9ac0: 88d038d5  mrs	x8, tpidr_el1
0xfffffff007ec9ac4: 094941b9  ldr	w9, [x8, #0x148]
0xfffffff007ec9ac8: 69040034  cbz	w9, #0xfffffff007ec9b54
0xfffffff007ec9acc: 29050071  subs	w9, w9, #1
0xfffffff007ec9ad0: 094901b9  str	w9, [x8, #0x148]
0xfffffff007ec9ad4: 81000054  b.ne	#0xfffffff007ec9ae4
0xfffffff007ec9ad8: 08a140f9  ldr	x8, [x8, #0x140]
0xfffffff007ec9adc: 08114139  ldrb	w8, [x8, #0x44]
0xfffffff007ec9ae0: c8031037  tbnz	w8, #2, #0xfffffff007ec9b58
0xfffffff007ec9ae4: e00314aa  mov	x0, x20
0xfffffff007ec9ae8: e10313aa  mov	x1, x19
0xfffffff007ec9aec: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007ec9af0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007ec9af4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007ec9af8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007ec9afc: ff830191  add	sp, sp, #0x60
0xfffffff007ec9b00: ff0f5fd6  retab	
0xfffffff007ec9b04: c8268052  mov	w8, #0x136
0xfffffff007ec9b08: 698cffd0  adrp	x9, #0xfffffff007057000
0xfffffff007ec9b0c: 29493491  add	x9, x9, #0xd12
0xfffffff007ec9b10: 6a8cffd0  adrp	x10, #0xfffffff007057000
0xfffffff007ec9b14: 4a293991  add	x10, x10, #0xe4a
0xfffffff007ec9b18: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007ec9b1c: ea5300a9  stp	x10, x20, [sp]
0xfffffff007ec9b20: 608cffd0  adrp	x0, #0xfffffff007057000
0xfffffff007ec9b24: 00703891  add	x0, x0, #0xe1c
0xfffffff007ec9b28: 792a1794  bl	#0xfffffff00849450c
0xfffffff007ec9b2c: 087c8552  mov	w8, #0x2be0
0xfffffff007ec9b30: 298cfff0  adrp	x9, #0xfffffff007050000
0xfffffff007ec9b34: 29cd3c91  add	x9, x9, #0xf33
0xfffffff007ec9b38: 4a8cffb0  adrp	x10, #0xfffffff007052000
0xfffffff007ec9b3c: 4af51e91  add	x10, x10, #0x7bd
0xfffffff007ec9b40: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007ec9b44: ea0300a9  stp	x10, x0, [sp]
0xfffffff007ec9b48: 408cffb0  adrp	x0, #0xfffffff007052000
0xfffffff007ec9b4c: 00841e91  add	x0, x0, #0x7a1
0xfffffff007ec9b50: 6f2a1794  bl	#0xfffffff00849450c
0xfffffff007ec9b54: 74541794  bl	#0xfffffff00849ed24
0xfffffff007ec9b58: f61b0094  bl	#0xfffffff007ed0b30
0xfffffff007ec9b5c: e2ffff17  b	#0xfffffff007ec9ae4
0xfffffff007ec9b60: 9f2403d5  bti	j
0xfffffff007ec9b64: 282e8052  mov	w8, #0x171
0xfffffff007ec9b68: 698cffd0  adrp	x9, #0xfffffff007057000
0xfffffff007ec9b6c: 29493491  add	x9, x9, #0xd12
0xfffffff007ec9b70: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ec9b74: f30300f9  str	x19, [sp]
0xfffffff007ec9b78: 608cffd0  adrp	x0, #0xfffffff007057000
0xfffffff007ec9b7c: 00703991  add	x0, x0, #0xe5c
0xfffffff007ec9b80: 632a1794  bl	#0xfffffff00849450c
0xfffffff007ec9b84: 0c000000  udf	#0xc
0xfffffff007ec9b88: 20000000  udf	#0x20
0xfffffff007ec9b8c: 0c010000  udf	#0x10c
0xfffffff007ec9b90: 34000000  udf	#0x34
0xfffffff007ec9b94: 0c010000  udf	#0x10c
0xfffffff007ec9b98: 0c010000  udf	#0x10c
0xfffffff007ec9b9c: 0c010000  udf	#0x10c
