; Candidate 7965
; ADRP+ADD at VM 0xfffffff00888ad34 (fileoff 0x1886d34): page=0x1fe95f000 add_imm=0xe80

0xfffffff00888acb4: 03008052  mov	w3, #0
0xfffffff00888acb8: f10309aa  mov	x17, x9
0xfffffff00888acbc: 5193ecf2  movk	x17, #0x649a, lsl #48
0xfffffff00888acc0: 11093fd7  blraa	x8, x17
0xfffffff00888acc4: 603e00f9  str	x0, [x19, #0x78]
0xfffffff00888acc8: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888accc: 080176b2  orr	x8, x8, #0x400
0xfffffff00888acd0: 688e00f9  str	x8, [x19, #0x118]
0xfffffff00888acd4: e88bffd0  adrp	x8, #0xfffffff007a08000
0xfffffff00888acd8: 085542f9  ldr	x8, [x8, #0x4a8]
0xfffffff00888acdc: 080140f9  ldr	x8, [x8]
0xfffffff00888ace0: 080500d1  sub	x8, x8, #1
0xfffffff00888ace4: 1f0100ea  tst	x8, x0
0xfffffff00888ace8: 80080054  b.eq	#0xfffffff00888adf8
0xfffffff00888acec: 24ef0094  bl	#0xfffffff0088c697c
0xfffffff00888acf0: 2fa50094  bl	#0xfffffff0088b41ac
0xfffffff00888acf4: f50300aa  mov	x21, x0
0xfffffff00888acf8: 80008052  mov	w0, #4
0xfffffff00888acfc: d5c2ff97  bl	#0xfffffff00887b850
0xfffffff00888ad00: f75304a9  stp	x23, x20, [sp, #0x40]
0xfffffff00888ad04: 284cffd0  adrp	x8, #0xfffffff007210000
0xfffffff00888ad08: 08553791  add	x8, x8, #0xdd5
0xfffffff00888ad0c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888ad10: c85f8052  mov	w8, #0x2fe
0xfffffff00888ad14: 494cff90  adrp	x9, #0xfffffff007212000
0xfffffff00888ad18: 29a52e91  add	x9, x9, #0xba9
0xfffffff00888ad1c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888ad20: 284dffb0  adrp	x8, #0xfffffff00722f000
0xfffffff00888ad24: 087d0391  add	x8, x8, #0xdf
0xfffffff00888ad28: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888ad2c: 88098052  mov	w8, #0x4c
0xfffffff00888ad30: f52300a9  stp	x21, x8, [sp]
0xfffffff00888ad34: e04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888ad38: 00003a91  add	x0, x0, #0xe80
0xfffffff00888ad3c: e18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888ad40: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888ad44: 834efff0  adrp	x3, #0xfffffff00725d000
0xfffffff00888ad48: 635c2491  add	x3, x3, #0x917
0xfffffff00888ad4c: 02008052  mov	w2, #0
0xfffffff00888ad50: f8a0ea97  bl	#0xfffffff008333130
0xfffffff00888ad54: 1a000014  b	#0xfffffff00888adbc
0xfffffff00888ad58: 15a50094  bl	#0xfffffff0088b41ac
0xfffffff00888ad5c: f40300aa  mov	x20, x0
0xfffffff00888ad60: 80008052  mov	w0, #4
0xfffffff00888ad64: bbc2ff97  bl	#0xfffffff00887b850
0xfffffff00888ad68: f3db03a9  stp	x19, x22, [sp, #0x38]
0xfffffff00888ad6c: 284dff90  adrp	x8, #0xfffffff00722e000
0xfffffff00888ad70: 0a452191  add	x10, x8, #0x851
0xfffffff00888ad74: 285f8052  mov	w8, #0x2f9
0xfffffff00888ad78: 494cff90  adrp	x9, #0xfffffff007212000
0xfffffff00888ad7c: 29a52e91  add	x9, x9, #0xba9
0xfffffff00888ad80: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888ad84: 284dffb0  adrp	x8, #0xfffffff00722f000
0xfffffff00888ad88: 087d0391  add	x8, x8, #0xdf
0xfffffff00888ad8c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888ad90: 88098052  mov	w8, #0x4c
0xfffffff00888ad94: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888ad98: f40300f9  str	x20, [sp]
0xfffffff00888ad9c: e04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888ada0: 00003a91  add	x0, x0, #0xe80
0xfffffff00888ada4: e18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888ada8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888adac: 834efff0  adrp	x3, #0xfffffff00725d000
0xfffffff00888adb0: 63442391  add	x3, x3, #0x8d1
