; Candidate 310
; ADRP+ADD at VM 0xfffffff007e92b58 (fileoff 0xe8eb58): page=0x1ff1bd000 add_imm=0xd10

0xfffffff007e92ad8: 49018052  mov	w9, #0xa
0xfffffff007e92adc: 3c01881a  csel	w28, w9, w8, eq
0xfffffff007e92ae0: f5af40b9  ldr	w21, [sp, #0xac]
0xfffffff007e92ae4: a1fdff17  b	#0xfffffff007e92168
0xfffffff007e92ae8: 88d038d5  mrs	x8, tpidr_el1
0xfffffff007e92aec: 680000b4  cbz	x8, #0xfffffff007e92af8
0xfffffff007e92af0: 000942f9  ldr	x0, [x8, #0x410]
0xfffffff007e92af4: 02000014  b	#0xfffffff007e92afc
0xfffffff007e92af8: 000080d2  mov	x0, #0
0xfffffff007e92afc: f5af40b9  ldr	w21, [sp, #0xac]
0xfffffff007e92b00: fc008052  mov	w28, #7
0xfffffff007e92b04: 1c00a272  movk	w28, #0x1000, lsl #16
0xfffffff007e92b08: 08038052  mov	w8, #0x18
0xfffffff007e92b0c: 0880a072  movk	w8, #0x400, lsl #16
0xfffffff007e92b10: 014100d1  sub	x1, x8, #0x10
0xfffffff007e92b14: 020080d2  mov	x2, #0
0xfffffff007e92b18: 48a50b94  bl	#0xfffffff00817c038
0xfffffff007e92b1c: 93fdff17  b	#0xfffffff007e92168
0xfffffff007e92b20: 28648052  mov	w8, #0x321
0xfffffff007e92b24: e98dffb0  adrp	x9, #0xfffffff00704f000
0xfffffff007e92b28: 29553291  add	x9, x9, #0xc95
0xfffffff007e92b2c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e92b30: f30300f9  str	x19, [sp]
0xfffffff007e92b34: e08dffd0  adrp	x0, #0xfffffff007050000
0xfffffff007e92b38: 00ac3291  add	x0, x0, #0xcab
0xfffffff007e92b3c: 74061894  bl	#0xfffffff00849450c
0xfffffff007e92b40: 9f2403d5  bti	j
0xfffffff007e92b44: a8698052  mov	w8, #0x34d
0xfffffff007e92b48: e98dffb0  adrp	x9, #0xfffffff00704f000
0xfffffff007e92b4c: 29553291  add	x9, x9, #0xc95
0xfffffff007e92b50: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e92b54: e00300f9  str	x0, [sp]
0xfffffff007e92b58: e08dffb0  adrp	x0, #0xfffffff00704f000
0xfffffff007e92b5c: 00403491  add	x0, x0, #0xd10
0xfffffff007e92b60: 6b061894  bl	#0xfffffff00849450c
0xfffffff007e92b64: 48758052  mov	w8, #0x3aa
0xfffffff007e92b68: e98dffb0  adrp	x9, #0xfffffff00704f000
0xfffffff007e92b6c: 29553291  add	x9, x9, #0xc95
0xfffffff007e92b70: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e92b74: f90300f9  str	x25, [sp]
0xfffffff007e92b78: 08000014  b	#0xfffffff007e92b98
0xfffffff007e92b7c: 28688052  mov	w8, #0x341
0xfffffff007e92b80: 02000014  b	#0xfffffff007e92b88
0xfffffff007e92b84: 28768052  mov	w8, #0x3b1
0xfffffff007e92b88: e98dffb0  adrp	x9, #0xfffffff00704f000
0xfffffff007e92b8c: 29553291  add	x9, x9, #0xc95
0xfffffff007e92b90: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e92b94: f30300f9  str	x19, [sp]
0xfffffff007e92b98: e08dffd0  adrp	x0, #0xfffffff007050000
0xfffffff007e92b9c: 00603391  add	x0, x0, #0xcd8
0xfffffff007e92ba0: 5b061894  bl	#0xfffffff00849450c
0xfffffff007e92ba4: 0c000000  udf	#0xc
