; Candidate 16779
; ADRP+ADD at VM 0xfffffff009f55c04 (fileoff 0x2f51c04): page=0x1fd90f000 add_imm=0xe73

0xfffffff009f55b84: ea0302a9  stp	x10, x0, [sp, #0x20]
0xfffffff009f55b88: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f55b8c: 68c8fef0  adrp	x8, #0xfffffff007864000
0xfffffff009f55b90: 08213791  add	x8, x8, #0xdc8
0xfffffff009f55b94: 498c8052  mov	w9, #0x462
0xfffffff009f55b98: e82700a9  stp	x8, x9, [sp]
0xfffffff009f55b9c: 60c8fef0  adrp	x0, #0xfffffff007864000
0xfffffff009f55ba0: 008c3891  add	x0, x0, #0xe23
0xfffffff009f55ba4: 1b000014  b	#0xfffffff009f55c10
0xfffffff009f55ba8: 17008052  mov	w23, #0
0xfffffff009f55bac: e00314aa  mov	x0, x20
0xfffffff009f55bb0: 21008052  mov	w1, #1
0xfffffff009f55bb4: e20316aa  mov	x2, x22
0xfffffff009f55bb8: e30315aa  mov	x3, x21
0xfffffff009f55bbc: 9c55fe97  bl	#0xfffffff009eeb22c
0xfffffff009f55bc0: a0020034  cbz	w0, #0xfffffff009f55c14
0xfffffff009f55bc4: 083e8452  mov	w8, #0x21f0
0xfffffff009f55bc8: 8802088b  add	x8, x20, x8
0xfffffff009f55bcc: 89c8feb0  adrp	x9, #0xfffffff007866000
0xfffffff009f55bd0: 29710091  add	x9, x9, #0x1c
0xfffffff009f55bd4: 6ac8fef0  adrp	x10, #0xfffffff007864000
0xfffffff009f55bd8: 4ae93a91  add	x10, x10, #0xeba
0xfffffff009f55bdc: ff020071  cmp	w23, #0
0xfffffff009f55be0: 4911899a  csel	x9, x10, x9, ne
0xfffffff009f55be4: 6a2240f9  ldr	x10, [x19, #0x40]
0xfffffff009f55be8: 6b0640f9  ldr	x11, [x19, #8]
0xfffffff009f55bec: eb8302a9  stp	x11, x0, [sp, #0x28]
0xfffffff009f55bf0: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f55bf4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f55bf8: 68c8fef0  adrp	x8, #0xfffffff007864000
0xfffffff009f55bfc: 08213791  add	x8, x8, #0xdc8
0xfffffff009f55c00: c98d8052  mov	w9, #0x46e
0xfffffff009f55c04: 60c8fef0  adrp	x0, #0xfffffff007864000
0xfffffff009f55c08: 00cc3991  add	x0, x0, #0xe73
0xfffffff009f55c0c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f55c10: 2da7fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f55c14: 760000b4  cbz	x22, #0xfffffff009f55c20
0xfffffff009f55c18: e00316aa  mov	x0, x22
0xfffffff009f55c1c: 2031fe97  bl	#0xfffffff009ee209c
0xfffffff009f55c20: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009f55c24: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009f55c28: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009f55c2c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009f55c30: ff430291  add	sp, sp, #0x90
0xfffffff009f55c34: ff0f5fd6  retab	
0xfffffff009f55c38: 7f2303d5  pacibsp	
0xfffffff009f55c3c: ffc301d1  sub	sp, sp, #0x70
0xfffffff009f55c40: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009f55c44: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009f55c48: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009f55c4c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009f55c50: fd830191  add	x29, sp, #0x60
0xfffffff009f55c54: f30304aa  mov	x19, x4
0xfffffff009f55c58: f60303aa  mov	x22, x3
0xfffffff009f55c5c: f40302aa  mov	x20, x2
0xfffffff009f55c60: f50300aa  mov	x21, x0
0xfffffff009f55c64: 610400f9  str	x1, [x3, #8]
0xfffffff009f55c68: 086040f9  ldr	x8, [x0, #0xc0]
0xfffffff009f55c6c: 081d40f9  ldr	x8, [x8, #0x38]
0xfffffff009f55c70: 1f0177f2  tst	x8, #0x200
0xfffffff009f55c74: 48028052  mov	w8, #0x12
0xfffffff009f55c78: 49018052  mov	w9, #0xa
0xfffffff009f55c7c: 2801881a  csel	w8, w9, w8, eq
0xfffffff009f55c80: 68000039  strb	w8, [x3]
