; Candidate 9963
; ADRP+ADD at VM 0xfffffff008bd510c (fileoff 0x1bd110c): page=0x1fe760000 add_imm=0xd73

0xfffffff008bd508c: f95f03a9  stp	x25, x23, [sp, #0x30]
0xfffffff008bd5090: f85702a9  stp	x24, x21, [sp, #0x20]
0xfffffff008bd5094: e903132a  mov	w9, w19
0xfffffff008bd5098: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008bd509c: 083bff90  adrp	x8, #0xfffffff007335000
0xfffffff008bd50a0: 08393691  add	x8, x8, #0xd8e
0xfffffff008bd50a4: 093bff90  adrp	x9, #0xfffffff007335000
0xfffffff008bd50a8: 29893591  add	x9, x9, #0xd62
0xfffffff008bd50ac: e02700a9  stp	x0, x9, [sp]
0xfffffff008bd50b0: e00308aa  mov	x0, x8
0xfffffff008bd50b4: db07de97  bl	#0xfffffff008357020
0xfffffff008bd50b8: bf020071  cmp	w21, #0
0xfffffff008bd50bc: 685d8052  mov	w8, #0x2eb
0xfffffff008bd50c0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008bd50c4: e002881a  csel	w0, w23, w8, eq
0xfffffff008bd50c8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008bd50cc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008bd50d0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008bd50d4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008bd50d8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008bd50dc: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008bd50e0: ffc30291  add	sp, sp, #0xb0
0xfffffff008bd50e4: ff0f5fd6  retab	
0xfffffff008bd50e8: 80b80090  adrp	x0, #0xfffffff00a2e5000
0xfffffff008bd50ec: 00200f91  add	x0, x0, #0x3c8
0xfffffff008bd50f0: 1a3edc97  bl	#0xfffffff0082e4958
0xfffffff008bd50f4: e87e4093  sxtw	x8, w23
0xfffffff008bd50f8: 29048052  mov	w9, #0x21
0xfffffff008bd50fc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008bd5100: 083bff90  adrp	x8, #0xfffffff007335000
0xfffffff008bd5104: 08893591  add	x8, x8, #0xd62
0xfffffff008bd5108: e02300a9  stp	x0, x8, [sp]
0xfffffff008bd510c: 003bff90  adrp	x0, #0xfffffff007335000
0xfffffff008bd5110: 00cc3591  add	x0, x0, #0xd73
0xfffffff008bd5114: c307de97  bl	#0xfffffff008357020
0xfffffff008bd5118: 17008052  mov	w23, #0
0xfffffff008bd511c: 88a240f9  ldr	x8, [x20, #0x140]
0xfffffff008bd5120: 08050091  add	x8, x8, #1
0xfffffff008bd5124: 88a200f9  str	x8, [x20, #0x140]
0xfffffff008bd5128: 93f9ff35  cbnz	w19, #0xfffffff008bd5058
0xfffffff008bd512c: ceffff17  b	#0xfffffff008bd5064
0xfffffff008bd5130: 7f2303d5  pacibsp	
0xfffffff008bd5134: ffc301d1  sub	sp, sp, #0x70
0xfffffff008bd5138: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008bd513c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008bd5140: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008bd5144: fd830191  add	x29, sp, #0x60
0xfffffff008bd5148: f30301aa  mov	x19, x1
0xfffffff008bd514c: f40300aa  mov	x20, x0
0xfffffff008bd5150: bfe31d78  sturh	wzr, [x29, #-0x22]
0xfffffff008bd5154: a28b00d1  sub	x2, x29, #0x22
0xfffffff008bd5158: c1010034  cbz	w1, #0xfffffff008bd5190
0xfffffff008bd515c: 01038052  mov	w1, #0x18
0xfffffff008bd5160: 90feff97  bl	#0xfffffff008bd4ba0
0xfffffff008bd5164: f50300aa  mov	x21, x0
0xfffffff008bd5168: e0020034  cbz	w0, #0xfffffff008bd51c4
0xfffffff008bd516c: 083bff90  adrp	x8, #0xfffffff007335000
0xfffffff008bd5170: 08053891  add	x8, x8, #0xe01
0xfffffff008bd5174: 498b8052  mov	w9, #0x45a
0xfffffff008bd5178: e9d700a9  stp	x9, x21, [sp, #8]
0xfffffff008bd517c: e80300f9  str	x8, [sp]
0xfffffff008bd5180: 003bff90  adrp	x0, #0xfffffff007335000
0xfffffff008bd5184: 003c3791  add	x0, x0, #0xdcf
0xfffffff008bd5188: a607de97  bl	#0xfffffff008357020
