; Candidate 13646
; ADRP+ADD at VM 0xfffffff0093b6378 (fileoff 0x23b2378): page=0x1fe14f000 add_imm=0xdd9

0xfffffff0093b62f8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0093b62fc: e02b00a9  stp	x0, x10, [sp]
0xfffffff0093b6300: 600afff0  adrp	x0, #0xfffffff007505000
0xfffffff0093b6304: 00803691  add	x0, x0, #0xda0
0xfffffff0093b6308: 4683be97  bl	#0xfffffff008357020
0xfffffff0093b630c: 73000014  b	#0xfffffff0093b64d8
0xfffffff0093b6310: 54588052  mov	w20, #0x2c2
0xfffffff0093b6314: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0093b6318: 331000b4  cbz	x19, #0xfffffff0093b651c
0xfffffff0093b631c: 751248b9  ldr	w21, [x19, #0x810]
0xfffffff0093b6320: f50f0036  tbz	w21, #0, #0xfffffff0093b651c
0xfffffff0093b6324: 3503f036  tbz	w21, #0x1e, #0xfffffff0093b6388
0xfffffff0093b6328: dd5eac97  bl	#0xfffffff007ecde9c
0xfffffff0093b632c: 1f040071  cmp	w0, #1
0xfffffff0093b6330: c1020054  b.ne	#0xfffffff0093b6388
0xfffffff0093b6334: 700240f9  ldr	x16, [x19]
0xfffffff0093b6338: f10313aa  mov	x17, x19
0xfffffff0093b633c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b6340: 301ac1da  autda	x16, x17
0xfffffff0093b6344: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093b6348: e90310aa  mov	x9, x16
0xfffffff0093b634c: e00313aa  mov	x0, x19
0xfffffff0093b6350: f10309aa  mov	x17, x9
0xfffffff0093b6354: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093b6358: 11093fd7  blraa	x8, x17
0xfffffff0093b635c: 7fb9bc97  bl	#0xfffffff0082e4958
0xfffffff0093b6360: 680afff0  adrp	x8, #0xfffffff007505000
0xfffffff0093b6364: 08093791  add	x8, x8, #0xdc2
0xfffffff0093b6368: 690afff0  adrp	x9, #0xfffffff007505000
0xfffffff0093b636c: 29611891  add	x9, x9, #0x618
0xfffffff0093b6370: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff0093b6374: e02700a9  stp	x0, x9, [sp]
0xfffffff0093b6378: 600afff0  adrp	x0, #0xfffffff007505000
0xfffffff0093b637c: 00643791  add	x0, x0, #0xdd9
0xfffffff0093b6380: 2883be97  bl	#0xfffffff008357020
0xfffffff0093b6384: 66000014  b	#0xfffffff0093b651c
0xfffffff0093b6388: a8020012  and	w8, w21, #1
0xfffffff0093b638c: 08791f53  lsl	w8, w8, #1
0xfffffff0093b6390: 15011f52  eor	w21, w8, #2
0xfffffff0093b6394: 700240f9  ldr	x16, [x19]
0xfffffff0093b6398: f10313aa  mov	x17, x19
0xfffffff0093b639c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b63a0: 301ac1da  autda	x16, x17
0xfffffff0093b63a4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093b63a8: e90310aa  mov	x9, x16
0xfffffff0093b63ac: e00313aa  mov	x0, x19
0xfffffff0093b63b0: f10309aa  mov	x17, x9
0xfffffff0093b63b4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093b63b8: 11093fd7  blraa	x8, x17
0xfffffff0093b63bc: 67b9bc97  bl	#0xfffffff0082e4958
0xfffffff0093b63c0: a840ffb0  adrp	x8, #0xfffffff007bcb000
0xfffffff0093b63c4: 08cd43f9  ldr	x8, [x8, #0x798]
0xfffffff0093b63c8: 160140f9  ldr	x22, [x8]
0xfffffff0093b63cc: 700240f9  ldr	x16, [x19]
0xfffffff0093b63d0: f10313aa  mov	x17, x19
0xfffffff0093b63d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b63d8: 301ac1da  autda	x16, x17
0xfffffff0093b63dc: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093b63e0: e90310aa  mov	x9, x16
0xfffffff0093b63e4: e00313aa  mov	x0, x19
0xfffffff0093b63e8: f10309aa  mov	x17, x9
0xfffffff0093b63ec: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093b63f0: 11093fd7  blraa	x8, x17
0xfffffff0093b63f4: 59b9bc97  bl	#0xfffffff0082e4958
