; Candidate 3102
; ADRP+ADD at VM 0xfffffff008713254 (fileoff 0x170f254): page=0x1fea1e000 add_imm=0xd90

0xfffffff0087131d4: 190080d2  mov	x25, #0
0xfffffff0087131d8: f450ffd0  adrp	x20, #0xfffffff007131000
0xfffffff0087131dc: 94423691  add	x20, x20, #0xd90
0xfffffff0087131e0: 5597ffd0  adrp	x21, #0xfffffff0079fd000
0xfffffff0087131e4: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff0087131e8: 3651ff90  adrp	x22, #0xfffffff007137000
0xfffffff0087131ec: d67e3b91  add	x22, x22, #0xedf
0xfffffff0087131f0: 090540b9  ldr	w9, [x8, #4]
0xfffffff0087131f4: 3f0309eb  cmp	x25, x9
0xfffffff0087131f8: 82020054  b.hs	#0xfffffff008713248
0xfffffff0087131fc: 697a40b9  ldr	w9, [x19, #0x78]
0xfffffff008713200: ff02296a  bics	wzr, w23, w9
0xfffffff008713204: c1010054  b.ne	#0xfffffff00871323c
0xfffffff008713208: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff00871320c: 2801188b  add	x8, x9, x24
0xfffffff008713210: 490000b4  cbz	x9, #0xfffffff008713218
0xfffffff008713214: 090140b9  ldr	w9, [x8]
0xfffffff008713218: 0a0540b9  ldr	w10, [x8, #4]
0xfffffff00871321c: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008713220: f92300a9  stp	x25, x8, [sp]
0xfffffff008713224: e00314aa  mov	x0, x20
0xfffffff008713228: e10315aa  mov	x1, x21
0xfffffff00871322c: 02008052  mov	w2, #0
0xfffffff008713230: e30316aa  mov	x3, x22
0xfffffff008713234: bf7ff097  bl	#0xfffffff008333130
0xfffffff008713238: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff00871323c: 39070091  add	x25, x25, #1
0xfffffff008713240: 18831e91  add	x24, x24, #0x7a0
0xfffffff008713244: 68fdffb5  cbnz	x8, #0xfffffff0087131f0
0xfffffff008713248: 687a40b9  ldr	w8, [x19, #0x78]
0xfffffff00871324c: ff02286a  bics	wzr, w23, w8
0xfffffff008713250: 21010054  b.ne	#0xfffffff008713274
0xfffffff008713254: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713258: 00403691  add	x0, x0, #0xd90
0xfffffff00871325c: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713260: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713264: 2351ff90  adrp	x3, #0xfffffff007137000
0xfffffff008713268: 63503c91  add	x3, x3, #0xf14
0xfffffff00871326c: 02008052  mov	w2, #0
0xfffffff008713270: b07ff097  bl	#0xfffffff008333130
0xfffffff008713274: e00313aa  mov	x0, x19
0xfffffff008713278: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00871327c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008713280: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008713284: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008713288: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00871328c: ffc30191  add	sp, sp, #0x70
0xfffffff008713290: ff0f5fd6  retab	
0xfffffff008713294: 7f2303d5  pacibsp	
0xfffffff008713298: ffc301d1  sub	sp, sp, #0x70
0xfffffff00871329c: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0087132a0: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0087132a4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0087132a8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0087132ac: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0087132b0: fd830191  add	x29, sp, #0x60
0xfffffff0087132b4: f30300aa  mov	x19, x0
0xfffffff0087132b8: 57008052  mov	w23, #2
0xfffffff0087132bc: 1701a072  movk	w23, #8, lsl #16
0xfffffff0087132c0: 087840b9  ldr	w8, [x0, #0x78]
0xfffffff0087132c4: ff02286a  bics	wzr, w23, w8
0xfffffff0087132c8: 81010054  b.ne	#0xfffffff0087132f8
0xfffffff0087132cc: 0852ffd0  adrp	x8, #0xfffffff007155000
0xfffffff0087132d0: 08990f91  add	x8, x8, #0x3e6
