; Candidate 12684
; ADRP+ADD at VM 0xfffffff00911d698 (fileoff 0x2119698): page=0x11f7000 add_imm=0xd70

0xfffffff00911d618: a41300d1  sub	x4, x29, #4
0xfffffff00911d61c: 050080d2  mov	x5, #0
0xfffffff00911d620: f10309aa  mov	x17, x9
0xfffffff00911d624: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff00911d628: 11093fd7  blraa	x8, x17
0xfffffff00911d62c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00911d630: ff430191  add	sp, sp, #0x50
0xfffffff00911d634: ff0f5fd6  retab	
0xfffffff00911d638: 5c9f0094  bl	#0xfffffff0091453a8
0xfffffff00911d63c: 5f2403d5  bti	c
0xfffffff00911d640: 2d1cc717  b	#0xfffffff0082e46f4
0xfffffff00911d644: 7f2303d5  pacibsp	
0xfffffff00911d648: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911d64c: fd030091  mov	x29, sp
0xfffffff00911d650: a08f00f0  adrp	x0, #0xfffffff00a314000
0xfffffff00911d654: 00c03591  add	x0, x0, #0xd70
0xfffffff00911d658: c11afff0  adrp	x1, #0xfffffff007478000
0xfffffff00911d65c: 214c0291  add	x1, x1, #0x93
0xfffffff00911d660: a251ffd0  adrp	x2, #0xfffffff007b53000
0xfffffff00911d664: 42cc44f9  ldr	x2, [x2, #0x998]
0xfffffff00911d668: 03198052  mov	w3, #0xc8
0xfffffff00911d66c: 3319c797  bl	#0xfffffff0082e3b38
0xfffffff00911d670: d051fff0  adrp	x16, #0xfffffff007b58000
0xfffffff00911d674: 10e21391  add	x16, x16, #0x4f8
0xfffffff00911d678: 10420091  add	x16, x16, #0x10
0xfffffff00911d67c: f10300aa  mov	x17, x0
0xfffffff00911d680: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911d684: 300ac1da  pacda	x16, x17
0xfffffff00911d688: 100000f9  str	x16, [x0]
0xfffffff00911d68c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911d690: ff0f5fd6  retab	
0xfffffff00911d694: 5f2403d5  bti	c
0xfffffff00911d698: a08f00f0  adrp	x0, #0xfffffff00a314000
0xfffffff00911d69c: 00c03591  add	x0, x0, #0xd70
0xfffffff00911d6a0: 151cc717  b	#0xfffffff0082e46f4
0xfffffff00911d6a4: 7f2303d5  pacibsp	
0xfffffff00911d6a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911d6ac: fd030091  mov	x29, sp
0xfffffff00911d6b0: c11afff0  adrp	x1, #0xfffffff007478000
0xfffffff00911d6b4: 21741391  add	x1, x1, #0x4dd
0xfffffff00911d6b8: a28f00f0  adrp	x2, #0xfffffff00a314000
0xfffffff00911d6bc: 42a02e91  add	x2, x2, #0xba8
0xfffffff00911d6c0: 03188052  mov	w3, #0xc0
0xfffffff00911d6c4: 1d19c797  bl	#0xfffffff0082e3b38
0xfffffff00911d6c8: d051fff0  adrp	x16, #0xfffffff007b58000
0xfffffff00911d6cc: 10421b91  add	x16, x16, #0x6d0
0xfffffff00911d6d0: 10420091  add	x16, x16, #0x10
0xfffffff00911d6d4: f10300aa  mov	x17, x0
0xfffffff00911d6d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911d6dc: 300ac1da  pacda	x16, x17
0xfffffff00911d6e0: 100000f9  str	x16, [x0]
0xfffffff00911d6e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911d6e8: ff0f5fd6  retab	
0xfffffff00911d6ec: 5f2403d5  bti	c
0xfffffff00911d6f0: 011cc717  b	#0xfffffff0082e46f4
0xfffffff00911d6f4: 7f2303d5  pacibsp	
0xfffffff00911d6f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911d6fc: fd030091  mov	x29, sp
0xfffffff00911d700: a3daff97  bl	#0xfffffff00911418c
0xfffffff00911d704: d051fff0  adrp	x16, #0xfffffff007b58000
0xfffffff00911d708: 10421691  add	x16, x16, #0x590
0xfffffff00911d70c: 10420091  add	x16, x16, #0x10
0xfffffff00911d710: f10300aa  mov	x17, x0
0xfffffff00911d714: 31b4f9f2  movk	x17, #0xcda1, lsl #48
