; Candidate 6212
; ADRP+ADD at VM 0xfffffff00881aa04 (fileoff 0x1816a04): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881a984: 293e8152  mov	w9, #0x9f1
0xfffffff00881a988: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881a98c: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a990: 08911491  add	x8, x8, #0x524
0xfffffff00881a994: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881a998: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881a99c: 880e8052  mov	w8, #0x74
0xfffffff00881a9a0: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881a9a4: 00f00b91  add	x0, x0, #0x2fc
0xfffffff00881a9a8: 5c010014  b	#0xfffffff00881af18
0xfffffff00881a9ac: 00660294  bl	#0xfffffff0088b41ac
0xfffffff00881a9b0: f90300aa  mov	x25, x0
0xfffffff00881a9b4: 80008052  mov	w0, #4
0xfffffff00881a9b8: a6830194  bl	#0xfffffff00887b850
0xfffffff00881a9bc: e80318aa  mov	x8, x24
0xfffffff00881a9c0: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881a9c4: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881a9c8: e80316aa  mov	x8, x22
0xfffffff00881a9cc: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881a9d0: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881a9d4: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881a9d8: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881a9dc: a93c8152  mov	w9, #0x9e5
0xfffffff00881a9e0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881a9e4: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a9e8: 08911491  add	x8, x8, #0x524
0xfffffff00881a9ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881a9f0: 880e8052  mov	w8, #0x74
0xfffffff00881a9f4: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881a9f8: 63a81491  add	x3, x3, #0x52a
0xfffffff00881a9fc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881aa00: f90300f9  str	x25, [sp]
0xfffffff00881aa04: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881aa08: 00003a91  add	x0, x0, #0xe80
0xfffffff00881aa0c: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881aa10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881aa14: 02008052  mov	w2, #0
0xfffffff00881aa18: c661ec97  bl	#0xfffffff008333130
0xfffffff00881aa1c: a8fdff17  b	#0xfffffff00881a0bc
0xfffffff00881aa20: fb3b00f9  str	x27, [sp, #0x70]
0xfffffff00881aa24: e00313aa  mov	x0, x19
0xfffffff00881aa28: e10319aa  mov	x1, x25
0xfffffff00881aa2c: 63e5ff97  bl	#0xfffffff008813fb8
0xfffffff00881aa30: a0070034  cbz	w0, #0xfffffff00881ab24
0xfffffff00881aa34: f80300aa  mov	x24, x0
0xfffffff00881aa38: 800e8052  mov	w0, #0x74
0xfffffff00881aa3c: 81008052  mov	w1, #4
0xfffffff00881aa40: 64830194  bl	#0xfffffff00887b7d0
0xfffffff00881aa44: c0b3ff34  cbz	w0, #0xfffffff00881a0bc
0xfffffff00881aa48: 800e8052  mov	w0, #0x74
0xfffffff00881aa4c: 73830194  bl	#0xfffffff00887b818
0xfffffff00881aa50: fa0300aa  mov	x26, x0
0xfffffff00881aa54: d6650294  bl	#0xfffffff0088b41ac
0xfffffff00881aa58: f90300aa  mov	x25, x0
0xfffffff00881aa5c: 80008052  mov	w0, #4
0xfffffff00881aa60: 7c830194  bl	#0xfffffff00887b850
0xfffffff00881aa64: 3a0d0034  cbz	w26, #0xfffffff00881ac08
0xfffffff00881aa68: e80318aa  mov	x8, x24
0xfffffff00881aa6c: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881aa70: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881aa74: e80316aa  mov	x8, x22
0xfffffff00881aa78: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881aa7c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881aa80: a84fffd0  adrp	x8, #0xfffffff007210000
