; Candidate 14832
; ADRP+ADD at VM 0xfffffff009998c40 (fileoff 0x2994c40): page=0x1fdc5a000 add_imm=0xe47

0xfffffff009998bc0: f1a09ad2  mov	x17, #0xd507
0xfffffff009998bc4: 3002c1da  pacia	x16, x17
0xfffffff009998bc8: e00310aa  mov	x0, x16
0xfffffff009998bcc: e2630091  add	x2, sp, #0x18
0xfffffff009998bd0: e10313aa  mov	x1, x19
0xfffffff009998bd4: fd449197  bl	#0xfffffff007de9fc8
0xfffffff009998bd8: e0040034  cbz	w0, #0xfffffff009998c74
0xfffffff009998bdc: d3578052  mov	w19, #0x2be
0xfffffff009998be0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff009998be4: a0e2feb0  adrp	x0, #0xfffffff0075ed000
0xfffffff009998be8: 00781291  add	x0, x0, #0x49e
0xfffffff009998bec: c1e2fed0  adrp	x1, #0xfffffff0075f2000
0xfffffff009998bf0: 21d83891  add	x1, x1, #0xe36
0xfffffff009998bf4: a2e2feb0  adrp	x2, #0xfffffff0075ed000
0xfffffff009998bf8: 42642291  add	x2, x2, #0x899
0xfffffff009998bfc: c4e2feb0  adrp	x4, #0xfffffff0075f1000
0xfffffff009998c00: 84c42c91  add	x4, x4, #0xb31
0xfffffff009998c04: 030080d2  mov	x3, #0
0xfffffff009998c08: a5678152  mov	w5, #0xb3d
0xfffffff009998c0c: 06008052  mov	w6, #0
0xfffffff009998c10: daff0094  bl	#0xfffffff0099d8b78
0xfffffff009998c14: 19000014  b	#0xfffffff009998c78
0xfffffff009998c18: 608a40f9  ldr	x0, [x19, #0x110]
0xfffffff009998c1c: 800300b4  cbz	x0, #0xfffffff009998c8c
0xfffffff009998c20: e85000b0  adrp	x8, #0xfffffff00a3b5000
0xfffffff009998c24: 08413d91  add	x8, x8, #0xf50
0xfffffff009998c28: 08014039  ldrb	w8, [x8]
0xfffffff009998c2c: 28010036  tbz	w8, #0, #0xfffffff009998c50
0xfffffff009998c30: c8e2fed0  adrp	x8, #0xfffffff0075f2000
0xfffffff009998c34: 08d13791  add	x8, x8, #0xdf4
0xfffffff009998c38: a9698152  mov	w9, #0xb4d
0xfffffff009998c3c: e82700a9  stp	x8, x9, [sp]
0xfffffff009998c40: c0e2fed0  adrp	x0, #0xfffffff0075f2000
0xfffffff009998c44: 001c3991  add	x0, x0, #0xe47
0xfffffff009998c48: 425aab97  bl	#0xfffffff00846f550
0xfffffff009998c4c: 608a40f9  ldr	x0, [x19, #0x110]
0xfffffff009998c50: 100040f9  ldr	x16, [x0]
0xfffffff009998c54: f10300aa  mov	x17, x0
0xfffffff009998c58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009998c5c: 301ac1da  autda	x16, x17
0xfffffff009998c60: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff009998c64: e90310aa  mov	x9, x16
0xfffffff009998c68: f10309aa  mov	x17, x9
0xfffffff009998c6c: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff009998c70: 11093fd7  blraa	x8, x17
0xfffffff009998c74: 13008052  mov	w19, #0
0xfffffff009998c78: e00313aa  mov	x0, x19
0xfffffff009998c7c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009998c80: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009998c84: ff030191  add	sp, sp, #0x40
0xfffffff009998c88: ff0f5fd6  retab	
0xfffffff009998c8c: c8578052  mov	w8, #0x2be
0xfffffff009998c90: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009998c94: 132d0011  add	w19, w8, #0xb
0xfffffff009998c98: f8ffff17  b	#0xfffffff009998c78
0xfffffff009998c9c: 7f2303d5  pacibsp	
0xfffffff009998ca0: ff4301d1  sub	sp, sp, #0x50
0xfffffff009998ca4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009998ca8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009998cac: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009998cb0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009998cb4: fd030191  add	x29, sp, #0x40
0xfffffff009998cb8: 611900b4  cbz	x1, #0xfffffff009998fe4
0xfffffff009998cbc: f40301aa  mov	x20, x1
