; Candidate 10294
; ADRP+ADD at VM 0xfffffff008cdfa24 (fileoff 0x1cdba24): page=0x1fe691000 add_imm=0xe86

0xfffffff008cdf9a4: 7fab0171  cmp	w27, #0x6a
0xfffffff008cdf9a8: 22030054  b.hs	#0xfffffff008cdfa0c
0xfffffff008cdf9ac: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008cdf9b0: 096fff90  adrp	x9, #0xfffffff007abf000
0xfffffff008cdf9b4: 299d40f9  ldr	x9, [x9, #0x138]
0xfffffff008cdf9b8: 290140f9  ldr	x9, [x9]
0xfffffff008cdf9bc: 3f0108eb  cmp	x9, x8
0xfffffff008cdf9c0: 41010054  b.ne	#0xfffffff008cdf9e8
0xfffffff008cdf9c4: e0031baa  mov	x0, x27
0xfffffff008cdf9c8: bf4301d1  sub	sp, x29, #0x50
0xfffffff008cdf9cc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008cdf9d0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008cdf9d4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008cdf9d8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008cdf9dc: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008cdf9e0: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008cdf9e4: ff0f5fd6  retab	
0xfffffff008cdf9e8: 19f9c197  bl	#0xfffffff007d5de4c
0xfffffff008cdf9ec: 683e40b9  ldr	w8, [x19, #0x3c]
0xfffffff008cdf9f0: ff8300d1  sub	sp, sp, #0x20
0xfffffff008cdf9f4: e8f300a9  stp	x8, x28, [sp, #8]
0xfffffff008cdf9f8: f70300f9  str	x23, [sp]
0xfffffff008cdf9fc: 8034ffb0  adrp	x0, #0xfffffff007370000
0xfffffff008cdfa00: 00143c91  add	x0, x0, #0xf05
0xfffffff008cdfa04: c2d2de97  bl	#0xfffffff00849450c
0xfffffff008cdfa08: ff830091  add	sp, sp, #0x20
0xfffffff008cdfa0c: fb0f1ff8  str	x27, [sp, #-0x10]!
0xfffffff008cdfa10: 8034ffb0  adrp	x0, #0xfffffff007370000
0xfffffff008cdfa14: 002c1e91  add	x0, x0, #0x78b
0xfffffff008cdfa18: bdd2de97  bl	#0xfffffff00849450c
0xfffffff008cdfa1c: ff430091  add	sp, sp, #0x10
0xfffffff008cdfa20: f70f1ff8  str	x23, [sp, #-0x10]!
0xfffffff008cdfa24: 8034ffb0  adrp	x0, #0xfffffff007370000
0xfffffff008cdfa28: 00183a91  add	x0, x0, #0xe86
0xfffffff008cdfa2c: fbffff17  b	#0xfffffff008cdfa18
0xfffffff008cdfa30: 09068052  mov	w9, #0x30
0xfffffff008cdfa34: e923bfa9  stp	x9, x8, [sp, #-0x10]!
0xfffffff008cdfa38: 8034ffb0  adrp	x0, #0xfffffff007370000
0xfffffff008cdfa3c: 00d43e91  add	x0, x0, #0xfb5
0xfffffff008cdfa40: f6ffff17  b	#0xfffffff008cdfa18
0xfffffff008cdfa44: 7f2303d5  pacibsp	
0xfffffff008cdfa48: ff4302d1  sub	sp, sp, #0x90
0xfffffff008cdfa4c: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008cdfa50: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008cdfa54: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008cdfa58: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008cdfa5c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008cdfa60: fd030291  add	x29, sp, #0x80
0xfffffff008cdfa64: f30301aa  mov	x19, x1
0xfffffff008cdfa68: f40300aa  mov	x20, x0
0xfffffff008cdfa6c: 086fffb0  adrp	x8, #0xfffffff007ac0000
0xfffffff008cdfa70: 08c10091  add	x8, x8, #0x30
0xfffffff008cdfa74: 0001c03d  ldr	q0, [x8]
0xfffffff008cdfa78: e00b803d  str	q0, [sp, #0x20]
0xfffffff008cdfa7c: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008cdfa80: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008cdfa84: 003840b9  ldr	w0, [x0, #0x38]
0xfffffff008cdfa88: 81e20991  add	x1, x20, #0x278
0xfffffff008cdfa8c: 630a40f9  ldr	x3, [x19, #0x10]
0xfffffff008cdfa90: 642a40f9  ldr	x4, [x19, #0x50]
0xfffffff008cdfa94: e2830091  add	x2, sp, #0x20
0xfffffff008cdfa98: df460094  bl	#0xfffffff008cf1614
0xfffffff008cdfa9c: f50300aa  mov	x21, x0
0xfffffff008cdfaa0: 800a40f9  ldr	x0, [x20, #0x10]
