; Candidate 9162
; ADRP+ADD at VM 0xfffffff008a05698 (fileoff 0x1a01698): page=0x1fe894000 add_imm=0xe40

0xfffffff008a05618: 15008052  mov	w21, #0
0xfffffff008a0561c: c0ffff17  b	#0xfffffff008a0551c
0xfffffff008a05620: 700240f9  ldr	x16, [x19]
0xfffffff008a05624: f10313aa  mov	x17, x19
0xfffffff008a05628: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0562c: 301ac1da  autda	x16, x17
0xfffffff008a05630: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05634: 1002118b  add	x16, x16, x17
0xfffffff008a05638: 080240f9  ldr	x8, [x16]
0xfffffff008a0563c: e90310aa  mov	x9, x16
0xfffffff008a05640: e00313aa  mov	x0, x19
0xfffffff008a05644: 010080d2  mov	x1, #0
0xfffffff008a05648: f10309aa  mov	x17, x9
0xfffffff008a0564c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05650: 11093fd7  blraa	x8, x17
0xfffffff008a05654: 700240f9  ldr	x16, [x19]
0xfffffff008a05658: f10313aa  mov	x17, x19
0xfffffff008a0565c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05660: 301ac1da  autda	x16, x17
0xfffffff008a05664: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05668: 1002118b  add	x16, x16, x17
0xfffffff008a0566c: 080240f9  ldr	x8, [x16]
0xfffffff008a05670: e90310aa  mov	x9, x16
0xfffffff008a05674: e00313aa  mov	x0, x19
0xfffffff008a05678: 010080d2  mov	x1, #0
0xfffffff008a0567c: f10309aa  mov	x17, x9
0xfffffff008a05680: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05684: 11093fd7  blraa	x8, x17
0xfffffff008a05688: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff008a0568c: b644ffb0  adrp	x22, #0xfffffff00729a000
0xfffffff008a05690: d6de1991  add	x22, x22, #0x677
0xfffffff008a05694: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a05698: a044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a0569c: 00003991  add	x0, x0, #0xe40
0xfffffff008a056a0: 2182ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a056a4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a056a8: c344ffb0  adrp	x3, #0xfffffff00729e000
0xfffffff008a056ac: 63c01e91  add	x3, x3, #0x7b0
0xfffffff008a056b0: 02028052  mov	w2, #0x10
0xfffffff008a056b4: 9fb6e497  bl	#0xfffffff008333130
0xfffffff008a056b8: 700240f9  ldr	x16, [x19]
0xfffffff008a056bc: f10313aa  mov	x17, x19
0xfffffff008a056c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a056c4: 301ac1da  autda	x16, x17
0xfffffff008a056c8: f10310aa  mov	x17, x16
0xfffffff008a056cc: f147c1da  xpacd	x17
0xfffffff008a056d0: 1f0211eb  cmp	x16, x17
0xfffffff008a056d4: 40000054  b.eq	#0xfffffff008a056dc
0xfffffff008a056d8: 408e38d4  brk	#0xc472
0xfffffff008a056dc: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a056e0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a056e4: e00313aa  mov	x0, x19
0xfffffff008a056e8: 010080d2  mov	x1, #0
0xfffffff008a056ec: f10308aa  mov	x17, x8
0xfffffff008a056f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a056f4: 31093fd7  blraa	x9, x17
0xfffffff008a056f8: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff008a056fc: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a05700: a044ffb0  adrp	x0, #0xfffffff00729a000
0xfffffff008a05704: 00601b91  add	x0, x0, #0x6d8
0xfffffff008a05708: 4646e597  bl	#0xfffffff008357020
0xfffffff008a0570c: 84ffff17  b	#0xfffffff008a0551c
0xfffffff008a05710: 7f2303d5  pacibsp	
0xfffffff008a05714: f44fbea9  stp	x20, x19, [sp, #-0x20]!
