; Candidate 16561
; ADRP+ADD at VM 0xfffffff009ee3fec (fileoff 0x2edffec): page=0x1fd96d000 add_imm=0xe73

0xfffffff009ee3f6c: 08fd78d3  lsr	x8, x8, #0x38
0xfffffff009ee3f70: 1f090071  cmp	w8, #2
0xfffffff009ee3f74: 400f0054  b.eq	#0xfffffff009ee415c
0xfffffff009ee3f78: 1f050071  cmp	w8, #1
0xfffffff009ee3f7c: e12c0054  b.ne	#0xfffffff009ee4518
0xfffffff009ee3f80: f9031a2a  mov	w25, w26
0xfffffff009ee3f84: 288300d1  sub	x8, x25, #0x20
0xfffffff009ee3f88: 088100b1  adds	x8, x8, #0x20
0xfffffff009ee3f8c: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff009ee3f90: 2121889a  csel	x1, x9, x8, hs
0xfffffff009ee3f94: c0f2fe90  adrp	x0, #0xfffffff007d3b000
0xfffffff009ee3f98: 00e00191  add	x0, x0, #0x78
0xfffffff009ee3f9c: 8dcb9197  bl	#0xfffffff008356dd0
0xfffffff009ee3fa0: f30300aa  mov	x19, x0
0xfffffff009ee3fa4: a00000b4  cbz	x0, #0xfffffff009ee3fb8
0xfffffff009ee3fa8: 882700b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee3fac: 08212a91  add	x8, x8, #0xa88
0xfffffff009ee3fb0: 080139f8  ldadd	x25, x8, [x8]
0xfffffff009ee3fb4: 73000014  b	#0xfffffff009ee4180
0xfffffff009ee3fb8: 882700b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee3fbc: 08e12791  add	x8, x8, #0x9f8
0xfffffff009ee3fc0: 29008052  mov	w9, #1
0xfffffff009ee3fc4: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009ee3fc8: 882700b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee3fcc: 190105f9  str	x25, [x8, #0xa00]
0xfffffff009ee3fd0: d6feff17  b	#0xfffffff009ee3b28
0xfffffff009ee3fd4: 9f2403d5  bti	j
0xfffffff009ee3fd8: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009ee3fdc: 68cbfeb0  adrp	x8, #0xfffffff007850000
0xfffffff009ee3fe0: 08f53891  add	x8, x8, #0xe3d
0xfffffff009ee3fe4: a94c8152  mov	w9, #0xa65
0xfffffff009ee3fe8: e82700a9  stp	x8, x9, [sp]
0xfffffff009ee3fec: 60cbfeb0  adrp	x0, #0xfffffff007850000
0xfffffff009ee3ff0: 00cc3991  add	x0, x0, #0xe73
0xfffffff009ee3ff4: 54ffff17  b	#0xfffffff009ee3d44
0xfffffff009ee3ff8: 9f2403d5  bti	j
0xfffffff009ee3ffc: a0f2feb0  adrp	x0, #0xfffffff007d38000
0xfffffff009ee4000: 00600691  add	x0, x0, #0x198
0xfffffff009ee4004: 58000014  b	#0xfffffff009ee4164
0xfffffff009ee4008: 9f2403d5  bti	j
0xfffffff009ee400c: a0f2fe90  adrp	x0, #0xfffffff007d38000
0xfffffff009ee4010: 00600791  add	x0, x0, #0x1d8
0xfffffff009ee4014: 38c99197  bl	#0xfffffff0083564f4
0xfffffff009ee4018: f30300aa  mov	x19, x0
0xfffffff009ee401c: 200900b4  cbz	x0, #0xfffffff009ee4140
0xfffffff009ee4020: 88270090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee4024: 08212a91  add	x8, x8, #0xa88
0xfffffff009ee4028: 09048052  mov	w9, #0x20
0xfffffff009ee402c: 54000014  b	#0xfffffff009ee417c
0xfffffff009ee4030: 9f2403d5  bti	j
0xfffffff009ee4034: a0f2fe90  adrp	x0, #0xfffffff007d38000
0xfffffff009ee4038: 00600891  add	x0, x0, #0x218
0xfffffff009ee403c: 2ec99197  bl	#0xfffffff0083564f4
0xfffffff009ee4040: f30300aa  mov	x19, x0
0xfffffff009ee4044: 800100b4  cbz	x0, #0xfffffff009ee4074
0xfffffff009ee4048: 88270090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee404c: 08212a91  add	x8, x8, #0xa88
0xfffffff009ee4050: 09098052  mov	w9, #0x48
0xfffffff009ee4054: 4a000014  b	#0xfffffff009ee417c
0xfffffff009ee4058: 88270090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee405c: 08e12791  add	x8, x8, #0x9f8
0xfffffff009ee4060: 29008052  mov	w9, #1
0xfffffff009ee4064: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009ee4068: 88270090  adrp	x8, #0xfffffff00a3d4000
