; Candidate 6295
; ADRP+ADD at VM 0xfffffff008820660 (fileoff 0x181c660): page=0x1fe9c9000 add_imm=0xe80

0xfffffff0088205e0: 1f2940b9  ldr	wzr, [x8, #0x28]
0xfffffff0088205e4: f24e0294  bl	#0xfffffff0088b41ac
0xfffffff0088205e8: f60300aa  mov	x22, x0
0xfffffff0088205ec: 00018052  mov	w0, #8
0xfffffff0088205f0: 986c0194  bl	#0xfffffff00887b850
0xfffffff0088205f4: 08134039  ldrb	w8, [x24, #4]
0xfffffff0088205f8: 691640f9  ldr	x9, [x19, #0x28]
0xfffffff0088205fc: 292940b9  ldr	w9, [x9, #0x28]
0xfffffff008820600: 29011a12  and	w9, w9, #0x40
0xfffffff008820604: 0a274139  ldrb	w10, [x24, #0x49]
0xfffffff008820608: ab0a40f9  ldr	x11, [x21, #0x10]
0xfffffff00882060c: 8c827c39  ldrb	w12, [x20, #0xf20]
0xfffffff008820610: 8d8a7c39  ldrb	w13, [x20, #0xf22]
0xfffffff008820614: 6e5a40b9  ldr	w14, [x19, #0x58]
0xfffffff008820618: af1e40b9  ldr	w15, [x21, #0x1c]
0xfffffff00882061c: 10474129  ldp	w16, w17, [x24, #8]
0xfffffff008820620: 811e4fb9  ldr	w1, [x20, #0xf1c]
0xfffffff008820624: ecb707a9  stp	x12, x13, [sp, #0x78]
0xfffffff008820628: f18706a9  stp	x17, x1, [sp, #0x68]
0xfffffff00882062c: efc305a9  stp	x15, x16, [sp, #0x58]
0xfffffff008820630: eaaf04a9  stp	x10, x11, [sp, #0x48]
0xfffffff008820634: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff008820638: f3bb02a9  stp	x19, x14, [sp, #0x28]
0xfffffff00882063c: 48168252  mov	w8, #0x10b2
0xfffffff008820640: e81300f9  str	x8, [sp, #0x20]
0xfffffff008820644: 0850ff90  adrp	x8, #0xfffffff007220000
0xfffffff008820648: 08210f91  add	x8, x8, #0x3c8
0xfffffff00882064c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008820650: 880e8052  mov	w8, #0x74
0xfffffff008820654: 4351ffd0  adrp	x3, #0xfffffff00724a000
0xfffffff008820658: 639c1f91  add	x3, x3, #0x7e7
0xfffffff00882065c: f62300a9  stp	x22, x8, [sp]
0xfffffff008820660: 404effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008820664: 00003a91  add	x0, x0, #0xe80
0xfffffff008820668: 418fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882066c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008820670: 02008052  mov	w2, #0
0xfffffff008820674: af4aec97  bl	#0xfffffff008333130
0xfffffff008820678: 00008052  mov	w0, #0
0xfffffff00882067c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008820680: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008820684: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008820688: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00882068c: ff430391  add	sp, sp, #0xd0
0xfffffff008820690: ff0f5fd6  retab	
0xfffffff008820694: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff008820698: 09748b52  mov	w9, #0x5ba0
0xfffffff00882069c: 8900a072  movk	w9, #4, lsl #16
0xfffffff0088206a0: 1f0109eb  cmp	x8, x9
0xfffffff0088206a4: 68008052  mov	w8, #3
0xfffffff0088206a8: 08c59f1a  csinc	w8, w8, wzr, gt
0xfffffff0088206ac: a91e40b9  ldr	w9, [x21, #0x1c]
0xfffffff0088206b0: 29f2ff34  cbz	w9, #0xfffffff0088204f4
0xfffffff0088206b4: 881e0fb9  str	w8, [x20, #0xf1c]
0xfffffff0088206b8: 8fffff17  b	#0xfffffff0088204f4
0xfffffff0088206bc: 7f2303d5  pacibsp	
0xfffffff0088206c0: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0088206c4: e923086d  stp	d9, d8, [sp, #0x80]
0xfffffff0088206c8: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0088206cc: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0088206d0: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0088206d4: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0088206d8: fd030391  add	x29, sp, #0xc0
0xfffffff0088206dc: f40302aa  mov	x20, x2
