; Candidate 9066
; ADRP+ADD at VM 0xfffffff0089e3a78 (fileoff 0x19dfa78): page=0x1fe8ad000 add_imm=0xe07

0xfffffff0089e39f8: 098d43f8  ldr	x9, [x8, #0x38]!
0xfffffff0089e39fc: e00313aa  mov	x0, x19
0xfffffff0089e3a00: f10308aa  mov	x17, x8
0xfffffff0089e3a04: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0089e3a08: 31093fd7  blraa	x9, x17
0xfffffff0089e3a0c: d303e497  bl	#0xfffffff0082e4958
0xfffffff0089e3a10: f30300aa  mov	x19, x0
0xfffffff0089e3a14: e6b13194  bl	#0xfffffff0096501ac
0xfffffff0089e3a18: e882ffb0  adrp	x8, #0xfffffff007a40000
0xfffffff0089e3a1c: 08d942f9  ldr	x8, [x8, #0x5b0]
0xfffffff0089e3a20: 170140f9  ldr	x23, [x8]
0xfffffff0089e3a24: e2b13194  bl	#0xfffffff0096501ac
0xfffffff0089e3a28: f5d301a9  stp	x21, x20, [sp, #0x18]
0xfffffff0089e3a2c: f3db00a9  stp	x19, x22, [sp, #8]
0xfffffff0089e3a30: e00300f9  str	x0, [sp]
0xfffffff0089e3a34: 6045ff90  adrp	x0, #0xfffffff00728f000
0xfffffff0089e3a38: 00800e91  add	x0, x0, #0x3a0
0xfffffff0089e3a3c: 6345fff0  adrp	x3, #0xfffffff007292000
0xfffffff0089e3a40: 63840291  add	x3, x3, #0xa1
0xfffffff0089e3a44: e10317aa  mov	x1, x23
0xfffffff0089e3a48: 02008052  mov	w2, #0
0xfffffff0089e3a4c: b93de597  bl	#0xfffffff008333130
0xfffffff0089e3a50: 4ffeff17  b	#0xfffffff0089e338c
0xfffffff0089e3a54: 7f2303d5  pacibsp	
0xfffffff0089e3a58: ffc301d1  sub	sp, sp, #0x70
0xfffffff0089e3a5c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0089e3a60: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0089e3a64: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0089e3a68: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0089e3a6c: fd830191  add	x29, sp, #0x60
0xfffffff0089e3a70: f30300aa  mov	x19, x0
0xfffffff0089e3a74: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff0089e3a78: 6045ffb0  adrp	x0, #0xfffffff007290000
0xfffffff0089e3a7c: 001c3891  add	x0, x0, #0xe07
0xfffffff0089e3a80: e1a30091  add	x1, sp, #0x28
0xfffffff0089e3a84: 82008052  mov	w2, #4
0xfffffff0089e3a88: 4c25ea97  bl	#0xfffffff00846cfb8
0xfffffff0089e3a8c: e82b40b9  ldr	w8, [sp, #0x28]
0xfffffff0089e3a90: 1f050071  cmp	w8, #1
0xfffffff0089e3a94: a1090054  b.ne	#0xfffffff0089e3bc8
0xfffffff0089e3a98: c5b13194  bl	#0xfffffff0096501ac
0xfffffff0089e3a9c: e20300aa  mov	x2, x0
0xfffffff0089e3aa0: 619a40b9  ldr	w1, [x19, #0x98]
0xfffffff0089e3aa4: 7445ffb0  adrp	x20, #0xfffffff007290000
0xfffffff0089e3aa8: 946e3891  add	x20, x20, #0xe1b
0xfffffff0089e3aac: 6745ffb0  adrp	x7, #0xfffffff007290000
0xfffffff0089e3ab0: e7cc3891  add	x7, x7, #0xe33
0xfffffff0089e3ab4: 00008052  mov	w0, #0
0xfffffff0089e3ab8: e30313aa  mov	x3, x19
0xfffffff0089e3abc: e40314aa  mov	x4, x20
0xfffffff0089e3ac0: 050080d2  mov	x5, #0
0xfffffff0089e3ac4: 060080d2  mov	x6, #0
0xfffffff0089e3ac8: bdb13194  bl	#0xfffffff0096501bc
0xfffffff0089e3acc: 80050037  tbnz	w0, #0, #0xfffffff0089e3b7c
0xfffffff0089e3ad0: e00313aa  mov	x0, x19
0xfffffff0089e3ad4: dd13e697  bl	#0xfffffff008368a48
0xfffffff0089e3ad8: f50300aa  mov	x21, x0
0xfffffff0089e3adc: 700240f9  ldr	x16, [x19]
0xfffffff0089e3ae0: f10313aa  mov	x17, x19
0xfffffff0089e3ae4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089e3ae8: 301ac1da  autda	x16, x17
0xfffffff0089e3aec: f10310aa  mov	x17, x16
0xfffffff0089e3af0: f147c1da  xpacd	x17
0xfffffff0089e3af4: 1f0211eb  cmp	x16, x17
