; Candidate 1251
; ADRP+ADD at VM 0xfffffff0082ff800 (fileoff 0x12fb800): page=0x1feda0000 add_imm=0xd76

0xfffffff0082ff780: ff030191  add	sp, sp, #0x40
0xfffffff0082ff784: ff0f5fd6  retab	
0xfffffff0082ff788: 7f2303d5  pacibsp	
0xfffffff0082ff78c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0082ff790: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0082ff794: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0082ff798: fd830091  add	x29, sp, #0x20
0xfffffff0082ff79c: 80b3ff90  adrp	x0, #0xfffffff00796f000
0xfffffff0082ff7a0: 00201a91  add	x0, x0, #0x688
0xfffffff0082ff7a4: 01009052  mov	w1, #0x8000
0xfffffff0082ff7a8: a200a052  mov	w2, #0x50000
0xfffffff0082ff7ac: 030080d2  mov	x3, #0
0xfffffff0082ff7b0: 549bea97  bl	#0xfffffff007da6500
0xfffffff0082ff7b4: e00400b4  cbz	x0, #0xfffffff0082ff850
0xfffffff0082ff7b8: f30300aa  mov	x19, x0
0xfffffff0082ff7bc: 1f000039  strb	wzr, [x0]
0xfffffff0082ff7c0: 006dff90  adrp	x0, #0xfffffff00709f000
0xfffffff0082ff7c4: 00d83591  add	x0, x0, #0xd76
0xfffffff0082ff7c8: 21008052  mov	w1, #1
0xfffffff0082ff7cc: 02008012  mov	w2, #-1
0xfffffff0082ff7d0: e30313aa  mov	x3, x19
0xfffffff0082ff7d4: 04009052  mov	w4, #0x8000
0xfffffff0082ff7d8: 78030094  bl	#0xfffffff0083005b8
0xfffffff0082ff7dc: 20020035  cbnz	w0, #0xfffffff0082ff820
0xfffffff0082ff7e0: 006dff90  adrp	x0, #0xfffffff00709f000
0xfffffff0082ff7e4: 00d83591  add	x0, x0, #0xd76
0xfffffff0082ff7e8: 01008052  mov	w1, #0
0xfffffff0082ff7ec: 02008052  mov	w2, #0
0xfffffff0082ff7f0: e30313aa  mov	x3, x19
0xfffffff0082ff7f4: 04009052  mov	w4, #0x8000
0xfffffff0082ff7f8: 70030094  bl	#0xfffffff0083005b8
0xfffffff0082ff7fc: 20010035  cbnz	w0, #0xfffffff0082ff820
0xfffffff0082ff800: 006dff90  adrp	x0, #0xfffffff00709f000
0xfffffff0082ff804: 00d83591  add	x0, x0, #0xd76
0xfffffff0082ff808: 01008052  mov	w1, #0
0xfffffff0082ff80c: 22008052  mov	w2, #1
0xfffffff0082ff810: e30313aa  mov	x3, x19
0xfffffff0082ff814: 04009052  mov	w4, #0x8000
0xfffffff0082ff818: 68030094  bl	#0xfffffff0083005b8
0xfffffff0082ff81c: 00030034  cbz	w0, #0xfffffff0082ff87c
0xfffffff0082ff820: 80b3ff90  adrp	x0, #0xfffffff00796f000
0xfffffff0082ff824: 00201a91  add	x0, x0, #0x688
0xfffffff0082ff828: e10313aa  mov	x1, x19
0xfffffff0082ff82c: 02009052  mov	w2, #0x8000
0xfffffff0082ff830: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0082ff834: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0082ff838: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0082ff83c: ff2303d5  autibsp	
0xfffffff0082ff840: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0082ff844: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0082ff84c
0xfffffff0082ff848: 208e38d4  brk	#0xc471
0xfffffff0082ff84c: 889cea17  b	#0xfffffff007da6a6c
0xfffffff0082ff850: e26cff90  adrp	x2, #0xfffffff00709b000
0xfffffff0082ff854: 42042691  add	x2, x2, #0x981
0xfffffff0082ff858: 21028052  mov	w1, #0x11
0xfffffff0082ff85c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0082ff860: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0082ff864: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0082ff868: ff2303d5  autibsp	
0xfffffff0082ff86c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0082ff870: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0082ff878
0xfffffff0082ff874: 208e38d4  brk	#0xc471
0xfffffff0082ff878: 9dcbff17  b	#0xfffffff0082f26ec
0xfffffff0082ff87c: 54fa0090  adrp	x20, #0xfffffff00a247000
