; Candidate 4728
; ADRP+ADD at VM 0xfffffff0087c3df4 (fileoff 0x17bfdf4): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3d74: 09d18252  mov	w9, #0x1688
0xfffffff0087c3d78: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3d7c: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3d80: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3d84: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3d88: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3d8c: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3d90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3d94: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3d98: 63ec0c91  add	x3, x3, #0x33b
0xfffffff0087c3d9c: 02008052  mov	w2, #0
0xfffffff0087c3da0: e4bced97  bl	#0xfffffff008333130
0xfffffff0087c3da4: 28000014  b	#0xfffffff0087c3e44
0xfffffff0087c3da8: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3dac: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3db0: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3db4: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3db8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3dbc: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3dc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3dc4: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3dc8: 633c0991  add	x3, x3, #0x24f
0xfffffff0087c3dcc: 02008052  mov	w2, #0
0xfffffff0087c3dd0: d8bced97  bl	#0xfffffff008333130
0xfffffff0087c3dd4: 1c000014  b	#0xfffffff0087c3e44
0xfffffff0087c3dd8: c8948752  mov	w8, #0x3ca6
0xfffffff0087c3ddc: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c3de0: a8010036  tbz	w8, #0, #0xfffffff0087c3e14
0xfffffff0087c3de4: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0087c3de8: e94cff90  adrp	x9, #0xfffffff00715f000
0xfffffff0087c3dec: 29810491  add	x9, x9, #0x120
0xfffffff0087c3df0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c3df4: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3df8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3dfc: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3e00: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3e04: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3e08: 637c0491  add	x3, x3, #0x11f
0xfffffff0087c3e0c: 02008052  mov	w2, #0
0xfffffff0087c3e10: c8bced97  bl	#0xfffffff008333130
0xfffffff0087c3e14: c9ba8252  mov	w9, #0x15d6
0xfffffff0087c3e18: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3e1c: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3e20: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3e24: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3e28: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3e2c: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3e30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3e34: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3e38: 63ac0691  add	x3, x3, #0x1ab
0xfffffff0087c3e3c: 02008052  mov	w2, #0
0xfffffff0087c3e40: bcbced97  bl	#0xfffffff008333130
0xfffffff0087c3e44: 17008012  mov	w23, #-1
0xfffffff0087c3e48: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff0087c3e4c: c991ffd0  adrp	x9, #0xfffffff0079fd000
0xfffffff0087c3e50: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff0087c3e54: 290140f9  ldr	x9, [x9]
0xfffffff0087c3e58: 3f0108eb  cmp	x9, x8
0xfffffff0087c3e5c: e12f0054  b.ne	#0xfffffff0087c4458
0xfffffff0087c3e60: e00317aa  mov	x0, x23
0xfffffff0087c3e64: ff031e91  add	sp, sp, #0x780
0xfffffff0087c3e68: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087c3e6c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087c3e70: f65744a9  ldp	x22, x21, [sp, #0x40]
