; Candidate 6768
; ADRP+ADD at VM 0xfffffff008840700 (fileoff 0x183c700): page=0x1fe9a9000 add_imm=0xe80

0xfffffff008840680: 400a8052  mov	w0, #0x52
0xfffffff008840684: 65ec0094  bl	#0xfffffff00887b818
0xfffffff008840688: f50300aa  mov	x21, x0
0xfffffff00884068c: c8ce0194  bl	#0xfffffff0088b41ac
0xfffffff008840690: f40300aa  mov	x20, x0
0xfffffff008840694: 00018052  mov	w0, #8
0xfffffff008840698: 6eec0094  bl	#0xfffffff00887b850
0xfffffff00884069c: b5010034  cbz	w21, #0xfffffff0088406d0
0xfffffff0088406a0: 284fff90  adrp	x8, #0xfffffff007224000
0xfffffff0088406a4: 080d1891  add	x8, x8, #0x603
0xfffffff0088406a8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088406ac: 084ffff0  adrp	x8, #0xfffffff007223000
0xfffffff0088406b0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff0088406b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088406b8: 480a8052  mov	w8, #0x52
0xfffffff0088406bc: f42300a9  stp	x20, x8, [sp]
0xfffffff0088406c0: 804eff90  adrp	x0, #0xfffffff007210000
0xfffffff0088406c4: 008c2c91  add	x0, x0, #0xb23
0xfffffff0088406c8: 66dbd597  bl	#0xfffffff007db7460
0xfffffff0088406cc: 15000014  b	#0xfffffff008840720
0xfffffff0088406d0: b7ce0194  bl	#0xfffffff0088b41ac
0xfffffff0088406d4: f40300aa  mov	x20, x0
0xfffffff0088406d8: 00018052  mov	w0, #8
0xfffffff0088406dc: 5dec0094  bl	#0xfffffff00887b850
0xfffffff0088406e0: 284fff90  adrp	x8, #0xfffffff007224000
0xfffffff0088406e4: 080d1891  add	x8, x8, #0x603
0xfffffff0088406e8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088406ec: 084ffff0  adrp	x8, #0xfffffff007223000
0xfffffff0088406f0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff0088406f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088406f8: 480a8052  mov	w8, #0x52
0xfffffff0088406fc: f42300a9  stp	x20, x8, [sp]
0xfffffff008840700: 404dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008840704: 00003a91  add	x0, x0, #0xe80
0xfffffff008840708: 418eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884070c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008840710: 8350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008840714: 63500091  add	x3, x3, #0x14
0xfffffff008840718: 02008052  mov	w2, #0
0xfffffff00884071c: 85caeb97  bl	#0xfffffff008333130
0xfffffff008840720: a3ce0194  bl	#0xfffffff0088b41ac
0xfffffff008840724: e8f99ed2  mov	x8, #0xf7cf
0xfffffff008840728: 686abcf2  movk	x8, #0xe353, lsl #16
0xfffffff00884072c: a874d3f2  movk	x8, #0x9ba5, lsl #32
0xfffffff008840730: 8818e4f2  movk	x8, #0x20c4, lsl #48
0xfffffff008840734: 087c489b  smulh	x8, x0, x8
0xfffffff008840738: 09fd4793  asr	x9, x8, #7
0xfffffff00884073c: 28fd488b  add	x8, x9, x8, lsr #63
0xfffffff008840740: e82700f9  str	x8, [sp, #0x48]
0xfffffff008840744: 75220291  add	x21, x19, #0x88
0xfffffff008840748: e00315aa  mov	x0, x21
0xfffffff00884074c: 0fbeff97  bl	#0xfffffff00882ff88
0xfffffff008840750: f60300aa  mov	x22, x0
0xfffffff008840754: e00315aa  mov	x0, x21
0xfffffff008840758: 21beff97  bl	#0xfffffff00882ffdc
0xfffffff00884075c: df0200eb  cmp	x22, x0
0xfffffff008840760: 80030054  b.eq	#0xfffffff0088407d0
0xfffffff008840764: 17778152  mov	w23, #0xbb8
0xfffffff008840768: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00884076c: 081540b9  ldr	w8, [x8, #0x14]
0xfffffff008840770: 087d171b  mul	w8, w8, w23
0xfffffff008840774: e84300b9  str	w8, [sp, #0x40]
0xfffffff008840778: e3030191  add	x3, sp, #0x40
0xfffffff00884077c: e00316aa  mov	x0, x22
