; Candidate 8578
; ADRP+ADD at VM 0xfffffff0088b31c4 (fileoff 0x18af1c4): page=0x1fe960000 add_imm=0xd2e

0xfffffff0088b3144: 297d0a9b  mul	x9, x9, x10
0xfffffff0088b3148: 1f0109eb  cmp	x8, x9
0xfffffff0088b314c: e8a39f5a  csetm	w8, lt
0xfffffff0088b3150: 00d59f1a  csinc	w0, w8, wzr, le
0xfffffff0088b3154: c0035fd6  ret	
0xfffffff0088b3158: 7f2303d5  pacibsp	
0xfffffff0088b315c: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088b3160: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088b3164: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088b3168: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088b316c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0088b3170: fd030291  add	x29, sp, #0x80
0xfffffff0088b3174: f40301aa  mov	x20, x1
0xfffffff0088b3178: f30300aa  mov	x19, x0
0xfffffff0088b317c: 800d8052  mov	w0, #0x6c
0xfffffff0088b3180: c1008052  mov	w1, #6
0xfffffff0088b3184: 9321ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3188: 40020034  cbz	w0, #0xfffffff0088b31d0
0xfffffff0088b318c: 800d8052  mov	w0, #0x6c
0xfffffff0088b3190: a221ff97  bl	#0xfffffff00887b818
0xfffffff0088b3194: f60300aa  mov	x22, x0
0xfffffff0088b3198: 05040094  bl	#0xfffffff0088b41ac
0xfffffff0088b319c: f50300aa  mov	x21, x0
0xfffffff0088b31a0: c0008052  mov	w0, #6
0xfffffff0088b31a4: ab21ff97  bl	#0xfffffff00887b850
0xfffffff0088b31a8: 96070034  cbz	w22, #0xfffffff0088b3298
0xfffffff0088b31ac: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088b31b0: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b31b4: 08310491  add	x8, x8, #0x10c
0xfffffff0088b31b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b31bc: 880d8052  mov	w8, #0x6c
0xfffffff0088b31c0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b31c4: 004bff90  adrp	x0, #0xfffffff007213000
0xfffffff0088b31c8: 00b83491  add	x0, x0, #0xd2e
0xfffffff0088b31cc: a510d497  bl	#0xfffffff007db7460
0xfffffff0088b31d0: b30800b4  cbz	x19, #0xfffffff0088b32e4
0xfffffff0088b31d4: 940800b4  cbz	x20, #0xfffffff0088b32e4
0xfffffff0088b31d8: c08affd0  adrp	x0, #0xfffffff007a0d000
0xfffffff0088b31dc: 00603c91  add	x0, x0, #0xf18
0xfffffff0088b31e0: c58cea97  bl	#0xfffffff0083564f4
0xfffffff0088b31e4: 600b00b4  cbz	x0, #0xfffffff0088b3350
0xfffffff0088b31e8: f50300aa  mov	x21, x0
0xfffffff0088b31ec: 01008052  mov	w1, #0
0xfffffff0088b31f0: 02038052  mov	w2, #0x18
0xfffffff0088b31f4: 7366d297  bl	#0xfffffff007d4cbc0
0xfffffff0088b31f8: 700240f9  ldr	x16, [x19]
0xfffffff0088b31fc: f10313aa  mov	x17, x19
0xfffffff0088b3200: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088b3204: 301ac1da  autda	x16, x17
0xfffffff0088b3208: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0088b320c: e90310aa  mov	x9, x16
0xfffffff0088b3210: e00313aa  mov	x0, x19
0xfffffff0088b3214: e10314aa  mov	x1, x20
0xfffffff0088b3218: f10309aa  mov	x17, x9
0xfffffff0088b321c: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff0088b3220: 11093fd7  blraa	x8, x17
0xfffffff0088b3224: e00f0034  cbz	w0, #0xfffffff0088b3420
0xfffffff0088b3228: f60300aa  mov	x22, x0
0xfffffff0088b322c: 800d8052  mov	w0, #0x6c
0xfffffff0088b3230: 81008052  mov	w1, #4
0xfffffff0088b3234: 6721ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3238: 80120034  cbz	w0, #0xfffffff0088b3488
0xfffffff0088b323c: 800d8052  mov	w0, #0x6c
0xfffffff0088b3240: 7621ff97  bl	#0xfffffff00887b818
