; Candidate 15875
; ADRP+ADD at VM 0xfffffff009db4e50 (fileoff 0x2db0e50): page=0x608000 add_imm=0xe30

0xfffffff009db4dd0: 4d030094  bl	#0xfffffff009db5b04
0xfffffff009db4dd4: a0010034  cbz	w0, #0xfffffff009db4e08
0xfffffff009db4dd8: f30300aa  mov	x19, x0
0xfffffff009db4ddc: e803002a  mov	w8, w0
0xfffffff009db4de0: e80300f9  str	x8, [sp]
0xfffffff009db4de4: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4de8: 00d80991  add	x0, x0, #0x276
0xfffffff009db4dec: 8d889697  bl	#0xfffffff008357020
0xfffffff009db4df0: 0f000014  b	#0xfffffff009db4e2c
0xfffffff009db4df4: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4df8: 00080991  add	x0, x0, #0x242
0xfffffff009db4dfc: 89889697  bl	#0xfffffff008357020
0xfffffff009db4e00: b3008052  mov	w19, #5
0xfffffff009db4e04: 0c000014  b	#0xfffffff009db4e34
0xfffffff009db4e08: e00314aa  mov	x0, x20
0xfffffff009db4e0c: 59000094  bl	#0xfffffff009db4f70
0xfffffff009db4e10: f30300aa  mov	x19, x0
0xfffffff009db4e14: c0010034  cbz	w0, #0xfffffff009db4e4c
0xfffffff009db4e18: f30300f9  str	x19, [sp]
0xfffffff009db4e1c: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4e20: 00c40a91  add	x0, x0, #0x2b1
0xfffffff009db4e24: 7f889697  bl	#0xfffffff008357020
0xfffffff009db4e28: 4a030094  bl	#0xfffffff009db5b50
0xfffffff009db4e2c: a00240f9  ldr	x0, [x21]
0xfffffff009db4e30: 43de7f97  bl	#0xfffffff007dac73c
0xfffffff009db4e34: e00313aa  mov	x0, x19
0xfffffff009db4e38: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009db4e3c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009db4e40: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009db4e44: ff030191  add	sp, sp, #0x40
0xfffffff009db4e48: ff0f5fd6  retab	
0xfffffff009db4e4c: 890e0094  bl	#0xfffffff009db8870
0xfffffff009db4e50: 40300090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db4e54: 00c03891  add	x0, x0, #0xe30
0xfffffff009db4e58: 84999097  bl	#0xfffffff0081db468
0xfffffff009db4e5c: 28008052  mov	w8, #1
0xfffffff009db4e60: c88a0eb9  str	w8, [x22, #0xe88]
0xfffffff009db4e64: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4e68: 00b80b91  add	x0, x0, #0x2ee
0xfffffff009db4e6c: e0ffff17  b	#0xfffffff009db4dec
0xfffffff009db4e70: 5f2403d5  bti	c
0xfffffff009db4e74: 01000014  b	#0xfffffff009db4e78
0xfffffff009db4e78: 7f2303d5  pacibsp	
0xfffffff009db4e7c: ff0301d1  sub	sp, sp, #0x40
0xfffffff009db4e80: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009db4e84: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009db4e88: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009db4e8c: fdc30091  add	x29, sp, #0x30
0xfffffff009db4e90: e0c6feb0  adrp	x0, #0xfffffff007691000
0xfffffff009db4e94: 00240c91  add	x0, x0, #0x309
0xfffffff009db4e98: 62889697  bl	#0xfffffff008357020
0xfffffff009db4e9c: 55300090  adrp	x21, #0xfffffff00a3bc000
0xfffffff009db4ea0: a88a4eb9  ldr	w8, [x21, #0xe88]
0xfffffff009db4ea4: a8010034  cbz	w8, #0xfffffff009db4ed8
0xfffffff009db4ea8: 54fbfe90  adrp	x20, #0xfffffff007d1c000
0xfffffff009db4eac: 94ce43f9  ldr	x20, [x20, #0x798]
0xfffffff009db4eb0: 800240f9  ldr	x0, [x20]
0xfffffff009db4eb4: 06db7f97  bl	#0xfffffff007dabacc
0xfffffff009db4eb8: 26030094  bl	#0xfffffff009db5b50
0xfffffff009db4ebc: 20010034  cbz	w0, #0xfffffff009db4ee0
0xfffffff009db4ec0: f30300aa  mov	x19, x0
0xfffffff009db4ec4: e803002a  mov	w8, w0
0xfffffff009db4ec8: e80300f9  str	x8, [sp]
0xfffffff009db4ecc: e0c6feb0  adrp	x0, #0xfffffff007691000
