; Candidate 7755
; ADRP+ADD at VM 0xfffffff00887d6c4 (fileoff 0x18796c4): page=0x1fe96c000 add_imm=0xe80

0xfffffff00887d644: a80c0034  cbz	w8, #0xfffffff00887d7d8
0xfffffff00887d648: 688240a9  ldp	x8, x0, [x19, #8]
0xfffffff00887d64c: 15494039  ldrb	w21, [x8, #0x12]
0xfffffff00887d650: c2b7fe97  bl	#0xfffffff00882b558
0xfffffff00887d654: bf020071  cmp	w21, #0
0xfffffff00887d658: 0818457a  ccmp	w0, #5, #8, ne
0xfffffff00887d65c: ab000054  b.lt	#0xfffffff00887d670
0xfffffff00887d660: 7aa20091  add	x26, x19, #0x28
0xfffffff00887d664: 56d3348b  add	x22, x26, w20, sxtw #4
0xfffffff00887d668: c80240f9  ldr	x8, [x22]
0xfffffff00887d66c: 280f00b4  cbz	x8, #0xfffffff00887d850
0xfffffff00887d670: 16008052  mov	w22, #0
0xfffffff00887d674: 1d000014  b	#0xfffffff00887d6e8
0xfffffff00887d678: cdda0094  bl	#0xfffffff0088b41ac
0xfffffff00887d67c: f50300aa  mov	x21, x0
0xfffffff00887d680: 80008052  mov	w0, #4
0xfffffff00887d684: 73f8ff97  bl	#0xfffffff00887b850
0xfffffff00887d688: e80314aa  mov	x8, x20
0xfffffff00887d68c: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887d690: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00887d694: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d698: 08b50a91  add	x8, x8, #0x2ad
0xfffffff00887d69c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887d6a0: 281a8052  mov	w8, #0xd1
0xfffffff00887d6a4: 694dfff0  adrp	x9, #0xfffffff00722c000
0xfffffff00887d6a8: 29910a91  add	x9, x9, #0x2a4
0xfffffff00887d6ac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887d6b0: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d6b4: 08b91891  add	x8, x8, #0x62e
0xfffffff00887d6b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887d6bc: 280b8052  mov	w8, #0x59
0xfffffff00887d6c0: f52300a9  stp	x21, x8, [sp]
0xfffffff00887d6c4: 604bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00887d6c8: 00003a91  add	x0, x0, #0xe80
0xfffffff00887d6cc: 418cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00887d6d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887d6d4: e34effb0  adrp	x3, #0xfffffff00725a000
0xfffffff00887d6d8: 63543e91  add	x3, x3, #0xf95
0xfffffff00887d6dc: 02008052  mov	w2, #0
0xfffffff00887d6e0: 94d6ea97  bl	#0xfffffff008333130
0xfffffff00887d6e4: 167d8012  mov	w22, #-0x3e9
0xfffffff00887d6e8: 200b8052  mov	w0, #0x59
0xfffffff00887d6ec: e1008052  mov	w1, #7
0xfffffff00887d6f0: 38f8ff97  bl	#0xfffffff00887b7d0
0xfffffff00887d6f4: 00060034  cbz	w0, #0xfffffff00887d7b4
0xfffffff00887d6f8: 200b8052  mov	w0, #0x59
0xfffffff00887d6fc: 47f8ff97  bl	#0xfffffff00887b818
0xfffffff00887d700: f70300aa  mov	x23, x0
0xfffffff00887d704: aada0094  bl	#0xfffffff0088b41ac
0xfffffff00887d708: f50300aa  mov	x21, x0
0xfffffff00887d70c: e0008052  mov	w0, #7
0xfffffff00887d710: 50f8ff97  bl	#0xfffffff00887b850
0xfffffff00887d714: 17020034  cbz	w23, #0xfffffff00887d754
0xfffffff00887d718: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00887d71c: f4db03a9  stp	x20, x22, [sp, #0x38]
0xfffffff00887d720: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00887d724: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d728: 09910a91  add	x9, x8, #0x2a4
0xfffffff00887d72c: 684dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff00887d730: 08b91891  add	x8, x8, #0x62e
0xfffffff00887d734: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887d738: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887d73c: 280b8052  mov	w8, #0x59
0xfffffff00887d740: 204dff90  adrp	x0, #0xfffffff007221000
