; Candidate 6200
; ADRP+ADD at VM 0xfffffff008819c80 (fileoff 0x1815c80): page=0x1fea06000 add_imm=0xe23

0xfffffff008819c00: df820071  cmp	w22, #0x20
0xfffffff008819c04: 2831889a  csel	x8, x9, x8, lo
0xfffffff008819c08: 000100f9  str	x0, [x8]
0xfffffff008819c0c: 810640b9  ldr	w1, [x20, #4]
0xfffffff008819c10: e00313aa  mov	x0, x19
0xfffffff008819c14: 4fe0ff97  bl	#0xfffffff008811d50
0xfffffff008819c18: e0030034  cbz	w0, #0xfffffff008819c94
0xfffffff008819c1c: f70300aa  mov	x23, x0
0xfffffff008819c20: 800e8052  mov	w0, #0x74
0xfffffff008819c24: 81008052  mov	w1, #4
0xfffffff008819c28: ea860194  bl	#0xfffffff00887b7d0
0xfffffff008819c2c: 80eeff34  cbz	w0, #0xfffffff0088199fc
0xfffffff008819c30: 800e8052  mov	w0, #0x74
0xfffffff008819c34: f9860194  bl	#0xfffffff00887b818
0xfffffff008819c38: f90300aa  mov	x25, x0
0xfffffff008819c3c: 5c690294  bl	#0xfffffff0088b41ac
0xfffffff008819c40: f80300aa  mov	x24, x0
0xfffffff008819c44: 80008052  mov	w0, #4
0xfffffff008819c48: 02870194  bl	#0xfffffff00887b850
0xfffffff008819c4c: b9050034  cbz	w25, #0xfffffff008819d00
0xfffffff008819c50: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008819c54: 890640b9  ldr	w9, [x20, #4]
0xfffffff008819c58: e95f04a9  stp	x9, x23, [sp, #0x40]
0xfffffff008819c5c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008819c60: a84ffff0  adrp	x8, #0xfffffff007210000
0xfffffff008819c64: 08b92791  add	x8, x8, #0x9ee
0xfffffff008819c68: 697e8152  mov	w9, #0xbf3
0xfffffff008819c6c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008819c70: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819c74: 08c13691  add	x8, x8, #0xdb0
0xfffffff008819c78: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008819c7c: 880e8052  mov	w8, #0x74
0xfffffff008819c80: 2050ffd0  adrp	x0, #0xfffffff00721f000
0xfffffff008819c84: 008c3891  add	x0, x0, #0xe23
0xfffffff008819c88: f82300a9  stp	x24, x8, [sp]
0xfffffff008819c8c: f575d697  bl	#0xfffffff007db7460
0xfffffff008819c90: 5bffff17  b	#0xfffffff0088199fc
0xfffffff008819c94: 9c118052  mov	w28, #0x8c
0xfffffff008819c98: dc74a572  movk	w28, #0x2ba6, lsl #16
0xfffffff008819c9c: 80118052  mov	w0, #0x8c
0xfffffff008819ca0: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008819ca4: e10319aa  mov	x1, x25
0xfffffff008819ca8: e2031baa  mov	x2, x27
0xfffffff008819cac: e3031aaa  mov	x3, x26
0xfffffff008819cb0: e40318aa  mov	x4, x24
0xfffffff008819cb4: 050080d2  mov	x5, #0
0xfffffff008819cb8: 9390e597  bl	#0xfffffff00817df04
0xfffffff008819cbc: 770a40f9  ldr	x23, [x19, #0x10]
0xfffffff008819cc0: e00315aa  mov	x0, x21
0xfffffff008819cc4: 65690294  bl	#0xfffffff0088b4258
0xfffffff008819cc8: e10300aa  mov	x1, x0
0xfffffff008819ccc: 820640b9  ldr	w2, [x20, #4]
0xfffffff008819cd0: e00317aa  mov	x0, x23
0xfffffff008819cd4: e30316aa  mov	x3, x22
0xfffffff008819cd8: 9f1cff97  bl	#0xfffffff0087e0f54
0xfffffff008819cdc: f70300aa  mov	x23, x0
0xfffffff008819ce0: 80130011  add	w0, w28, #4
0xfffffff008819ce4: e10319aa  mov	x1, x25
0xfffffff008819ce8: e2031baa  mov	x2, x27
0xfffffff008819cec: e3031aaa  mov	x3, x26
0xfffffff008819cf0: e40318aa  mov	x4, x24
0xfffffff008819cf4: 050080d2  mov	x5, #0
0xfffffff008819cf8: 8390e597  bl	#0xfffffff00817df04
0xfffffff008819cfc: 40ffff17  b	#0xfffffff0088199fc
