; Candidate 3047
; ADRP+ADD at VM 0xfffffff00870ec4c (fileoff 0x170ac4c): page=0x1fea23000 add_imm=0xd90

0xfffffff00870ebcc: f10309aa  mov	x17, x9
0xfffffff00870ebd0: d192edf2  movk	x17, #0x6c96, lsl #48
0xfffffff00870ebd4: 11093fd7  blraa	x8, x17
0xfffffff00870ebd8: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff00870ebdc: 08c96ab9  ldr	w8, [x8, #0x2ac8]
0xfffffff00870ebe0: 0952fff0  adrp	x9, #0xfffffff007151000
0xfffffff00870ebe4: 29491591  add	x9, x9, #0x552
0xfffffff00870ebe8: e92300a9  stp	x9, x8, [sp]
0xfffffff00870ebec: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870ebf0: 00403691  add	x0, x0, #0xd90
0xfffffff00870ebf4: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ebf8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ebfc: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870ec00: 631c0c91  add	x3, x3, #0x307
0xfffffff00870ec04: 02008052  mov	w2, #0
0xfffffff00870ec08: 4a91f097  bl	#0xfffffff008333130
0xfffffff00870ec0c: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff00870ec10: 08c96ab9  ldr	w8, [x8, #0x2ac8]
0xfffffff00870ec14: 68000035  cbnz	w8, #0xfffffff00870ec20
0xfffffff00870ec18: e87740f9  ldr	x8, [sp, #0xe8]
0xfffffff00870ec1c: 1f5d0439  strb	wzr, [x8, #0x117]
0xfffffff00870ec20: bf060031  cmn	w21, #1
0xfffffff00870ec24: e0030054  b.eq	#0xfffffff00870eca0
0xfffffff00870ec28: 08258452  mov	w8, #0x2128
0xfffffff00870ec2c: 6102088b  add	x1, x19, x8
0xfffffff00870ec30: e4c30691  add	x4, sp, #0x1b0
0xfffffff00870ec34: e00313aa  mov	x0, x19
0xfffffff00870ec38: e20315aa  mov	x2, x21
0xfffffff00870ec3c: 23008052  mov	w3, #1
0xfffffff00870ec40: 96420294  bl	#0xfffffff00879f698
0xfffffff00870ec44: 689a50f9  ldr	x8, [x19, #0x2130]
0xfffffff00870ec48: 280300b5  cbnz	x8, #0xfffffff00870ecac
0xfffffff00870ec4c: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870ec50: 00403691  add	x0, x0, #0xd90
0xfffffff00870ec54: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ec58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ec5c: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870ec60: 63a00c91  add	x3, x3, #0x328
0xfffffff00870ec64: 02008052  mov	w2, #0
0xfffffff00870ec68: 3291f097  bl	#0xfffffff008333130
0xfffffff00870ec6c: 35000014  b	#0xfffffff00870ed40
0xfffffff00870ec70: 0852fff0  adrp	x8, #0xfffffff007151000
0xfffffff00870ec74: 08491591  add	x8, x8, #0x552
0xfffffff00870ec78: e80300f9  str	x8, [sp]
0xfffffff00870ec7c: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870ec80: 00403691  add	x0, x0, #0xd90
0xfffffff00870ec84: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ec88: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ec8c: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870ec90: 63680b91  add	x3, x3, #0x2da
0xfffffff00870ec94: 02008052  mov	w2, #0
0xfffffff00870ec98: 2691f097  bl	#0xfffffff008333130
0xfffffff00870ec9c: 29000014  b	#0xfffffff00870ed40
0xfffffff00870eca0: 7f9a10f9  str	xzr, [x19, #0x2130]
0xfffffff00870eca4: 00e6072f  movi	d0, #0xffffffff00000000
0xfffffff00870eca8: 609610fd  str	d0, [x19, #0x2128]
0xfffffff00870ecac: 08238452  mov	w8, #0x2118
0xfffffff00870ecb0: 6102088b  add	x1, x19, x8
0xfffffff00870ecb4: 64a22091  add	x4, x19, #0x828
0xfffffff00870ecb8: e00313aa  mov	x0, x19
0xfffffff00870ecbc: e20317aa  mov	x2, x23
0xfffffff00870ecc0: 03008052  mov	w3, #0
0xfffffff00870ecc4: 75420294  bl	#0xfffffff00879f698
0xfffffff00870ecc8: 689250f9  ldr	x8, [x19, #0x2120]
