; Candidate 5859
; ADRP+ADD at VM 0xfffffff0088091b4 (fileoff 0x18051b4): page=0x1fe9e0000 add_imm=0xe80

0xfffffff008809134: a97a8052  mov	w9, #0x3d5
0xfffffff008809138: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880913c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809140: 08fd2391  add	x8, x8, #0x8ff
0xfffffff008809144: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008809148: 880e8052  mov	w8, #0x74
0xfffffff00880914c: f42300a9  stp	x20, x8, [sp]
0xfffffff008809150: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809154: 00003a91  add	x0, x0, #0xe80
0xfffffff008809158: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880915c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008809160: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809164: 63002d91  add	x3, x3, #0xb40
0xfffffff008809168: 02008052  mov	w2, #0
0xfffffff00880916c: f1a7ec97  bl	#0xfffffff008333130
0xfffffff008809170: c4ffff17  b	#0xfffffff008809080
0xfffffff008809174: 0eac0294  bl	#0xfffffff0088b41ac
0xfffffff008809178: f40300aa  mov	x20, x0
0xfffffff00880917c: 80008052  mov	w0, #4
0xfffffff008809180: b4c90194  bl	#0xfffffff00887b850
0xfffffff008809184: 167d8012  mov	w22, #-0x3e9
0xfffffff008809188: f85b04a9  stp	x24, x22, [sp, #0x40]
0xfffffff00880918c: f36b03a9  stp	x19, x26, [sp, #0x30]
0xfffffff008809190: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809194: 08452b91  add	x8, x8, #0xad1
0xfffffff008809198: 697d8052  mov	w9, #0x3eb
0xfffffff00880919c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088091a0: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff0088091a4: 08fd2391  add	x8, x8, #0x8ff
0xfffffff0088091a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088091ac: 880e8052  mov	w8, #0x74
0xfffffff0088091b0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088091b4: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088091b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088091bc: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088091c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088091c4: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff0088091c8: 63d82d91  add	x3, x3, #0xb76
0xfffffff0088091cc: 02008052  mov	w2, #0
0xfffffff0088091d0: d8a7ec97  bl	#0xfffffff008333130
0xfffffff0088091d4: abffff17  b	#0xfffffff008809080
0xfffffff0088091d8: 7f2303d5  pacibsp	
0xfffffff0088091dc: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088091e0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088091e4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088091e8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088091ec: fd430191  add	x29, sp, #0x50
0xfffffff0088091f0: e40301aa  mov	x4, x1
0xfffffff0088091f4: 08284491  add	x8, x0, #0x10a, lsl #12
0xfffffff0088091f8: 09f10191  add	x9, x8, #0x7c
0xfffffff0088091fc: 08c84391  add	x8, x0, #0xf2, lsl #12
0xfffffff008809200: 08211f91  add	x8, x8, #0x7c8
0xfffffff008809204: 2a4942b9  ldr	w10, [x9, #0x248]
0xfffffff008809208: 5f050071  cmp	w10, #1
0xfffffff00880920c: 20010054  b.eq	#0xfffffff008809230
0xfffffff008809210: 2a020035  cbnz	w10, #0xfffffff008809254
0xfffffff008809214: 0a2c4491  add	x10, x0, #0x10b, lsl #12
0xfffffff008809218: 4a812391  add	x10, x10, #0x8e0
0xfffffff00880921c: 400140f9  ldr	x0, [x10]
0xfffffff008809220: 210140b9  ldr	w1, [x9]
0xfffffff008809224: 020d4029  ldp	w2, w3, [x8]
0xfffffff008809228: 83c00294  bl	#0xfffffff0088b9434
0xfffffff00880922c: 07000014  b	#0xfffffff008809248
0xfffffff008809230: 0acc4491  add	x10, x0, #0x133, lsl #12
