; Candidate 13757
; ADRP+ADD at VM 0xfffffff0095707a0 (fileoff 0x256c7a0): page=0x1fdfeb000 add_imm=0xdfc

0xfffffff009570720: f70302aa  mov	x23, x2
0xfffffff009570724: f50301aa  mov	x21, x1
0xfffffff009570728: f60300aa  mov	x22, x0
0xfffffff00957072c: fa830091  add	x26, sp, #0x20
0xfffffff009570730: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009570734: 40030cad  stp	q0, q0, [x26, #0x180]
0xfffffff009570738: 40030bad  stp	q0, q0, [x26, #0x160]
0xfffffff00957073c: 40030aad  stp	q0, q0, [x26, #0x140]
0xfffffff009570740: 400309ad  stp	q0, q0, [x26, #0x120]
0xfffffff009570744: 400308ad  stp	q0, q0, [x26, #0x100]
0xfffffff009570748: 400307ad  stp	q0, q0, [x26, #0xe0]
0xfffffff00957074c: 400306ad  stp	q0, q0, [x26, #0xc0]
0xfffffff009570750: 400305ad  stp	q0, q0, [x26, #0xa0]
0xfffffff009570754: 400304ad  stp	q0, q0, [x26, #0x80]
0xfffffff009570758: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00957075c: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff009570760: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff009570764: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff009570768: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00957076c: 9b07a697  bl	#0xfffffff007ef25d8
0xfffffff009570770: f30300aa  mov	x19, x0
0xfffffff009570774: c925a797  bl	#0xfffffff007f39e98
0xfffffff009570778: f80300aa  mov	x24, x0
0xfffffff00957077c: e2730091  add	x2, sp, #0x1c
0xfffffff009570780: e00316aa  mov	x0, x22
0xfffffff009570784: 01838c52  mov	w1, #0x6418
0xfffffff009570788: 8100a872  movk	w1, #0x4004, lsl #16
0xfffffff00957078c: 03008052  mov	w3, #0
0xfffffff009570790: e40318aa  mov	x4, x24
0xfffffff009570794: 932fa797  bl	#0xfffffff007f3c5e0
0xfffffff009570798: a0000034  cbz	w0, #0xfffffff0095707ac
0xfffffff00957079c: f30300f9  str	x19, [sp]
0xfffffff0095707a0: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff0095707a4: 00f03791  add	x0, x0, #0xdfc
0xfffffff0095707a8: 1a000014  b	#0xfffffff009570810
0xfffffff0095707ac: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff0095707b0: 1f01196b  cmp	w8, w25
0xfffffff0095707b4: c9000054  b.ls	#0xfffffff0095707cc
0xfffffff0095707b8: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff0095707bc: f30300f9  str	x19, [sp]
0xfffffff0095707c0: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff0095707c4: 00c43891  add	x0, x0, #0xe31
0xfffffff0095707c8: 12000014  b	#0xfffffff009570810
0xfffffff0095707cc: 0900b092  mov	x9, #-0x80000001
0xfffffff0095707d0: e902098b  add	x9, x23, x9
0xfffffff0095707d4: 2a008092  mov	x10, #-2
0xfffffff0095707d8: 6a00b0f2  movk	x10, #0x8003, lsl #16
0xfffffff0095707dc: 3f010aeb  cmp	x9, x10
0xfffffff0095707e0: a8000054  b.hi	#0xfffffff0095707f4
0xfffffff0095707e4: f35f00a9  stp	x19, x23, [sp]
0xfffffff0095707e8: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff0095707ec: 00ec3991  add	x0, x0, #0xe7b
0xfffffff0095707f0: 08000014  b	#0xfffffff009570810
0xfffffff0095707f4: e90ac81a  udiv	w9, w23, w8
0xfffffff0095707f8: 29dd081b  msub	w9, w9, w8, w23
0xfffffff0095707fc: 49020034  cbz	w9, #0xfffffff009570844
0xfffffff009570800: f7a300a9  stp	x23, x8, [sp, #8]
0xfffffff009570804: f30300f9  str	x19, [sp]
0xfffffff009570808: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff00957080c: 00b83a91  add	x0, x0, #0xeae
0xfffffff009570810: 141ba197  bl	#0xfffffff007db7460
0xfffffff009570814: d4028052  mov	w20, #0x16
0xfffffff009570818: e00313aa  mov	x0, x19
0xfffffff00957081c: c807a697  bl	#0xfffffff007ef273c
