; Candidate 869
; ADRP+ADD at VM 0xfffffff0080e5f3c (fileoff 0x10e1f3c): page=0x1fef92000 add_imm=0xdb3

0xfffffff0080e5ebc: 7f0208eb  cmp	x19, x8
0xfffffff0080e5ec0: 622249fa  ccmp	x19, x9, #2, hs
0xfffffff0080e5ec4: 23010054  b.lo	#0xfffffff0080e5ee8
0xfffffff0080e5ec8: 8804c0d2  mov	x8, #0x2400000000
0xfffffff0080e5ecc: 6802088b  add	x8, x19, x8
0xfffffff0080e5ed0: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff0080e5ed4: 880100b5  cbnz	x8, #0xfffffff0080e5f04
0xfffffff0080e5ed8: 48c4ffb0  adrp	x8, #0xfffffff00796e000
0xfffffff0080e5edc: 084540f9  ldr	x8, [x8, #0x88]
0xfffffff0080e5ee0: 1301138b  add	x19, x8, x19
0xfffffff0080e5ee4: 08000014  b	#0xfffffff0080e5f04
0xfffffff0080e5ee8: 4ac4ffb0  adrp	x10, #0xfffffff00796e000
0xfffffff0080e5eec: 4a5946f9  ldr	x10, [x10, #0xcb0]
0xfffffff0080e5ef0: 6a020acb  sub	x10, x19, x10
0xfffffff0080e5ef4: f343c1da  xpaci	x19
0xfffffff0080e5ef8: 7f0209eb  cmp	x19, x9
0xfffffff0080e5efc: 603248fa  ccmp	x19, x8, #0, lo
0xfffffff0080e5f00: 53219f9a  csel	x19, x10, xzr, hs
0xfffffff0080e5f04: 887cffd0  adrp	x8, #0xfffffff007077000
0xfffffff0080e5f08: 08e93a91  add	x8, x8, #0xeba
0xfffffff0080e5f0c: e84f00a9  stp	x8, x19, [sp]
0xfffffff0080e5f10: 2079fff0  adrp	x0, #0xfffffff00700c000
0xfffffff0080e5f14: 00000091  add	x0, x0, #0
0xfffffff0080e5f18: c37effb0  adrp	x3, #0xfffffff0070be000
0xfffffff0080e5f1c: 63c01491  add	x3, x3, #0x530
0xfffffff0080e5f20: 02028052  mov	w2, #0x10
0xfffffff0080e5f24: 83340994  bl	#0xfffffff008333130
0xfffffff0080e5f28: c0028052  mov	w0, #0x16
0xfffffff0080e5f2c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080e5f30: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080e5f34: ffc30091  add	sp, sp, #0x30
0xfffffff0080e5f38: ff0f5fd6  retab	
0xfffffff0080e5f3c: 807cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e5f40: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080e5f44: 817cffd0  adrp	x1, #0xfffffff007077000
0xfffffff0080e5f48: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080e5f4c: e2088052  mov	w2, #0x47
0xfffffff0080e5f50: 31e60e94  bl	#0xfffffff00849f814
0xfffffff0080e5f54: 7f2303d5  pacibsp	
0xfffffff0080e5f58: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0080e5f5c: fd030091  mov	x29, sp
0xfffffff0080e5f60: 280440b9  ldr	w8, [x1, #4]
0xfffffff0080e5f64: e9ff9f52  mov	w9, #0xffff
0xfffffff0080e5f68: 1f01096b  cmp	w8, w9
0xfffffff0080e5f6c: e1050054  b.ne	#0xfffffff0080e6028
0xfffffff0080e5f70: 00008052  mov	w0, #0
0xfffffff0080e5f74: 280840b9  ldr	w8, [x1, #8]
0xfffffff0080e5f78: 1f054071  cmp	w8, #1, lsl #12
0xfffffff0080e5f7c: 0d020054  b.le	#0xfffffff0080e5fbc
0xfffffff0080e5f80: 09008212  mov	w9, #-0x1001
0xfffffff0080e5f84: 1001090b  add	w16, w8, w9
0xfffffff0080e5f88: 1fc60471  cmp	w16, #0x131
0xfffffff0080e5f8c: 08030054  b.hi	#0xfffffff0080e5fec
0xfffffff0080e5f90: 1fc604f1  cmp	x16, #0x131
0xfffffff0080e5f94: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0080e5f98: 110000b0  adrp	x17, #0xfffffff0080e6000
0xfffffff0080e5f9c: 31020191  add	x17, x17, #0x40
0xfffffff0080e5fa0: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0080e5fa4: 11000010  adr	x17, #0xfffffff0080e5fa4
0xfffffff0080e5fa8: 3002108b  add	x16, x17, x16
0xfffffff0080e5fac: 00021fd6  br	x16
0xfffffff0080e5fb0: 9f2403d5  bti	j
0xfffffff0080e5fb4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080e5fb8: ff0f5fd6  retab	
