; Candidate 7332
; ADRP+ADD at VM 0xfffffff008868288 (fileoff 0x1864288): page=0x1fe981000 add_imm=0xe80

0xfffffff008868208: e8ea4f29  ldp	w8, w26, [x23, #0x7c]
0xfffffff00886820c: e84b00f9  str	x8, [sp, #0x90]
0xfffffff008868210: e00318aa  mov	x0, x24
0xfffffff008868214: 071dff97  bl	#0xfffffff00882f630
0xfffffff008868218: f80300aa  mov	x24, x0
0xfffffff00886821c: e00319aa  mov	x0, x25
0xfffffff008868220: 041dff97  bl	#0xfffffff00882f630
0xfffffff008868224: f90300aa  mov	x25, x0
0xfffffff008868228: e0031caa  mov	x0, x28
0xfffffff00886822c: 011dff97  bl	#0xfffffff00882f630
0xfffffff008868230: fb0300aa  mov	x27, x0
0xfffffff008868234: e00316aa  mov	x0, x22
0xfffffff008868238: fe1cff97  bl	#0xfffffff00882f630
0xfffffff00886823c: fb8307a9  stp	x27, x0, [sp, #0x78]
0xfffffff008868240: f8e706a9  stp	x24, x25, [sp, #0x68]
0xfffffff008868244: f5eb05a9  stp	x21, x26, [sp, #0x58]
0xfffffff008868248: e94b40f9  ldr	x9, [sp, #0x90]
0xfffffff00886824c: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff008868250: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008868254: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff008868258: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00886825c: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff008868260: f7a302a9  stp	x23, x8, [sp, #0x28]
0xfffffff008868264: 89e18052  mov	w9, #0x70c
0xfffffff008868268: 484dffd0  adrp	x8, #0xfffffff007212000
0xfffffff00886826c: 08a92f91  add	x8, x8, #0xbea
0xfffffff008868270: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008868274: a90357f8  ldur	x9, [x29, #-0x90]
0xfffffff008868278: 680c8052  mov	w8, #0x63
0xfffffff00886827c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008868280: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff008868284: e80300f9  str	x8, [sp]
0xfffffff008868288: 004cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886828c: 00003a91  add	x0, x0, #0xe80
0xfffffff008868290: 018dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008868294: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008868298: 02008052  mov	w2, #0
0xfffffff00886829c: 634ffff0  adrp	x3, #0xfffffff007257000
0xfffffff0088682a0: 636c3091  add	x3, x3, #0xc1b
0xfffffff0088682a4: a32beb97  bl	#0xfffffff008333130
0xfffffff0088682a8: b60358f8  ldur	x22, [x29, #-0x80]
0xfffffff0088682ac: e00317aa  mov	x0, x23
0xfffffff0088682b0: 1b47fe97  bl	#0xfffffff0087f9f1c
0xfffffff0088682b4: fc0300aa  mov	x28, x0
0xfffffff0088682b8: a0000035  cbnz	w0, #0xfffffff0088682cc
0xfffffff0088682bc: 88ee40b9  ldr	w8, [x20, #0xec]
0xfffffff0088682c0: a8c318b8  stur	w8, [x29, #-0x74]
0xfffffff0088682c4: 28008052  mov	w8, #1
0xfffffff0088682c8: a8c319b8  stur	w8, [x29, #-0x64]
0xfffffff0088682cc: e00317aa  mov	x0, x23
0xfffffff0088682d0: 011dff97  bl	#0xfffffff00882f6d4
0xfffffff0088682d4: f70300aa  mov	x23, x0
0xfffffff0088682d8: a00359f8  ldur	x0, [x29, #-0x70]
0xfffffff0088682dc: 401fff97  bl	#0xfffffff00882ffdc
0xfffffff0088682e0: ff0200eb  cmp	x23, x0
0xfffffff0088682e4: fb0316aa  mov	x27, x22
0xfffffff0088682e8: 21e4ff54  b.ne	#0xfffffff008867f6c
0xfffffff0088682ec: f34740f9  ldr	x19, [sp, #0x88]
0xfffffff0088682f0: e00313aa  mov	x0, x19
0xfffffff0088682f4: b40359f8  ldur	x20, [x29, #-0x70]
0xfffffff0088682f8: e10314aa  mov	x1, x20
0xfffffff0088682fc: 672dff97  bl	#0xfffffff008833898
0xfffffff008868300: e00313aa  mov	x0, x19
0xfffffff008868304: e633ff97  bl	#0xfffffff00883529c
