; Candidate 1991
; ADRP+ADD at VM 0xfffffff00854430c (fileoff 0x154030c): page=0x1feb9d000 add_imm=0xe02

0xfffffff00854428c: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008544290: ffc30291  add	sp, sp, #0xb0
0xfffffff008544294: ff2303d5  autibsp	
0xfffffff008544298: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00854429c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0085442a4
0xfffffff0085442a0: 208e38d4  brk	#0xc471
0xfffffff0085442a4: f10301aa  mov	x17, x1
0xfffffff0085442a8: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff0085442ac: 110a1fd7  braa	x16, x17
0xfffffff0085442b0: e766e097  bl	#0xfffffff007d5de4c
0xfffffff0085442b4: 5f2403d5  bti	c
0xfffffff0085442b8: 000080d2  mov	x0, #0
0xfffffff0085442bc: c0035fd6  ret	
0xfffffff0085442c0: 5f2403d5  bti	c
0xfffffff0085442c4: 0c81f617  b	#0xfffffff0082e46f4
0xfffffff0085442c8: 5f2403d5  bti	c
0xfffffff0085442cc: 0a81f617  b	#0xfffffff0082e46f4
0xfffffff0085442d0: 5f2403d5  bti	c
0xfffffff0085442d4: 000080d2  mov	x0, #0
0xfffffff0085442d8: c0035fd6  ret	
0xfffffff0085442dc: 5f2403d5  bti	c
0xfffffff0085442e0: 0581f617  b	#0xfffffff0082e46f4
0xfffffff0085442e4: 5f2403d5  bti	c
0xfffffff0085442e8: 0381f617  b	#0xfffffff0082e46f4
0xfffffff0085442ec: 7f2303d5  pacibsp	
0xfffffff0085442f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085442f4: fd030091  mov	x29, sp
0xfffffff0085442f8: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085442fc: 00603791  add	x0, x0, #0xdd8
0xfffffff008544300: ce93f797  bl	#0xfffffff008329238
0xfffffff008544304: 88ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008544308: 00dd07f9  str	x0, [x8, #0xfb8]
0xfffffff00854430c: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008544310: 00083891  add	x0, x0, #0xe02
0xfffffff008544314: c993f797  bl	#0xfffffff008329238
0xfffffff008544318: 88ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00854431c: 00e107f9  str	x0, [x8, #0xfc0]
0xfffffff008544320: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008544324: 00883891  add	x0, x0, #0xe22
0xfffffff008544328: c493f797  bl	#0xfffffff008329238
0xfffffff00854432c: 88ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008544330: 00e507f9  str	x0, [x8, #0xfc8]
0xfffffff008544334: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008544338: 00e43891  add	x0, x0, #0xe39
0xfffffff00854433c: bf93f797  bl	#0xfffffff008329238
0xfffffff008544340: 88ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008544344: 00e907f9  str	x0, [x8, #0xfd0]
0xfffffff008544348: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854434c: 004c3991  add	x0, x0, #0xe53
0xfffffff008544350: ba93f797  bl	#0xfffffff008329238
0xfffffff008544354: 88ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008544358: 00ed07f9  str	x0, [x8, #0xfd8]
0xfffffff00854435c: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008544360: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008544364: b593f797  bl	#0xfffffff008329238
0xfffffff008544368: 88ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00854436c: 00f107f9  str	x0, [x8, #0xfe0]
0xfffffff008544370: 80ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008544374: 00a03f91  add	x0, x0, #0xfe8
0xfffffff008544378: c15cfff0  adrp	x1, #0xfffffff0070df000
0xfffffff00854437c: 216c2391  add	x1, x1, #0x8db
0xfffffff008544380: 82a2ffb0  adrp	x2, #0xfffffff007995000
0xfffffff008544384: 426045f9  ldr	x2, [x2, #0xac0]
0xfffffff008544388: 034c8052  mov	w3, #0x260
