; Candidate 3466
; ADRP+ADD at VM 0xfffffff0087409bc (fileoff 0x173c9bc): page=0x1fe9f1000 add_imm=0xd90

0xfffffff00874093c: f10317aa  mov	x17, x23
0xfffffff008740940: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008740944: 301ac1da  autda	x16, x17
0xfffffff008740948: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00874094c: e90310aa  mov	x9, x16
0xfffffff008740950: e00317aa  mov	x0, x23
0xfffffff008740954: f10309aa  mov	x17, x9
0xfffffff008740958: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00874095c: 11093fd7  blraa	x8, x17
0xfffffff008740960: 64ffff17  b	#0xfffffff0087406f0
0xfffffff008740964: 7f2303d5  pacibsp	
0xfffffff008740968: ff4302d1  sub	sp, sp, #0x90
0xfffffff00874096c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008740970: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008740974: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008740978: fd030291  add	x29, sp, #0x80
0xfffffff00874097c: f50301aa  mov	x21, x1
0xfffffff008740980: f40300aa  mov	x20, x0
0xfffffff008740984: 93578052  mov	w19, #0x2bc
0xfffffff008740988: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00874098c: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff008740990: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008740994: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008740998: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff00874099c: 08cc218b  add	x8, x0, w1, sxtw #3
0xfffffff0087409a0: 005d40f9  ldr	x0, [x8, #0xb8]
0xfffffff0087409a4: e1430091  add	x1, sp, #0x10
0xfffffff0087409a8: 08370094  bl	#0xfffffff00874e5c8
0xfffffff0087409ac: a0010034  cbz	w0, #0xfffffff0087409e0
0xfffffff0087409b0: a850fff0  adrp	x8, #0xfffffff007157000
0xfffffff0087409b4: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0087409b8: e80300f9  str	x8, [sp]
0xfffffff0087409bc: 804fffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087409c0: 00403691  add	x0, x0, #0xd90
0xfffffff0087409c4: e195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087409c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087409cc: e34fff90  adrp	x3, #0xfffffff00713c000
0xfffffff0087409d0: 63603191  add	x3, x3, #0xc58
0xfffffff0087409d4: 02008052  mov	w2, #0
0xfffffff0087409d8: d6c9ef97  bl	#0xfffffff008333130
0xfffffff0087409dc: 0f000014  b	#0xfffffff008740a18
0xfffffff0087409e0: a87e4093  sxtw	x8, w21
0xfffffff0087409e4: 880e088b  add	x8, x20, x8, lsl #3
0xfffffff0087409e8: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff0087409ec: 100040f9  ldr	x16, [x0]
0xfffffff0087409f0: f10300aa  mov	x17, x0
0xfffffff0087409f4: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0087409f8: 301ac1da  autda	x16, x17
0xfffffff0087409fc: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008740a00: e90310aa  mov	x9, x16
0xfffffff008740a04: f10309aa  mov	x17, x9
0xfffffff008740a08: f11ee5f2  movk	x17, #0x28f7, lsl #48
0xfffffff008740a0c: 11093fd7  blraa	x8, x17
0xfffffff008740a10: 1f000071  cmp	w0, #0
0xfffffff008740a14: f303931a  csel	w19, wzr, w19, eq
0xfffffff008740a18: e00313aa  mov	x0, x19
0xfffffff008740a1c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008740a20: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008740a24: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008740a28: ff430291  add	sp, sp, #0x90
0xfffffff008740a2c: ff0f5fd6  retab	
0xfffffff008740a30: 7f2303d5  pacibsp	
0xfffffff008740a34: ffc302d1  sub	sp, sp, #0xb0
0xfffffff008740a38: f85f07a9  stp	x24, x23, [sp, #0x70]
