; Candidate 1129
; ADRP+ADD at VM 0xfffffff008226864 (fileoff 0x1222864): page=0x1fee64000 add_imm=0xcfe

0xfffffff0082267e4: c3000054  b.lo	#0xfffffff0082267fc
0xfffffff0082267e8: 890a41f9  ldr	x9, [x20, #0x210]
0xfffffff0082267ec: 295f07f9  str	x9, [x25, #0xeb8]
0xfffffff0082267f0: c9fcffb5  cbnz	x9, #0xfffffff008226788
0xfffffff0082267f4: 180700f9  str	x24, [x24, #8]
0xfffffff0082267f8: e4ffff17  b	#0xfffffff008226788
0xfffffff0082267fc: 34008052  mov	w20, #1
0xfffffff008226800: 08000014  b	#0xfffffff008226820
0xfffffff008226804: 08010190  adrp	x8, #0xfffffff00a246000
0xfffffff008226808: 098543b9  ldr	w9, [x8, #0x384]
0xfffffff00822680c: 29050011  add	w9, w9, #1
0xfffffff008226810: 098503b9  str	w9, [x8, #0x384]
0xfffffff008226814: 285f47f9  ldr	x8, [x25, #0xeb8]
0xfffffff008226818: 1f0100f1  cmp	x8, #0
0xfffffff00822681c: f4079f1a  cset	w20, ne
0xfffffff008226820: 09010190  adrp	x9, #0xfffffff00a246000
0xfffffff008226824: 29410d91  add	x9, x9, #0x350
0xfffffff008226828: e10740f9  ldr	x1, [sp, #8]
0xfffffff00822682c: 281844b9  ldr	w8, [x1, #0x418]
0xfffffff008226830: e20308aa  mov	x2, x8
0xfffffff008226834: 3ffda288  casl	w2, wzr, [x9]
0xfffffff008226838: 5f00086b  cmp	w2, w8
0xfffffff00822683c: c1020054  b.ne	#0xfffffff008226894
0xfffffff008226840: e00314aa  mov	x0, x20
0xfffffff008226844: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008226848: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00822684c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008226850: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008226854: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008226858: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff00822685c: ffc30191  add	sp, sp, #0x70
0xfffffff008226860: ff0f5fd6  retab	
0xfffffff008226864: 2073ff90  adrp	x0, #0xfffffff00708a000
0xfffffff008226868: 00f83391  add	x0, x0, #0xcfe
0xfffffff00822686c: 2173ff90  adrp	x1, #0xfffffff00708a000
0xfffffff008226870: 21c03291  add	x1, x1, #0xcb0
0xfffffff008226874: a2478052  mov	w2, #0x23d
0xfffffff008226878: e7e30994  bl	#0xfffffff00849f814
0xfffffff00822687c: 00010190  adrp	x0, #0xfffffff00a246000
0xfffffff008226880: 00200d91  add	x0, x0, #0x348
0xfffffff008226884: e10313aa  mov	x1, x19
0xfffffff008226888: 02008052  mov	w2, #0
0xfffffff00822688c: 9b14ee97  bl	#0xfffffff007dabaf8
0xfffffff008226890: afffff17  b	#0xfffffff00822674c
0xfffffff008226894: 00010190  adrp	x0, #0xfffffff00a246000
0xfffffff008226898: 00200d91  add	x0, x0, #0x348
0xfffffff00822689c: b217ee97  bl	#0xfffffff007dac764
0xfffffff0082268a0: e8ffff17  b	#0xfffffff008226840
0xfffffff0082268a4: 7f2303d5  pacibsp	
0xfffffff0082268a8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0082268ac: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0082268b0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0082268b4: fd830091  add	x29, sp, #0x20
0xfffffff0082268b8: 1f000071  cmp	w0, #0
0xfffffff0082268bc: f5179f1a  cset	w21, eq
0xfffffff0082268c0: 3f080071  cmp	w1, #2
0xfffffff0082268c4: a1040054  b.ne	#0xfffffff008226958
0xfffffff0082268c8: 5f040071  cmp	w2, #1
0xfffffff0082268cc: 61040054  b.ne	#0xfffffff008226958
0xfffffff0082268d0: 080080d2  mov	x8, #0
0xfffffff0082268d4: 94d038d5  mrs	x20, tpidr_el1
0xfffffff0082268d8: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff0082268dc: 16010190  adrp	x22, #0xfffffff00a246000
0xfffffff0082268e0: d6420d91  add	x22, x22, #0x350
