; Candidate 364
; ADRP+ADD at VM 0xfffffff007ebdb0c (fileoff 0xeb9b0c): page=0x1ff195000 add_imm=0xdbc

0xfffffff007ebda8c: f50300aa  mov	x21, x0
0xfffffff007ebda90: 37423bd5  mrs	x23, daif
0xfffffff007ebda94: e803372a  mvn	w8, w23
0xfffffff007ebda98: 1f0d7af2  tst	x8, #0x3c0
0xfffffff007ebda9c: 40000054  b.eq	#0xfffffff007ebdaa4
0xfffffff007ebdaa0: df4f03d5  msr	daifset, #0xf
0xfffffff007ebdaa4: e00313aa  mov	x0, x19
0xfffffff007ebdaa8: 5c7cfa97  bl	#0xfffffff007d5cc18
0xfffffff007ebdaac: e10300aa  mov	x1, x0
0xfffffff007ebdab0: f10315aa  mov	x17, x21
0xfffffff007ebdab4: f00314aa  mov	x16, x20
0xfffffff007ebdab8: 76000034  cbz	w22, #0xfffffff007ebdac4
0xfffffff007ebdabc: 110ac1da  pacda	x17, x16
0xfffffff007ebdac0: 02000014  b	#0xfffffff007ebdac8
0xfffffff007ebdac4: 1f2103d5  pacia1716	
0xfffffff007ebdac8: f40311aa  mov	x20, x17
0xfffffff007ebdacc: e00313aa  mov	x0, x19
0xfffffff007ebdad0: 647cfa97  bl	#0xfffffff007d5cc60
0xfffffff007ebdad4: ff020ff1  cmp	x23, #0x3c0
0xfffffff007ebdad8: 40000054  b.eq	#0xfffffff007ebdae0
0xfffffff007ebdadc: 37421bd5  msr	daif, x23
0xfffffff007ebdae0: e00314aa  mov	x0, x20
0xfffffff007ebdae4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007ebdae8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007ebdaec: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007ebdaf0: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff007ebdaf4: ff430191  add	sp, sp, #0x50
0xfffffff007ebdaf8: ff0f5fd6  retab	
0xfffffff007ebdafc: 888cfff0  adrp	x8, #0xfffffff007050000
0xfffffff007ebdb00: 08cd3c91  add	x8, x8, #0xf33
0xfffffff007ebdb04: 49df8552  mov	w9, #0x2efa
0xfffffff007ebdb08: e82700a9  stp	x8, x9, [sp]
0xfffffff007ebdb0c: a08cffb0  adrp	x0, #0xfffffff007052000
0xfffffff007ebdb10: 00f03691  add	x0, x0, #0xdbc
0xfffffff007ebdb14: 7e5a1794  bl	#0xfffffff00849450c
0xfffffff007ebdb18: 7f2303d5  pacibsp	
0xfffffff007ebdb1c: ff4301d1  sub	sp, sp, #0x50
0xfffffff007ebdb20: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff007ebdb24: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007ebdb28: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007ebdb2c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007ebdb30: fd030191  add	x29, sp, #0x40
0xfffffff007ebdb34: 3f781e72  tst	w1, #0xfffffffd
0xfffffff007ebdb38: a1050054  b.ne	#0xfffffff007ebdbec
0xfffffff007ebdb3c: f40303aa  mov	x20, x3
0xfffffff007ebdb40: f50302aa  mov	x21, x2
0xfffffff007ebdb44: f60301aa  mov	x22, x1
0xfffffff007ebdb48: f30300aa  mov	x19, x0
0xfffffff007ebdb4c: 37423bd5  mrs	x23, daif
0xfffffff007ebdb50: e803372a  mvn	w8, w23
0xfffffff007ebdb54: 1f0d7af2  tst	x8, #0x3c0
0xfffffff007ebdb58: 40000054  b.eq	#0xfffffff007ebdb60
0xfffffff007ebdb5c: df4f03d5  msr	daifset, #0xf
0xfffffff007ebdb60: e00314aa  mov	x0, x20
0xfffffff007ebdb64: 2d7cfa97  bl	#0xfffffff007d5cc18
0xfffffff007ebdb68: d0060012  and	w16, w22, #3
0xfffffff007ebdb6c: e10300aa  mov	x1, x0
0xfffffff007ebdb70: 1f0e00f1  cmp	x16, #3
0xfffffff007ebdb74: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff007ebdb78: 11000090  adrp	x17, #0xfffffff007ebd000
0xfffffff007ebdb7c: 31223091  add	x17, x17, #0xc08
0xfffffff007ebdb80: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff007ebdb84: 11000010  adr	x17, #0xfffffff007ebdb84
0xfffffff007ebdb88: 3002108b  add	x16, x17, x16
