; Candidate 16406
; ADRP+ADD at VM 0xfffffff009e8d49c (fileoff 0x2e8949c): page=0x1fd9ca000 add_imm=0xe74

0xfffffff009e8d41c: 05208052  mov	w5, #0x100
0xfffffff009e8d420: 0500a172  movk	w5, #0x800, lsl #16
0xfffffff009e8d424: 0c1b8e97  bl	#0xfffffff008214054
0xfffffff009e8d428: a00357f8  ldur	x0, [x29, #-0x90]
0xfffffff009e8d42c: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff009e8d430: 09f5feb0  adrp	x9, #0xfffffff007d2e000
0xfffffff009e8d434: 296d47f9  ldr	x9, [x9, #0xed8]
0xfffffff009e8d438: 290140b9  ldr	w9, [x9]
0xfffffff009e8d43c: 0125c91a  lsr	w1, w8, w9
0xfffffff009e8d440: 22008052  mov	w2, #1
0xfffffff009e8d444: bb1b8e97  bl	#0xfffffff008214330
0xfffffff009e8d448: a00357f8  ldur	x0, [x29, #-0x90]
0xfffffff009e8d44c: a22a40b9  ldr	w2, [x21, #0x28]
0xfffffff009e8d450: 01008052  mov	w1, #0
0xfffffff009e8d454: 83018052  mov	w3, #0xc
0xfffffff009e8d458: a3178e97  bl	#0xfffffff0082132e4
0xfffffff009e8d45c: 3a008052  mov	w26, #1
0xfffffff009e8d460: e00317aa  mov	x0, x23
0xfffffff009e8d464: 21008052  mov	w1, #1
0xfffffff009e8d468: e899fe97  bl	#0xfffffff009e33c08
0xfffffff009e8d46c: 78000014  b	#0xfffffff009e8d64c
0xfffffff009e8d470: 600740f9  ldr	x0, [x27, #8]
0xfffffff009e8d474: 41500194  bl	#0xfffffff009ee1578
0xfffffff009e8d478: 80070034  cbz	w0, #0xfffffff009e8d568
0xfffffff009e8d47c: fa0300aa  mov	x26, x0
0xfffffff009e8d480: 083e8452  mov	w8, #0x21f0
0xfffffff009e8d484: 6802088b  add	x8, x19, x8
0xfffffff009e8d488: 492d8752  mov	w9, #0x396a
0xfffffff009e8d48c: 8acdfeb0  adrp	x10, #0xfffffff00783e000
0xfffffff009e8d490: 4a8d0591  add	x10, x10, #0x163
0xfffffff009e8d494: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e8d498: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009e8d49c: 40cefed0  adrp	x0, #0xfffffff007857000
0xfffffff009e8d4a0: 00d03991  add	x0, x0, #0xe74
0xfffffff009e8d4a4: 08c9ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e8d4a8: e00313aa  mov	x0, x19
0xfffffff009e8d4ac: 79c0ff97  bl	#0xfffffff009e7d690
0xfffffff009e8d4b0: e00313aa  mov	x0, x19
0xfffffff009e8d4b4: c1018052  mov	w1, #0xe
0xfffffff009e8d4b8: d499fe97  bl	#0xfffffff009e33c08
0xfffffff009e8d4bc: 27feff17  b	#0xfffffff009e8cd58
0xfffffff009e8d4c0: e81651f9  ldr	x8, [x23, #0x2228]
0xfffffff009e8d4c4: 080100b4  cbz	x8, #0xfffffff009e8d4e4
0xfffffff009e8d4c8: 092b40b9  ldr	w9, [x24, #0x28]
0xfffffff009e8d4cc: 170140f9  ldr	x23, [x8]
0xfffffff009e8d4d0: eaaa43b9  ldr	w10, [x23, #0x3a8]
0xfffffff009e8d4d4: 5f01096b  cmp	w10, w9
0xfffffff009e8d4d8: 60c9ff54  b.eq	#0xfffffff009e8ce04
0xfffffff009e8d4dc: 082140f9  ldr	x8, [x8, #0x40]
0xfffffff009e8d4e0: 68ffffb5  cbnz	x8, #0xfffffff009e8d4cc
0xfffffff009e8d4e4: 000080d2  mov	x0, #0
0xfffffff009e8d4e8: c1018052  mov	w1, #0xe
0xfffffff009e8d4ec: c799fe97  bl	#0xfffffff009e33c08
0xfffffff009e8d4f0: 5a008052  mov	w26, #2
0xfffffff009e8d4f4: 56000014  b	#0xfffffff009e8d64c
0xfffffff009e8d4f8: a00357f8  ldur	x0, [x29, #-0x90]
0xfffffff009e8d4fc: 01008052  mov	w1, #0
0xfffffff009e8d500: e20318aa  mov	x2, x24
0xfffffff009e8d504: 03018052  mov	w3, #8
0xfffffff009e8d508: 77178e97  bl	#0xfffffff0082132e4
0xfffffff009e8d50c: a21e40f9  ldr	x2, [x21, #0x38]
0xfffffff009e8d510: f75740f9  ldr	x23, [sp, #0xa8]
0xfffffff009e8d514: e00317aa  mov	x0, x23
0xfffffff009e8d518: e15f40f9  ldr	x1, [sp, #0xb8]
