; Candidate 16109
; ADRP+ADD at VM 0xfffffff009e1fc9c (fileoff 0x2e1bc9c): page=0x1fd884000 add_imm=0xe00

0xfffffff009e1fc1c: e3000034  cbz	w3, #0xfffffff009e1fc38
0xfffffff009e1fc20: e00314aa  mov	x0, x20
0xfffffff009e1fc24: 21008052  mov	w1, #1
0xfffffff009e1fc28: 62c88052  mov	w2, #0x643
0xfffffff009e1fc2c: 040080d2  mov	x4, #0
0xfffffff009e1fc30: 05008052  mov	w5, #0
0xfffffff009e1fc34: ab2b0094  bl	#0xfffffff009e2aae0
0xfffffff009e1fc38: e8cb40b9  ldr	w8, [sp, #0xc8]
0xfffffff009e1fc3c: e81b00b9  str	w8, [sp, #0x18]
0xfffffff009e1fc40: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff009e1fc44: 1f050071  cmp	w8, #1
0xfffffff009e1fc48: 01040054  b.ne	#0xfffffff009e1fcc8
0xfffffff009e1fc4c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e1fc50: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009e1fc54: e01f803d  str	q0, [sp, #0x70]
0xfffffff009e1fc58: e85b00b9  str	w8, [sp, #0x58]
0xfffffff009e1fc5c: f43300f9  str	x20, [sp, #0x60]
0xfffffff009e1fc60: e007c03d  ldr	q0, [sp, #0x10]
0xfffffff009e1fc64: e083863c  stur	q0, [sp, #0x68]
0xfffffff009e1fc68: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff009e1fc6c: e83f00f9  str	x8, [sp, #0x78]
0xfffffff009e1fc70: e03740f9  ldr	x0, [sp, #0x68]
0xfffffff009e1fc74: 400000b4  cbz	x0, #0xfffffff009e1fc7c
0xfffffff009e1fc78: 4f1b7f97  bl	#0xfffffff007de69b4
0xfffffff009e1fc7c: dbb88297  bl	#0xfffffff007ecdfe8
0xfffffff009e1fc80: ec2c7f97  bl	#0xfffffff007deb030
0xfffffff009e1fc84: f40300aa  mov	x20, x0
0xfffffff009e1fc88: 73c39997  bl	#0xfffffff008490a54
0xfffffff009e1fc8c: 60070034  cbz	w0, #0xfffffff009e1fd78
0xfffffff009e1fc90: e8cffe90  adrp	x8, #0xfffffff00781b000
0xfffffff009e1fc94: 08b13a91  add	x8, x8, #0xeac
0xfffffff009e1fc98: e80300a9  stp	x8, x0, [sp]
0xfffffff009e1fc9c: 20c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1fca0: 00003891  add	x0, x0, #0xe00
0xfffffff009e1fca4: 41f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1fca8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1fcac: 03d0feb0  adrp	x3, #0xfffffff007820000
0xfffffff009e1fcb0: 63401091  add	x3, x3, #0x410
0xfffffff009e1fcb4: 02028052  mov	w2, #0x10
0xfffffff009e1fcb8: 1e4d9497  bl	#0xfffffff008333130
0xfffffff009e1fcbc: e0430191  add	x0, sp, #0x50
0xfffffff009e1fcc0: fef7ff97  bl	#0xfffffff009e1dcb8
0xfffffff009e1fcc4: 65f8ff17  b	#0xfffffff009e1de58
0xfffffff009e1fcc8: e8834039  ldrb	w8, [sp, #0x20]
0xfffffff009e1fccc: 88020034  cbz	w8, #0xfffffff009e1fd1c
0xfffffff009e1fcd0: e86340f9  ldr	x8, [sp, #0xc0]
0xfffffff009e1fcd4: e05340f9  ldr	x0, [sp, #0xa0]
0xfffffff009e1fcd8: ff3f00f9  str	xzr, [sp, #0x78]
0xfffffff009e1fcdc: e82b00f9  str	x8, [sp, #0x50]
0xfffffff009e1fce0: 01fd60d3  lsr	x1, x8, #0x20
0xfffffff009e1fce4: 07f7ff97  bl	#0xfffffff009e1d900
0xfffffff009e1fce8: e02f00f9  str	x0, [sp, #0x58]
0xfffffff009e1fcec: e8830291  add	x8, sp, #0xa0
0xfffffff009e1fcf0: 00410191  add	x0, x8, #0x50
0xfffffff009e1fcf4: 356e8f97  bl	#0xfffffff0081fb5c8
0xfffffff009e1fcf8: e85740f9  ldr	x8, [sp, #0xa8]
0xfffffff009e1fcfc: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff009e1fd00: e02306a9  stp	x0, x8, [sp, #0x60]
0xfffffff009e1fd04: fb3b00f9  str	x27, [sp, #0x70]
0xfffffff009e1fd08: e8cb40b9  ldr	w8, [sp, #0xc8]
0xfffffff009e1fd0c: e87b00b9  str	w8, [sp, #0x78]
0xfffffff009e1fd10: e0430191  add	x0, sp, #0x50
0xfffffff009e1fd14: 01008052  mov	w1, #0
0xfffffff009e1fd18: 70f7ff97  bl	#0xfffffff009e1dad8
