; Candidate 11272
; ADRP+ADD at VM 0xfffffff008edd0bc (fileoff 0x1ed90bc): page=0x1fec37000 add_imm=0xec0

0xfffffff008edd03c: 10c23791  add	x16, x16, #0xdf0
0xfffffff008edd040: 10420091  add	x16, x16, #0x10
0xfffffff008edd044: f10300aa  mov	x17, x0
0xfffffff008edd048: 31ecfef2  movk	x17, #0xf761, lsl #48
0xfffffff008edd04c: 300ac1da  pacda	x16, x17
0xfffffff008edd050: 100000f9  str	x16, [x0]
0xfffffff008edd054: 1f280039  strb	wzr, [x0, #0xa]
0xfffffff008edd058: 0e000014  b	#0xfffffff008edd090
0xfffffff008edd05c: 9f2403d5  bti	j
0xfffffff008edd060: a061fff0  adrp	x0, #0xfffffff007b14000
0xfffffff008edd064: 00003e91  add	x0, x0, #0xf80
0xfffffff008edd068: 23e5d197  bl	#0xfffffff0083564f4
0xfffffff008edd06c: 68008052  mov	w8, #3
0xfffffff008edd070: 08100079  strh	w8, [x0, #8]
0xfffffff008edd074: b061ffb0  adrp	x16, #0xfffffff007b12000
0xfffffff008edd078: 10623b91  add	x16, x16, #0xed8
0xfffffff008edd07c: 10420091  add	x16, x16, #0x10
0xfffffff008edd080: f10300aa  mov	x17, x0
0xfffffff008edd084: 31ecfef2  movk	x17, #0xf761, lsl #48
0xfffffff008edd088: 300ac1da  pacda	x16, x17
0xfffffff008edd08c: 100000f9  str	x16, [x0]
0xfffffff008edd090: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008edd094: ff830091  add	sp, sp, #0x20
0xfffffff008edd098: ff0f5fd6  retab	
0xfffffff008edd09c: 0c000000  udf	#0xc
0xfffffff008edd0a0: 54000000  udf	#0x54
0xfffffff008edd0a4: 88000000  udf	#0x88
0xfffffff008edd0a8: c4000000  udf	#0xc4
0xfffffff008edd0ac: 5f2403d5  bti	c
0xfffffff008edd0b0: c0035fd6  ret	
0xfffffff008edd0b4: 5f2403d5  bti	c
0xfffffff008edd0b8: e10300aa  mov	x1, x0
0xfffffff008edd0bc: a061fff0  adrp	x0, #0xfffffff007b14000
0xfffffff008edd0c0: 00003b91  add	x0, x0, #0xec0
0xfffffff008edd0c4: 92e5d117  b	#0xfffffff00835670c
0xfffffff008edd0c8: 5f2403d5  bti	c
0xfffffff008edd0cc: 20008052  mov	w0, #1
0xfffffff008edd0d0: c0035fd6  ret	
0xfffffff008edd0d4: 5f2403d5  bti	c
0xfffffff008edd0d8: 28008052  mov	w8, #1
0xfffffff008edd0dc: 08240039  strb	w8, [x0, #9]
0xfffffff008edd0e0: c0035fd6  ret	
0xfffffff008edd0e4: 5f2403d5  bti	c
0xfffffff008edd0e8: 20008052  mov	w0, #1
0xfffffff008edd0ec: c0035fd6  ret	
0xfffffff008edd0f0: 5f2403d5  bti	c
0xfffffff008edd0f4: 20008052  mov	w0, #1
0xfffffff008edd0f8: c0035fd6  ret	
0xfffffff008edd0fc: 7f2303d5  pacibsp	
0xfffffff008edd100: ffc300d1  sub	sp, sp, #0x30
0xfffffff008edd104: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008edd108: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008edd10c: fd830091  add	x29, sp, #0x20
0xfffffff008edd110: f30300aa  mov	x19, x0
0xfffffff008edd114: a8008052  mov	w8, #5
0xfffffff008edd118: e80700f9  str	x8, [sp, #8]
0xfffffff008edd11c: 2029ffd0  adrp	x0, #0xfffffff007403000
0xfffffff008edd120: 00dc3291  add	x0, x0, #0xcb7
0xfffffff008edd124: 010080d2  mov	x1, #0
0xfffffff008edd128: dab3d297  bl	#0xfffffff00838a090
0xfffffff008edd12c: e1230091  add	x1, sp, #8
0xfffffff008edd130: 63add297  bl	#0xfffffff0083886bc
0xfffffff008edd134: 000300b4  cbz	x0, #0xfffffff008edd194
0xfffffff008edd138: 100040f9  ldr	x16, [x0]
