; Candidate 14999
; ADRP+ADD at VM 0xfffffff009a25498 (fileoff 0x2a21498): page=0x1fdbda000 add_imm=0xd21

0xfffffff009a25418: 00a42891  add	x0, x0, #0xa29
0xfffffff009a2541c: 3cbca997  bl	#0xfffffff00849450c
0xfffffff009a25420: 7f2303d5  pacibsp	
0xfffffff009a25424: ff8300d1  sub	sp, sp, #0x20
0xfffffff009a25428: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a2542c: fd430091  add	x29, sp, #0x10
0xfffffff009a25430: c8defed0  adrp	x8, #0xfffffff0075ff000
0xfffffff009a25434: 08652891  add	x8, x8, #0xa19
0xfffffff009a25438: 09198052  mov	w9, #0xc8
0xfffffff009a2543c: e82700a9  stp	x8, x9, [sp]
0xfffffff009a25440: c0defed0  adrp	x0, #0xfffffff0075ff000
0xfffffff009a25444: 00442991  add	x0, x0, #0xa51
0xfffffff009a25448: 31bca997  bl	#0xfffffff00849450c
0xfffffff009a2544c: 7f2303d5  pacibsp	
0xfffffff009a25450: ff8300d1  sub	sp, sp, #0x20
0xfffffff009a25454: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a25458: fd430091  add	x29, sp, #0x10
0xfffffff009a2545c: c8defed0  adrp	x8, #0xfffffff0075ff000
0xfffffff009a25460: 08652891  add	x8, x8, #0xa19
0xfffffff009a25464: e91b8052  mov	w9, #0xdf
0xfffffff009a25468: e82700a9  stp	x8, x9, [sp]
0xfffffff009a2546c: c0defed0  adrp	x0, #0xfffffff0075ff000
0xfffffff009a25470: 00ac2a91  add	x0, x0, #0xaab
0xfffffff009a25474: 26bca997  bl	#0xfffffff00849450c
0xfffffff009a25478: 7f2303d5  pacibsp	
0xfffffff009a2547c: ff8300d1  sub	sp, sp, #0x20
0xfffffff009a25480: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a25484: fd430091  add	x29, sp, #0x10
0xfffffff009a25488: c8defed0  adrp	x8, #0xfffffff0075ff000
0xfffffff009a2548c: 08652891  add	x8, x8, #0xa19
0xfffffff009a25490: 49318052  mov	w9, #0x18a
0xfffffff009a25494: e82700a9  stp	x8, x9, [sp]
0xfffffff009a25498: c0defed0  adrp	x0, #0xfffffff0075ff000
0xfffffff009a2549c: 00843491  add	x0, x0, #0xd21
0xfffffff009a254a0: 1bbca997  bl	#0xfffffff00849450c
0xfffffff009a254a4: 7f2303d5  pacibsp	
0xfffffff009a254a8: ff8300d1  sub	sp, sp, #0x20
0xfffffff009a254ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a254b0: fd430091  add	x29, sp, #0x10
0xfffffff009a254b4: c8defed0  adrp	x8, #0xfffffff0075ff000
0xfffffff009a254b8: 08652891  add	x8, x8, #0xa19
0xfffffff009a254bc: e9a68052  mov	w9, #0x537
0xfffffff009a254c0: e82700a9  stp	x8, x9, [sp]
0xfffffff009a254c4: c0defef0  adrp	x0, #0xfffffff007600000
0xfffffff009a254c8: 00c80591  add	x0, x0, #0x172
0xfffffff009a254cc: 10bca997  bl	#0xfffffff00849450c
0xfffffff009a254d0: 7f2303d5  pacibsp	
0xfffffff009a254d4: ff8300d1  sub	sp, sp, #0x20
0xfffffff009a254d8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a254dc: fd430091  add	x29, sp, #0x10
0xfffffff009a254e0: c8defed0  adrp	x8, #0xfffffff0075ff000
0xfffffff009a254e4: 08652891  add	x8, x8, #0xa19
0xfffffff009a254e8: a9078152  mov	w9, #0x83d
0xfffffff009a254ec: e82700a9  stp	x8, x9, [sp]
0xfffffff009a254f0: c0defef0  adrp	x0, #0xfffffff007600000
0xfffffff009a254f4: 00681391  add	x0, x0, #0x4da
0xfffffff009a254f8: 05bca997  bl	#0xfffffff00849450c
0xfffffff009a254fc: 7f2303d5  pacibsp	
0xfffffff009a25500: ff0301d1  sub	sp, sp, #0x40
0xfffffff009a25504: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009a25508: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009a2550c: fdc30091  add	x29, sp, #0x30
0xfffffff009a25510: f30302aa  mov	x19, x2
0xfffffff009a25514: 100040f9  ldr	x16, [x0]
