; Candidate 13633
; ADRP+ADD at VM 0xfffffff0093b09b4 (fileoff 0x23ac9b4): page=0x1fe152000 add_imm=0xd20

0xfffffff0093b0934: 1fd90071  cmp	w8, #0x36
0xfffffff0093b0938: e9080054  b.ls	#0xfffffff0093b0a54
0xfffffff0093b093c: 1f490171  cmp	w8, #0x52
0xfffffff0093b0940: 63010054  b.lo	#0xfffffff0093b096c
0xfffffff0093b0944: 290a8052  mov	w9, #0x51
0xfffffff0093b0948: e82700a9  stp	x8, x9, [sp]
0xfffffff0093b094c: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b0950: 00803491  add	x0, x0, #0xd20
0xfffffff0093b0954: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b0958: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b095c: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b0960: 63703991  add	x3, x3, #0xe5c
0xfffffff0093b0964: 02008052  mov	w2, #0
0xfffffff0093b0968: f209be97  bl	#0xfffffff008333130
0xfffffff0093b096c: f40313aa  mov	x20, x19
0xfffffff0093b0970: 884e41b8  ldr	w8, [x20, #0x14]!
0xfffffff0093b0974: e8011836  tbz	w8, #3, #0xfffffff0093b09b0
0xfffffff0093b0978: 69024039  ldrb	w9, [x19]
0xfffffff0093b097c: 3f490171  cmp	w9, #0x52
0xfffffff0093b0980: 83010054  b.lo	#0xfffffff0093b09b0
0xfffffff0093b0984: 280a8052  mov	w8, #0x51
0xfffffff0093b0988: e92300a9  stp	x9, x8, [sp]
0xfffffff0093b098c: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b0990: 00803491  add	x0, x0, #0xd20
0xfffffff0093b0994: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b0998: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b099c: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b09a0: 63e43a91  add	x3, x3, #0xeb9
0xfffffff0093b09a4: 02008052  mov	w2, #0
0xfffffff0093b09a8: e209be97  bl	#0xfffffff008333130
0xfffffff0093b09ac: 880240b9  ldr	w8, [x20]
0xfffffff0093b09b0: e80300f9  str	x8, [sp]
0xfffffff0093b09b4: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b09b8: 00803491  add	x0, x0, #0xd20
0xfffffff0093b09bc: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b09c0: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b09c4: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b09c8: 63583c91  add	x3, x3, #0xf16
0xfffffff0093b09cc: 22008052  mov	w2, #1
0xfffffff0093b09d0: d809be97  bl	#0xfffffff008333130
0xfffffff0093b09d4: 0a000014  b	#0xfffffff0093b09fc
0xfffffff0093b09d8: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b09dc: 00803491  add	x0, x0, #0xd20
0xfffffff0093b09e0: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b09e4: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b09e8: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b09ec: 63283791  add	x3, x3, #0xdca
0xfffffff0093b09f0: 02028052  mov	w2, #0x10
0xfffffff0093b09f4: cf09be97  bl	#0xfffffff008333130
0xfffffff0093b09f8: 140080d2  mov	x20, #0
0xfffffff0093b09fc: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0093b0a00: c940ffd0  adrp	x9, #0xfffffff007bca000
0xfffffff0093b0a04: 297143f9  ldr	x9, [x9, #0x6e0]
0xfffffff0093b0a08: 290140f9  ldr	x9, [x9]
0xfffffff0093b0a0c: 3f0108eb  cmp	x9, x8
0xfffffff0093b0a10: 61030054  b.ne	#0xfffffff0093b0a7c
0xfffffff0093b0a14: e00314aa  mov	x0, x20
0xfffffff0093b0a18: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0093b0a1c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0093b0a20: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0093b0a24: ff830191  add	sp, sp, #0x60
0xfffffff0093b0a28: ff0f5fd6  retab	
0xfffffff0093b0a2c: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b0a30: 00803491  add	x0, x0, #0xd20
