; Candidate 7329
; ADRP+ADD at VM 0xfffffff008867bd8 (fileoff 0x1863bd8): page=0x1fe982000 add_imm=0xe80

0xfffffff008867b58: 17020034  cbz	w23, #0xfffffff008867b98
0xfffffff008867b5c: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008867b60: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008867b64: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008867b68: 084effd0  adrp	x8, #0xfffffff007229000
0xfffffff008867b6c: 09892691  add	x9, x8, #0x9a2
0xfffffff008867b70: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff008867b74: 08811191  add	x8, x8, #0x460
0xfffffff008867b78: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008867b7c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008867b80: 680c8052  mov	w8, #0x63
0xfffffff008867b84: 404dfff0  adrp	x0, #0xfffffff007212000
0xfffffff008867b88: 00741d91  add	x0, x0, #0x75d
0xfffffff008867b8c: f62300a9  stp	x22, x8, [sp]
0xfffffff008867b90: 343ed597  bl	#0xfffffff007db7460
0xfffffff008867b94: 19000014  b	#0xfffffff008867bf8
0xfffffff008867b98: 85310194  bl	#0xfffffff0088b41ac
0xfffffff008867b9c: f60300aa  mov	x22, x0
0xfffffff008867ba0: 00018052  mov	w0, #8
0xfffffff008867ba4: 2b4f0094  bl	#0xfffffff00887b850
0xfffffff008867ba8: e80315aa  mov	x8, x21
0xfffffff008867bac: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008867bb0: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008867bb4: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008867bb8: 084effd0  adrp	x8, #0xfffffff007229000
0xfffffff008867bbc: 0a892691  add	x10, x8, #0x9a2
0xfffffff008867bc0: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff008867bc4: 08811191  add	x8, x8, #0x460
0xfffffff008867bc8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008867bcc: 680c8052  mov	w8, #0x63
0xfffffff008867bd0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008867bd4: f60300f9  str	x22, [sp]
0xfffffff008867bd8: 004cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008867bdc: 00003a91  add	x0, x0, #0xe80
0xfffffff008867be0: 018dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008867be4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008867be8: 834fff90  adrp	x3, #0xfffffff007257000
0xfffffff008867bec: 63881591  add	x3, x3, #0x562
0xfffffff008867bf0: 02008052  mov	w2, #0
0xfffffff008867bf4: 4f2deb97  bl	#0xfffffff008333130
0xfffffff008867bf8: e00315aa  mov	x0, x21
0xfffffff008867bfc: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008867c00: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008867c04: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008867c08: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008867c0c: ff430291  add	sp, sp, #0x90
0xfffffff008867c10: ff0f5fd6  retab	
0xfffffff008867c14: e00315aa  mov	x0, x21
0xfffffff008867c18: e10314aa  mov	x1, x20
0xfffffff008867c1c: 02fcbf12  mov	w2, #0x1fffff
0xfffffff008867c20: f84dfe97  bl	#0xfffffff0087fb400
0xfffffff008867c24: c0000034  cbz	w0, #0xfffffff008867c3c
0xfffffff008867c28: e00313aa  mov	x0, x19
0xfffffff008867c2c: 0a000094  bl	#0xfffffff008867c54
0xfffffff008867c30: e00313aa  mov	x0, x19
0xfffffff008867c34: 01008052  mov	w1, #0
0xfffffff008867c38: c7e0ff97  bl	#0xfffffff00885ff54
0xfffffff008867c3c: e00315aa  mov	x0, x21
0xfffffff008867c40: e10314aa  mov	x1, x20
0xfffffff008867c44: 02fcbf12  mov	w2, #0x1fffff
0xfffffff008867c48: ee4dfe97  bl	#0xfffffff0087fb400
0xfffffff008867c4c: f50300aa  mov	x21, x0
0xfffffff008867c50: b7ffff17  b	#0xfffffff008867b2c
0xfffffff008867c54: 7f2303d5  pacibsp	
