; Candidate 7944
; ADRP+ADD at VM 0xfffffff0088893ac (fileoff 0x18853ac): page=0x1fe960000 add_imm=0xe80

0xfffffff00888932c: f3db03a9  stp	x19, x22, [sp, #0x38]
0xfffffff008889330: 68808052  mov	w8, #0x403
0xfffffff008889334: 294dff90  adrp	x9, #0xfffffff00722d000
0xfffffff008889338: 29dd1491  add	x9, x9, #0x537
0xfffffff00888933c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008889340: 284dffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008889344: 087d0391  add	x8, x8, #0xdf
0xfffffff008889348: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888934c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008889350: 88098052  mov	w8, #0x4c
0xfffffff008889354: 204dffb0  adrp	x0, #0xfffffff00722e000
0xfffffff008889358: 002c1c91  add	x0, x0, #0x70b
0xfffffff00888935c: f42300a9  stp	x20, x8, [sp]
0xfffffff008889360: 40b8d497  bl	#0xfffffff007db7460
0xfffffff008889364: 56000014  b	#0xfffffff0088894bc
0xfffffff008889368: 91ab0094  bl	#0xfffffff0088b41ac
0xfffffff00888936c: f50300aa  mov	x21, x0
0xfffffff008889370: 80008052  mov	w0, #4
0xfffffff008889374: 37c9ff97  bl	#0xfffffff00887b850
0xfffffff008889378: f75304a9  stp	x23, x20, [sp, #0x40]
0xfffffff00888937c: c84cfff0  adrp	x8, #0xfffffff007224000
0xfffffff008889380: 088d0491  add	x8, x8, #0x123
0xfffffff008889384: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008889388: 08808052  mov	w8, #0x400
0xfffffff00888938c: 294dff90  adrp	x9, #0xfffffff00722d000
0xfffffff008889390: 29dd1491  add	x9, x9, #0x537
0xfffffff008889394: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008889398: 284dffd0  adrp	x8, #0xfffffff00722f000
0xfffffff00888939c: 087d0391  add	x8, x8, #0xdf
0xfffffff0088893a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088893a4: 88098052  mov	w8, #0x4c
0xfffffff0088893a8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088893ac: 004bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088893b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088893b4: e18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088893b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088893bc: a34eff90  adrp	x3, #0xfffffff00725d000
0xfffffff0088893c0: 63c83091  add	x3, x3, #0xc32
0xfffffff0088893c4: 02008052  mov	w2, #0
0xfffffff0088893c8: 5aa7ea97  bl	#0xfffffff008333130
0xfffffff0088893cc: 61000014  b	#0xfffffff008889550
0xfffffff0088893d0: 80098052  mov	w0, #0x4c
0xfffffff0088893d4: 81008052  mov	w1, #4
0xfffffff0088893d8: fec8ff97  bl	#0xfffffff00887b7d0
0xfffffff0088893dc: a00b0034  cbz	w0, #0xfffffff008889550
0xfffffff0088893e0: 80098052  mov	w0, #0x4c
0xfffffff0088893e4: 0dc9ff97  bl	#0xfffffff00887b818
0xfffffff0088893e8: f60300aa  mov	x22, x0
0xfffffff0088893ec: 70ab0094  bl	#0xfffffff0088b41ac
0xfffffff0088893f0: f50300aa  mov	x21, x0
0xfffffff0088893f4: 80008052  mov	w0, #4
0xfffffff0088893f8: 16c9ff97  bl	#0xfffffff00887b850
0xfffffff0088893fc: 78620091  add	x24, x19, #0x18
0xfffffff008889400: f6060034  cbz	w22, #0xfffffff0088894dc
0xfffffff008889404: e80240f9  ldr	x8, [x23]
0xfffffff008889408: 690e198b  add	x9, x19, x25, lsl #3
0xfffffff00888940c: 296540f9  ldr	x9, [x9, #0xc8]
0xfffffff008889410: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff008889414: 284dffb0  adrp	x8, #0xfffffff00722e000
0xfffffff008889418: 08553291  add	x8, x8, #0xc95
0xfffffff00888941c: f85304a9  stp	x24, x20, [sp, #0x40]
0xfffffff008889420: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008889424: 28818052  mov	w8, #0x409
0xfffffff008889428: 294dff90  adrp	x9, #0xfffffff00722d000
